DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,-1.3738940362186,0,0,0,0,0.1,0.1
2,1,2,-1.37389416937665,0,0,0,0,0.1,0.1
3,2,3,-1.37389416937665,0,0,0,0,0.1,0.1
4,3,4,-1.37389443569276,0,0,0,0,0.1,0.1
5,4,5,-1.37389443569276,0,0,0,0,0.1,0.1
6,5,6,-1.37390202570181,0,0,0,0,0.1,0.1
7,6,7,-1.37389443569276,0,0,0,0,0.1,0.1
8,7,8,-1.37390202570181,0,0,0,0,0.1,0.1
9,8,9,-1.36480826275601,0,0,0,0,0.1,0.1
10,9,10,-1.33897799722732,0,0,0,0,0.1,0.1
11,10,11,-1.33897813038537,0,0,0,0,0.1,0.1
12,11,12,-1.33897799722732,0,0,0,0,0.1,0.1
13,12,13,-1.33897799722732,0,0,0,0,0.1,0.1
14,13,14,-1.33897799722732,0,0,0,0,0.1,0.1
15,14,15,-1.33897799722732,0,0,0,0,0.1,0.1
16,15,16,-1.33897813038537,0,0,0,0,0.1,0.1
17,16,17,-1.32386535710651,0,0,0,0,0.1,0.1
18,17,18,-1.27327155521549,0,0,0,0,0.1,0.1
19,18,19,-1.27327155521549,0,0,0,0,0.1,0.1
20,19,20,-1.27327155521549,0,0,0,0,0.1,0.1
21,20,21,-1.27327887890843,0,0,0,0,0.1,0.1
22,21,22,-1.27327155521549,0,0,0,0,0.1,0.1
23,22,23,-1.27327887890843,0,0,0,0,0.1,0.1
24,23,24,-1.27327155521549,0,0,0,0,0.1,0.1
25,24,25,-1.13389235748478,0,0,0,0,0.1,0.1
26,25,26,-1.1180040717025,0,0,0,0,0.1,0.1
27,26,27,-1.1180040717025,0,0,0,0,0.1,0.1
28,27,28,-1.1180040717025,0,0,0,0,0.1,0.1
29,28,29,-1.1180040717025,0,0,0,0,0.1,0.1
30,29,30,-1.11800340591223,0,0,0,0,0.1,0.1
31,30,31,-1.10593236204885,0,0,0,0,0.1,0.1
32,31,32,-1.04275179515334,0,0,0,0,0.1,0.1
33,32,33,-1.04275086304696,0,0,0,0,0.1,0.1
34,33,34,-1.04275086304696,0,0,0,0,0.1,0.1
35,34,35,-1.04275086304696,0,0,0,0,0.1,0.1
36,35,36,-1.04275086304696,0,0,0,0,0.1,0.1
37,36,37,-1.04275086304696,0,0,0,0,0.1,0.1
38,37,38,-0.961543891504562,0,0,0,0,0.1,0.1
39,38,39,-0.907204353569355,0,0,0,0,0.1,0.1
40,39,40,-0.907204353569355,0,0,0,0,0.1,0.1
41,40,41,-0.907204353569355,0,0,0,0,0.1,0.1
42,41,42,-0.907198228298896,0,0,0,0,0.1,0.1
43,42,43,-0.823906201376197,0,0,0,0,0.1,0.1
44,43,44,-0.682556730507287,0,0,0,0,0.1,0.1
45,44,45,-0.682559659984463,0,0,0,0,0.1,0.1
46,45,46,-0.682559659984463,0,0,0,0,0.1,0.1
47,46,47,-0.682559659984463,0,0,0,0,0.1,0.1
48,47,48,-0.682559659984463,0,0,0,0,0.1,0.1
49,48,49,-0.481679118281075,0,0,0,0,0.1,0.1
50,49,50,-0.852669273032625,0,0,0,0,0.1,0.1
51,50,51,-0.852669273032625,0,0,0,0,0.1,0.1
52,51,52,-0.852666609871555,0,0,0,0,0.1,0.1
53,52,53,-0.750578591331923,0,0,0,0,0.1,0.1
54,53,54,-0.742584847065864,0,0,0,0,0.1,0.1
55,54,55,-0.742584847065864,0,0,0,0,0.1,0.1
