LID,BPID,FPID,BLID,FLID
1,1582,1583,0,2
2,1584,1585,1,3
3,1586,1587,2,0
4,1588,1589,0,5
5,1590,1591,4,6
6,1592,1593,5,0
7,1594,1595,0,8
8,1596,1597,7,9
9,1598,1599,8,0
10,1600,1601,0,11
11,1602,1603,10,12
12,1604,1605,11,0
13,1606,1607,0,14
14,1608,1609,13,15
15,1610,1611,14,0
16,1612,1613,0,17
17,1614,1615,16,18
18,1616,1617,17,0
19,1618,1619,0,20
20,1620,1621,19,0
21,1622,1623,0,22
22,1624,1625,21,23
23,1626,1627,22,0
24,1628,1629,0,25
25,1630,1631,24,26
26,1632,1633,25,0
27,1634,1635,0,28
28,1636,1637,27,29
29,1638,1639,28,0
30,1640,1641,0,31
31,1642,1643,30,32
32,1644,1645,31,33
33,1646,1647,32,0
34,1648,1649,0,35
35,1650,1651,34,36
36,1652,1653,35,0
37,1654,1655,0,38
38,1656,1657,37,39
39,1658,1659,38,40
40,1660,1661,39,41
41,1662,1663,40,0
42,1664,1665,0,43
43,1666,1667,42,44
44,1668,1669,43,0
45,1670,1671,0,46
46,1672,1673,45,47
47,1674,1675,46,48
48,1676,1677,47,0
49,1678,1679,0,50
50,1680,1681,49,51
51,1682,1683,50,52
52,1684,1685,51,0
53,1686,1687,0,54
54,1688,1689,53,55
55,1690,1691,54,56
56,1692,1693,55,0
57,1694,1695,0,58
58,1696,1697,57,59
59,1698,1699,58,0
60,1700,1701,0,61
61,1702,1703,60,62
62,1704,1705,61,63
63,1706,1707,62,64
64,1708,1709,63,0
