PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-2.75763773918152,-1.39141464233398,-91.8441848754883,7,0,0,0
2,0,0,-2.76959490776062,-2.37204504013062,-91.648681640625,7,0,0,0
3,0,0,-2.78155207633972,-3.35267567634583,-91.4531784057617,7,0,0,0
4,0,0,-2.79350924491882,-4.33330631256104,-91.2576751708984,7,0,0,0
5,0,0,-2.80546641349792,-5.31393718719482,-91.0621719360352,7,0,0,0
6,0,0,-2.81742358207703,-6.29456806182861,-90.8666687011719,7,0,0,0
7,0,0,-2.82938075065613,-7.2751989364624,-90.6711730957031,7,0,0,0
8,0,0,-2.84133791923523,-8.25582981109619,-90.4756698608398,7,0,0,0
9,0,0,-2.85329508781433,-9.23646068572998,-90.2801742553711,7,0,0,0
10,0,0,-2.86265873908997,-10.2151670455933,-90.0757446289063,7,0,0,0
11,0,0,-2.86466670036316,-11.1884155273438,-89.8460006713867,7,0,0,0
12,0,0,-2.86667466163635,-12.1616649627686,-89.6162567138672,7,0,0,0
13,0,0,-2.86868262290955,-13.134913444519,-89.3865127563477,7,0,0,0
14,0,0,-2.87069058418274,-14.1081619262695,-89.1567687988281,7,0,0,0
15,0,0,-2.87269854545593,-15.08141040802,-88.9270248413086,7,0,0,0
16,0,0,-2.87470626831055,-16.0546588897705,-88.6972808837891,7,0,0,0
17,0,0,-2.87671422958374,-17.0279083251953,-88.4675369262695,7,0,0,0
18,0,0,-2.87583136558533,-17.9971904754639,-88.2232055664063,7,0,0,0
19,0,0,-2.86529350280762,-18.9532279968262,-87.9301452636719,7,0,0,0
20,0,0,-2.85475564002991,-19.9092655181885,-87.6370849609375,7,0,0,0
21,0,0,-2.8442177772522,-20.8653030395508,-87.3440246582031,7,0,0,0
22,0,0,-2.83367991447449,-21.8213405609131,-87.0509719848633,7,0,0,0
23,0,0,-2.82314205169678,-22.7773780822754,-86.7579116821289,7,0,0,0
24,0,0,-2.81260418891907,-23.7334156036377,-86.4648590087891,7,0,0,0
25,0,0,-2.80206608772278,-24.689453125,-86.1717987060547,7,0,0,0
26,0,0,-2.79800486564636,-25.5945091247559,-85.7491455078125,7,0,0,0
27,0,0,-2.79468393325806,-26.4937362670898,-85.3116760253906,7,0,0,0
28,0,0,-2.79136300086975,-27.3929634094238,-84.8742065429688,7,0,0,0
29,0,0,-2.78804230690002,-28.2921905517578,-84.4367370605469,7,0,0,0
30,0,0,-2.78472137451172,-29.1914176940918,-83.999267578125,7,0,0,0
31,0,0,-2.78140068054199,-30.0906429290771,-83.5617980957031,7,0,0,0
32,0,0,-2.77676391601563,-30.9841785430908,-83.1136856079102,7,0,0,0
33,0,0,-2.76524472236633,-31.8479537963867,-82.6099395751953,7,0,0,0
34,0,0,-2.75372576713562,-32.711727142334,-82.1061935424805,7,0,0,0
35,0,0,-2.74220657348633,-33.5755004882813,-81.6024475097656,7,0,0,0
36,0,0,-2.73068761825562,-34.4392738342285,-81.0987014770508,7,0,0,0
37,0,0,-2.71916842460632,-35.3030471801758,-80.5949554443359,7,0,0,0
38,0,0,-2.70764946937561,-36.166820526123,-80.0912094116211,7,0,0,0
39,0,0,-2.69683980941772,-36.9850730895996,-79.5203018188477,7,0,0,0
40,0,0,-2.68650531768799,-37.7728462219238,-78.904426574707,7,0,0,0
41,0,0,-2.67617082595825,-38.560619354248,-78.2885513305664,7,0,0,0
42,0,0,-2.66583633422852,-39.3483924865723,-77.6726760864258,7,0,0,0
43,0,0,-2.65550184249878,-40.1361656188965,-77.0567932128906,7,0,0,0
44,0,0,-2.64892601966858,-40.8656387329102,-76.3814697265625,7,0,0,0
45,0,0,-2.64871335029602,-41.4964179992676,-75.6055068969727,7,0,0,0
46,0,0,-2.64850068092346,-42.1272010803223,-74.8295440673828,7,0,0,0
47,0,0,-2.6482880115509,-42.757984161377,-74.053581237793,7,0,0,0
48,0,0,-2.64807534217834,-43.3887672424316,-73.2776184082031,7,0,0,0
49,0,0,-2.64786267280579,-44.0195503234863,-72.5016555786133,7,0,0,0
50,0,0,-2.6345841884613,-44.4352035522461,-71.7066268920898,7,0,0,0
51,0,0,-2.62558484077454,-45.1882362365723,-71.0487060546875,7,0,0,0
52,0,0,-2.61658549308777,-45.9412689208984,-70.3907852172852,7,0,0,0
53,0,0,-2.607586145401,-46.6942977905273,-69.7328643798828,7,0,0,0
54,0,0,-2.60266923904419,-47.3760795593262,-69.0018844604492,7,0,0,0
55,0,0,-2.59807276725769,-48.0522727966309,-68.2651748657227,7,0,0,0
56,0,0,-2.59347629547119,-48.7284660339355,-67.5284652709961,7,0,0,0
57,0,0,-2.57562589645386,-48.7740135192871,-66.6804962158203,7,0,0,0
58,0,0,-2.54877686500549,-48.3913879394531,-65.7569808959961,7,0,0,0
59,0,0,-2.52192783355713,-48.0087623596191,-64.8334655761719,7,0,0,0
60,0,0,-2.50086498260498,-47.5157775878906,-63.9851531982422,7,0,0,0
61,0,0,-2.49174809455872,-46.7949600219727,-63.2920875549316,7,0,0,0
62,0,0,-2.48263120651245,-46.0741424560547,-62.5990257263184,7,0,0,0
63,0,0,-2.47351431846619,-45.3533248901367,-61.9059600830078,7,0,0,0
64,0,0,-2.46701669692993,-44.4916076660156,-61.8983497619629,7,0,0,0
65,0,0,-2.46189546585083,-43.5558471679688,-62.2509498596191,7,0,0,0
66,0,0,-2.45677399635315,-42.6200866699219,-62.6035499572754,7,0,0,0
67,0,0,-2.45647311210632,-41.8202629089355,-63.0990028381348,7,0,0,0
68,0,0,-2.47039556503296,-41.4215278625488,-64.0159606933594,7,0,0,0
69,0,0,-2.48431777954102,-41.0227928161621,-64.9329223632813,7,0,0,0
70,0,0,-2.49824023246765,-40.6240577697754,-65.8498840332031,7,0,0,0
71,0,0,-2.50940918922424,-40.5346755981445,-66.8278961181641,7,0,0,0
72,0,0,-2.51959824562073,-40.5553741455078,-67.8276290893555,7,0,0,0
73,0,0,-2.52978730201721,-40.5760726928711,-68.8273620605469,7,0,0,0
74,0,0,-2.53973007202148,-40.6969871520996,-69.7393798828125,7,0,0,0
75,0,0,-2.54927802085876,-40.1489791870117,-70.575798034668,7,0,0,0
76,0,0,-2.55882596969604,-39.6009712219238,-71.4122161865234,7,0,0,0
77,0,0,-2.56837391853333,-39.0529594421387,-72.2486343383789,7,0,0,0
78,0,0,-2.57792186737061,-38.5049514770508,-73.0850524902344,7,0,0,0
79,0,0,-2.58764505386353,-37.9324760437012,-73.8970413208008,7,0,0,0
80,0,0,-2.59925580024719,-37.0969429016113,-74.4463577270508,7,0,0,0
81,0,0,-2.61086654663086,-36.2614097595215,-74.9956741333008,7,0,0,0
82,0,0,-2.62247729301453,-35.4258766174316,-75.5449905395508,7,0,0,0
83,0,0,-2.63408803939819,-34.5903434753418,-76.0943069458008,7,0,0,0
84,0,0,-2.64569902420044,-33.754810333252,-76.6436233520508,7,0,0,0
85,0,0,-2.65776777267456,-33.008186340332,-77.3049545288086,7,0,0,0
86,0,0,-2.66994953155518,-32.2834854125977,-77.9939117431641,7,0,0,0
87,0,0,-2.68213129043579,-31.5587844848633,-78.6828689575195,7,0,0,0
88,0,0,-2.69431304931641,-30.8340835571289,-79.371826171875,7,0,0,0
