DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,-3.39947051035026,0,0,0,0,0.1,0.1
2,1,2,-3.39947051035026,0,0,0,0,0.1,0.1
3,2,3,-3.39947051035026,0,0,0,0,0.1,0.1
4,3,4,-3.39947051035026,0,0,0,0,0.1,0.1
5,4,5,-3.39947051035026,0,0,0,0,0.1,0.1
6,5,6,-3.39947051035026,0,0,0,0,0.1,0.1
7,6,7,-3.39947051035026,0,0,0,0,0.1,0.1
8,7,8,-3.39947051035026,0,0,0,0,0.1,0.1
9,8,9,-3.39947051035026,0,0,0,0,0.1,0.1
10,9,10,-3.39947051035026,0,0,0,0,0.1,0.1
11,10,11,-3.39947051035026,0,0,0,0,0.1,0.1
12,11,12,-3.39947051035026,0,0,0,0,0.1,0.1
13,12,13,-3.39947051035026,0,0,0,0,0.1,0.1
14,13,14,-3.39947051035026,0,0,0,0,0.1,0.1
15,14,15,-3.39947051035026,0,0,0,0,0.1,0.1
16,15,16,-3.39947051035026,0,0,0,0,0.1,0.1
17,16,17,-3.39947024403415,0,0,0,0,0.1,0.1
18,17,18,-3.39947024403415,0,0,0,0,0.1,0.1
19,18,19,-3.39947024403415,0,0,0,0,0.1,0.1
20,19,20,-3.39946997771804,0,0,0,0,0.1,0.1
21,20,21,-3.3994835598395,0,0,0,0,0.1,0.1
22,21,22,-3.39961991368625,0,0,0,0,0.1,0.1
23,22,23,-3.39961991368625,0,0,0,0,0.1,0.1
24,23,24,-3.39961991368625,0,0,0,0,0.1,0.1
25,24,25,-3.39961991368625,0,0,0,0,0.1,0.1
26,25,26,-3.39961991368625,0,0,0,0,0.1,0.1
27,26,27,-3.39961991368625,0,0,0,0,0.1,0.1
28,27,28,-3.39961991368625,0,0,0,0,0.1,0.1
29,28,29,-3.39961991368625,0,0,0,0,0.1,0.1
30,29,30,-3.39961991368625,0,0,0,0,0.1,0.1
31,30,31,-3.39961991368625,0,0,0,0,0.1,0.1
32,31,32,-3.39961991368625,0,0,0,0,0.1,0.1
33,32,33,-3.39961991368625,0,0,0,0,0.1,0.1
34,33,34,-3.39961991368625,0,0,0,0,0.1,0.1
35,34,35,-3.39961991368625,0,0,0,0,0.1,0.1
36,35,36,-3.39961991368625,0,0,0,0,0.1,0.1
37,36,37,-3.39961991368625,0,0,0,0,0.1,0.1
38,37,38,-3.39962018000236,0,0,0,0,0.1,0.1
39,38,39,-3.39962018000236,0,0,0,0,0.1,0.1
40,39,40,-3.39962018000236,0,0,0,0,0.1,0.1
41,40,41,-3.39962018000236,0,0,0,0,0.1,0.1
42,41,42,-3.39961938105404,0,0,0,0,0.1,0.1
43,42,43,-3.39962018000236,0,0,0,0,0.1,0.1
44,43,44,-3.39962018000236,0,0,0,0,0.1,0.1
45,44,45,-3.39961938105404,0,0,0,0,0.1,0.1
46,45,46,-3.39961938105404,0,0,0,0,0.1,0.1
47,46,47,-3.39962018000236,0,0,0,0,0.1,0.1
48,47,48,-3.39962018000236,0,0,0,0,0.1,0.1
49,48,49,-3.39961884842182,0,0,0,0,0.1,0.1
50,49,50,0,0,0,0,0,0.1,0.1
51,0,51,-3.39973789172163,0,0,0,0,0.1,0.1
52,1,52,-3.39973789172163,0,0,0,0,0.1,0.1
53,2,53,-3.39973815803774,0,0,0,0,0.1,0.1
54,3,54,-3.39973815803774,0,0,0,0,0.1,0.1
55,4,55,-3.39973815803774,0,0,0,0,0.1,0.1
56,5,56,-3.39973815803774,0,0,0,0,0.1,0.1
57,6,57,-3.39973815803774,0,0,0,0,0.1,0.1
58,7,58,-3.39973815803774,0,0,0,0,0.1,0.1
59,8,59,-3.39973815803774,0,0,0,0,0.1,0.1
60,9,60,-3.39973815803774,0,0,0,0,0.1,0.1
61,10,61,-3.39973815803774,0,0,0,0,0.1,0.1
62,11,62,-3.39973842435384,0,0,0,0,0.1,0.1
63,12,63,-3.39973842435384,0,0,0,0,0.1,0.1
64,13,64,-3.39973842435384,0,0,0,0,0.1,0.1
65,14,65,-3.39973842435384,0,0,0,0,0.1,0.1
66,15,66,-3.39973842435384,0,0,0,0,0.1,0.1
67,16,67,-3.39973842435384,0,0,0,0,0.1,0.1
68,17,68,-3.39973842435384,0,0,0,0,0.1,0.1
69,18,69,-3.39973842435384,0,0,0,0,0.1,0.1
70,19,70,-3.39973842435384,0,0,0,0,0.1,0.1
71,20,71,-3.3996832969197,0,0,0,0,0.1,0.1
72,21,72,-3.39936531548801,0,0,0,0,0.1,0.1
73,22,73,-3.39936531548801,0,0,0,0,0.1,0.1
74,23,74,-3.39936531548801,0,0,0,0,0.1,0.1
75,24,75,-3.39936531548801,0,0,0,0,0.1,0.1
76,25,76,-3.39936531548801,0,0,0,0,0.1,0.1
77,26,77,-3.39936531548801,0,0,0,0,0.1,0.1
78,27,78,-3.39936531548801,0,0,0,0,0.1,0.1
79,28,79,-3.39936531548801,0,0,0,0,0.1,0.1
80,29,80,-3.39936531548801,0,0,0,0,0.1,0.1
81,30,81,-3.39936531548801,0,0,0,0,0.1,0.1
82,31,82,-3.39936531548801,0,0,0,0,0.1,0.1
83,32,83,-3.39936531548801,0,0,0,0,0.1,0.1
84,33,84,-3.39936531548801,0,0,0,0,0.1,0.1
85,34,85,-3.39936531548801,0,0,0,0,0.1,0.1
86,35,86,-3.39936531548801,0,0,0,0,0.1,0.1
87,36,87,-3.39936531548801,0,0,0,0,0.1,0.1
88,37,88,-3.39936531548801,0,0,0,0,0.1,0.1
89,38,89,-3.39936531548801,0,0,0,0,0.1,0.1
90,39,90,-3.39936531548801,0,0,0,0,0.1,0.1
91,40,91,-3.39936531548801,0,0,0,0,0.1,0.1
92,41,92,-3.39936584812023,0,0,0,0,0.1,0.1
93,42,93,-3.39936584812023,0,0,0,0,0.1,0.1
94,43,94,-3.39936531548801,0,0,0,0,0.1,0.1
95,44,95,-3.39936584812023,0,0,0,0,0.1,0.1
96,45,96,-3.39936531548801,0,0,0,0,0.1,0.1
97,46,97,-3.39936584812023,0,0,0,0,0.1,0.1
98,47,98,-3.39936531548801,0,0,0,0,0.1,0.1
99,48,99,-3.41378074004083,0,0,0,0,0.1,0.1
100,49,100,-3.43020605225277,0,0,0,0,0.1,0.1
101,50,101,-3.43020605225277,0,0,0,0,0.1,0.1
102,51,102,-3.43020605225277,0,0,0,0,0.1,0.1
103,52,103,-3.43020631856888,0,0,0,0,0.1,0.1
104,53,104,-3.43020605225277,0,0,0,0,0.1,0.1
105,54,105,-3.43020605225277,0,0,0,0,0.1,0.1
106,55,106,-3.43020525330445,0,0,0,0,0.1,0.1
107,56,107,-3.43020525330445,0,0,0,0,0.1,0.1
108,57,108,-3.43020605225277,0,0,0,0,0.1,0.1
109,58,109,-3.43020525330445,0,0,0,0,0.1,0.1
110,59,110,-3.43020605225277,0,0,0,0,0.1,0.1
111,60,111,-3.43020525330445,0,0,0,0,0.1,0.1
112,61,112,-3.42815062453937,0,0,0,0,0.1,0.1
113,62,113,-3.42637216557719,0,0,0,0,0.1,0.1
114,63,114,-3.42637216557719,0,0,0,0,0.1,0.1
115,64,115,-3.42637216557719,0,0,0,0,0.1,0.1
116,65,116,-3.42637216557719,0,0,0,0,0.1,0.1
117,66,117,-3.42637216557719,0,0,0,0,0.1,0.1
118,67,118,-3.42637216557719,0,0,0,0,0.1,0.1
119,68,119,-3.42637110031276,0,0,0,0,0.1,0.1
120,69,120,-3.42637110031276,0,0,0,0,0.1,0.1
121,70,121,-3.42637110031276,0,0,0,0,0.1,0.1
122,71,122,-3.42637216557719,0,0,0,0,0.1,0.1
123,72,123,-3.42637110031276,0,0,0,0,0.1,0.1
124,73,124,-3.40495049688286,0,0,0,0,0.1,0.1
125,74,125,-3.3935708096331,0,0,0,0,0.1,0.1
126,75,126,-3.3935708096331,0,0,0,0,0.1,0.1
127,76,127,-3.3935708096331,0,0,0,0,0.1,0.1
128,77,128,-3.39357001068478,0,0,0,0,0.1,0.1
129,78,129,-3.3935708096331,0,0,0,0,0.1,0.1
130,79,130,-3.3935708096331,0,0,0,0,0.1,0.1
131,80,131,-3.3935708096331,0,0,0,0,0.1,0.1
132,81,132,-3.3935708096331,0,0,0,0,0.1,0.1
133,82,133,-3.3935708096331,0,0,0,0,0.1,0.1
134,83,134,-3.3935708096331,0,0,0,0,0.1,0.1
135,84,135,-3.3935708096331,0,0,0,0,0.1,0.1
136,85,136,-3.3935708096331,0,0,0,0,0.1,0.1
137,86,137,-3.3935708096331,0,0,0,0,0.1,0.1
138,87,138,-3.3935708096331,0,0,0,0,0.1,0.1
139,88,139,-3.3935708096331,0,0,0,0,0.1,0.1
140,89,140,-3.3935708096331,0,0,0,0,0.1,0.1
141,90,141,-3.3892567550167,0,0,0,0,0.1,0.1
142,91,142,-3.38174637448475,0,0,0,0,0.1,0.1
143,92,143,-3.381744510272,0,0,0,0,0.1,0.1
144,93,144,-3.381744510272,0,0,0,0,0.1,0.1
145,94,145,-3.38174637448475,0,0,0,0,0.1,0.1
146,95,146,-3.381744510272,0,0,0,0,0.1,0.1
147,96,147,-3.381744510272,0,0,0,0,0.1,0.1
148,97,148,-3.38174637448475,0,0,0,0,0.1,0.1
149,98,149,-3.381744510272,0,0,0,0,0.1,0.1
150,99,150,-3.381744510272,0,0,0,0,0.1,0.1
151,100,151,-3.38174637448475,0,0,0,0,0.1,0.1
152,101,152,-3.381744510272,0,0,0,0,0.1,0.1
153,102,153,-3.381744510272,0,0,0,0,0.1,0.1
154,103,154,-3.38174637448475,0,0,0,0,0.1,0.1
155,104,155,-3.381744510272,0,0,0,0,0.1,0.1
156,105,156,-3.381744510272,0,0,0,0,0.1,0.1
157,106,157,-3.38174637448475,0,0,0,0,0.1,0.1
158,107,158,-3.381744510272,0,0,0,0,0.1,0.1
159,108,159,-3.381744510272,0,0,0,0,0.1,0.1
160,109,160,-3.38174504290421,0,0,0,0,0.1,0.1
161,110,161,-3.38174504290421,0,0,0,0,0.1,0.1
162,0,162,-3.39931977543372,0,0,0,0,0.1,0.1
163,1,163,-3.39931977543372,0,0,0,0,0.1,0.1
164,2,164,-3.39931977543372,0,0,0,0,0.1,0.1
165,3,165,-3.39931977543372,0,0,0,0,0.1,0.1
166,4,166,-3.39931977543372,0,0,0,0,0.1,0.1
167,5,167,-3.39931977543372,0,0,0,0,0.1,0.1
168,6,168,-3.39931977543372,0,0,0,0,0.1,0.1
169,7,169,-3.39931977543372,0,0,0,0,0.1,0.1
170,8,170,-3.39931977543372,0,0,0,0,0.1,0.1
171,9,171,-3.39932030806594,0,0,0,0,0.1,0.1
172,10,172,-3.39932030806594,0,0,0,0,0.1,0.1
173,11,173,-3.39932030806594,0,0,0,0,0.1,0.1
174,12,174,-3.39932030806594,0,0,0,0,0.1,0.1
175,13,175,-3.39932030806594,0,0,0,0,0.1,0.1
176,14,176,-3.39932030806594,0,0,0,0,0.1,0.1
177,15,177,-3.39932004174983,0,0,0,0,0.1,0.1
178,16,178,-3.39932004174983,0,0,0,0,0.1,0.1
179,17,179,-3.39932004174983,0,0,0,0,0.1,0.1
180,18,180,-3.39932004174983,0,0,0,0,0.1,0.1
181,19,181,-3.39931977543372,0,0,0,0,0.1,0.1
182,20,182,-3.40026439866506,0,0,0,0,0.1,0.1
183,21,183,-3.40790926883102,0,0,0,0,0.1,0.1
184,22,184,-3.40790926883102,0,0,0,0,0.1,0.1
185,23,185,-3.40790926883102,0,0,0,0,0.1,0.1
186,24,186,-3.40790926883102,0,0,0,0,0.1,0.1
187,25,187,-3.40790926883102,0,0,0,0,0.1,0.1
188,26,188,-3.40790900251491,0,0,0,0,0.1,0.1
189,27,189,-3.40790873619881,0,0,0,0,0.1,0.1
190,28,190,-3.40790873619881,0,0,0,0,0.1,0.1
191,29,191,-3.40790873619881,0,0,0,0,0.1,0.1
192,30,192,-3.40790873619881,0,0,0,0,0.1,0.1
193,31,193,-3.40790873619881,0,0,0,0,0.1,0.1
194,32,194,-3.40790873619881,0,0,0,0,0.1,0.1
195,33,195,-3.40790873619881,0,0,0,0,0.1,0.1
196,34,196,-3.40790873619881,0,0,0,0,0.1,0.1
197,35,197,-3.40790900251491,0,0,0,0,0.1,0.1
198,36,198,-3.40790900251491,0,0,0,0,0.1,0.1
199,37,199,-3.40790900251491,0,0,0,0,0.1,0.1
200,38,200,-3.40790900251491,0,0,0,0,0.1,0.1
201,39,201,-3.40790900251491,0,0,0,0,0.1,0.1
202,40,202,-3.40790900251491,0,0,0,0,0.1,0.1
203,41,203,-3.40790900251491,0,0,0,0,0.1,0.1
204,42,204,-3.40790900251491,0,0,0,0,0.1,0.1
205,43,205,-3.40790900251491,0,0,0,0,0.1,0.1
206,44,206,-3.40790900251491,0,0,0,0,0.1,0.1
207,45,207,-3.40790900251491,0,0,0,0,0.1,0.1
208,46,208,-3.40790900251491,0,0,0,0,0.1,0.1
209,47,209,-3.4079084698827,0,0,0,0,0.1,0.1
210,48,210,-3.4177059731411,0,0,0,0,0.1,0.1
211,49,211,-3.42899271606953,0,0,0,0,0.1,0.1
212,50,212,-3.42899271606953,0,0,0,0,0.1,0.1
213,51,213,-3.42899244975342,0,0,0,0,0.1,0.1
214,52,214,-3.42899244975342,0,0,0,0,0.1,0.1
215,53,215,-3.42899244975342,0,0,0,0,0.1,0.1
216,54,216,-3.42899244975342,0,0,0,0,0.1,0.1
217,55,217,-3.42899244975342,0,0,0,0,0.1,0.1
218,56,218,-3.42899244975342,0,0,0,0,0.1,0.1
219,57,219,-3.42899218343732,0,0,0,0,0.1,0.1
220,58,220,-3.42899244975342,0,0,0,0,0.1,0.1
221,59,221,-3.42899244975342,0,0,0,0,0.1,0.1
222,60,222,-3.42899271606953,0,0,0,0,0.1,0.1
223,61,223,-3.41783833224625,0,0,0,0,0.1,0.1
224,62,224,-3.40793989518332,0,0,0,0,0.1,0.1
225,63,225,-3.40793989518332,0,0,0,0,0.1,0.1
226,64,226,-3.40793989518332,0,0,0,0,0.1,0.1
227,65,227,-3.40793989518332,0,0,0,0,0.1,0.1
228,66,228,-3.40793989518332,0,0,0,0,0.1,0.1
229,67,229,-3.40793989518332,0,0,0,0,0.1,0.1
230,68,230,-3.40793989518332,0,0,0,0,0.1,0.1
231,69,231,-3.40793989518332,0,0,0,0,0.1,0.1
232,70,232,-3.40793882991889,0,0,0,0,0.1,0.1
233,71,233,-3.40793989518332,0,0,0,0,0.1,0.1
234,72,234,-3.40793882991889,0,0,0,0,0.1,0.1
235,73,235,-3.40794016149943,0,0,0,0,0.1,0.1
236,74,236,0,0,0,0,0,0.1,0.1
237,0,237,-3.25047863273937,0,0,0,0,0.1,0.1
238,1,238,-3.25047863273937,0,0,0,0,0.1,0.1
239,2,239,-3.25047863273937,0,0,0,0,0.1,0.1
240,3,240,-3.25047863273937,0,0,0,0,0.1,0.1
241,4,241,-3.25047863273937,0,0,0,0,0.1,0.1
242,5,242,-3.25047863273937,0,0,0,0,0.1,0.1
243,6,243,-3.25047863273937,0,0,0,0,0.1,0.1
244,7,244,-3.25047916537159,0,0,0,0,0.1,0.1
245,8,245,-3.25047916537159,0,0,0,0,0.1,0.1
246,9,246,-3.25047943168769,0,0,0,0,0.1,0.1
247,10,247,-3.25047889905548,0,0,0,0,0.1,0.1
248,11,248,-3.25047889905548,0,0,0,0,0.1,0.1
249,12,249,-3.25047943168769,0,0,0,0,0.1,0.1
250,13,250,-3.25047889905548,0,0,0,0,0.1,0.1
251,14,251,-3.25047943168769,0,0,0,0,0.1,0.1
252,15,252,-3.25047889905548,0,0,0,0,0.1,0.1
253,16,253,-3.25047889905548,0,0,0,0,0.1,0.1
254,17,254,-3.25047943168769,0,0,0,0,0.1,0.1
255,18,255,-3.25047889905548,0,0,0,0,0.1,0.1
256,19,256,-3.25047943168769,0,0,0,0,0.1,0.1
257,20,257,-3.25047889905548,0,0,0,0,0.1,0.1
258,21,258,-3.3809812483095,0,0,0,0,0.1,0.1
259,22,259,-3.39933895019342,0,0,0,0,0.1,0.1
260,23,260,-3.39933895019342,0,0,0,0,0.1,0.1
261,24,261,-3.39933895019342,0,0,0,0,0.1,0.1
262,25,262,-3.39933921650953,0,0,0,0,0.1,0.1
263,26,263,-3.39933921650953,0,0,0,0,0.1,0.1
264,27,264,-3.39933921650953,0,0,0,0,0.1,0.1
265,28,265,-3.39933948282564,0,0,0,0,0.1,0.1
266,29,266,-3.39933948282564,0,0,0,0,0.1,0.1
267,30,267,-3.39933921650953,0,0,0,0,0.1,0.1
268,31,268,-3.39933921650953,0,0,0,0,0.1,0.1
269,32,269,-3.39933921650953,0,0,0,0,0.1,0.1
270,33,270,-3.39933921650953,0,0,0,0,0.1,0.1
271,34,271,-3.39933895019342,0,0,0,0,0.1,0.1
272,35,272,-3.39933921650953,0,0,0,0,0.1,0.1
273,36,273,-3.39933921650953,0,0,0,0,0.1,0.1
274,37,274,-3.39933921650953,0,0,0,0,0.1,0.1
275,38,275,-3.39933921650953,0,0,0,0,0.1,0.1
276,39,276,-3.39933921650953,0,0,0,0,0.1,0.1
277,40,277,-3.39933921650953,0,0,0,0,0.1,0.1
278,41,278,-3.39933921650953,0,0,0,0,0.1,0.1
279,42,279,-3.39933921650953,0,0,0,0,0.1,0.1
280,43,280,-3.39933921650953,0,0,0,0,0.1,0.1
281,44,281,-3.39933921650953,0,0,0,0,0.1,0.1
282,45,282,-3.39933921650953,0,0,0,0,0.1,0.1
283,46,283,-3.39933921650953,0,0,0,0,0.1,0.1
284,47,284,-3.39933921650953,0,0,0,0,0.1,0.1
285,48,285,-3.39177823591726,0,0,0,0,0.1,0.1
286,49,286,-3.36885667490861,0,0,0,0,0.1,0.1
287,50,287,-3.36885694122472,0,0,0,0,0.1,0.1
288,51,288,-3.36885694122472,0,0,0,0,0.1,0.1
289,52,289,-3.36885694122472,0,0,0,0,0.1,0.1
290,53,290,-3.36885667490861,0,0,0,0,0.1,0.1
291,54,291,-3.36885694122472,0,0,0,0,0.1,0.1
292,55,292,-2.73174598910316,0,0,0,0,0.1,0.1
293,56,293,-2.71401279849002,0,0,0,0,0.1,0.1
294,57,294,-2.71401279849002,0,0,0,0,0.1,0.1
295,58,295,-2.71401279849002,0,0,0,0,0.1,0.1
296,59,296,-2.71401279849002,0,0,0,0,0.1,0.1
297,60,297,-2.71401279849002,0,0,0,0,0.1,0.1
298,61,298,-2.71401306480612,0,0,0,0,0.1,0.1
299,62,299,-2.39851343291448,0,0,0,0,0.1,0.1
300,63,300,-2.27940168987061,0,0,0,0,0.1,0.1
301,64,301,-2.27940009197397,0,0,0,0,0.1,0.1
302,65,302,-2.27940009197397,0,0,0,0,0.1,0.1
303,66,303,-2.27940195618672,0,0,0,0,0.1,0.1
304,67,304,-2.27940009197397,0,0,0,0,0.1,0.1
305,68,305,-2.08520651468938,0,0,0,0,0.1,0.1
306,69,306,-1.99747759484595,0,0,0,0,0.1,0.1
307,70,307,-1.99747759484595,0,0,0,0,0.1,0.1
308,71,308,-1.99747759484595,0,0,0,0,0.1,0.1
309,72,309,-1.99747746168789,0,0,0,0,0.1,0.1
310,73,310,-1.99747746168789,0,0,0,0,0.1,0.1
311,74,311,-1.99747746168789,0,0,0,0,0.1,0.1
312,75,312,-1.99747746168789,0,0,0,0,0.1,0.1
313,76,313,-1.99747746168789,0,0,0,0,0.1,0.1
314,77,314,-1.97975665477372,0,0,0,0,0.1,0.1
315,78,315,-1.83991033859144,0,0,0,0,0.1,0.1
316,79,316,-1.83991033859144,0,0,0,0,0.1,0.1
317,80,317,-1.83991033859144,0,0,0,0,0.1,0.1
318,81,318,-1.83991087122365,0,0,0,0,0.1,0.1
319,82,319,-1.83991033859144,0,0,0,0,0.1,0.1
320,83,320,-1.83991033859144,0,0,0,0,0.1,0.1
321,84,321,-1.83991087122365,0,0,0,0,0.1,0.1
322,85,322,-1.83991087122365,0,0,0,0,0.1,0.1
323,86,323,-1.83991087122365,0,0,0,0,0.1,0.1
324,87,324,-1.83991260227835,0,0,0,0,0.1,0.1
325,88,325,-1.83991060490754,0,0,0,0,0.1,0.1
326,89,326,0,0,0,0,0,0.1,0.1
327,0,327,-0.234934765127841,0,0,0,0,0.1,0.1
328,1,328,-0.234934765127841,0,0,0,0,0.1,0.1
329,2,329,-0.234934765127841,0,0,0,0,0.1,0.1
330,3,330,-0.234934765127841,0,0,0,0,0.1,0.1
331,4,331,-0.234934765127841,0,0,0,0,0.1,0.1
332,5,332,-0.234934765127841,0,0,0,0,0.1,0.1
333,6,333,-0.234934765127841,0,0,0,0,0.1,0.1
334,7,334,-0.234934765127841,0,0,0,0,0.1,0.1
335,8,335,-0.234934765127841,0,0,0,0,0.1,0.1
336,9,336,-0.234934765127841,0,0,0,0,0.1,0.1
337,10,337,-0.234934765127841,0,0,0,0,0.1,0.1
338,11,338,-0.234934765127841,0,0,0,0,0.1,0.1
339,12,339,-0.234934681904058,0,0,0,0,0.1,0.1
340,13,340,-0.234934765127841,0,0,0,0,0.1,0.1
341,14,341,-0.234934765127841,0,0,0,0,0.1,0.1
342,15,342,-0.234934765127841,0,0,0,0,0.1,0.1
343,16,343,-0.234934765127841,0,0,0,0,0.1,0.1
344,17,344,-0.234934765127841,0,0,0,0,0.1,0.1
345,18,345,-0.234934765127841,0,0,0,0,0.1,0.1
346,19,346,-0.234933849666223,0,0,0,0,0.1,0.1
347,20,347,-0.234935680589459,0,0,0,0,0.1,0.1
348,21,348,-0.234933849666223,0,0,0,0,0.1,0.1
349,22,349,-0.234083169441615,0,0,0,0,0.1,0.1
350,23,350,-0.233598507416488,0,0,0,0,0.1,0.1
351,24,351,-0.233598507416488,0,0,0,0,0.1,0.1
352,25,352,-0.233598507416488,0,0,0,0,0.1,0.1
353,26,353,-0.233598507416488,0,0,0,0,0.1,0.1
354,27,354,-0.233598507416488,0,0,0,0,0.1,0.1
355,28,355,-0.233598507416488,0,0,0,0,0.1,0.1
356,29,356,-0.233600388273993,0,0,0,0,0.1,0.1
357,30,357,-0.233598507416488,0,0,0,0,0.1,0.1
358,31,358,-0.233598507416488,0,0,0,0,0.1,0.1
359,32,359,-0.233600388273993,0,0,0,0,0.1,0.1
360,33,360,-0.233598507416488,0,0,0,0,0.1,0.1
361,34,361,-0.233600388273993,0,0,0,0,0.1,0.1
362,35,362,-0.233598507416488,0,0,0,0,0.1,0.1
363,36,363,-0.233600388273993,0,0,0,0,0.1,0.1
364,37,364,-0.233598091297571,0,0,0,0,0.1,0.1
365,38,365,-0.23359995551032,0,0,0,0,0.1,0.1
366,39,366,-0.233598091297571,0,0,0,0,0.1,0.1
367,40,367,-0.23359995551032,0,0,0,0,0.1,0.1
368,41,368,-0.23359995551032,0,0,0,0,0.1,0.1
369,42,369,-0.233599256430539,0,0,0,0,0.1,0.1
370,43,370,-0.233599256430539,0,0,0,0,0.1,0.1
371,0,371,-0.243120673109818,0,0,0,0,0.1,0.1
372,1,372,-0.243120673109818,0,0,0,0,0.1,0.1
