VID,PID,Hang,Vang
1,3017,-165.235412597656,90
2,3018,-165.235412597656,90
3,3019,-165.235412597656,90
4,3020,-165.235412597656,90
5,3021,14.7645950317383,90
6,3022,14.7645950317383,90
7,3023,14.7645950317383,90
8,3024,14.7645950317383,90
9,3025,14.7645950317383,90
10,3026,14.7645950317383,90
11,3027,14.7645950317383,90
12,3028,14.7645950317383,90
13,3029,14.7645950317383,90
14,3030,14.7645950317383,90
15,3031,14.7645950317383,90
16,3032,14.7645950317383,90
17,3033,-165.235412597656,90
18,3034,-165.235412597656,90
19,3035,-165.235412597656,90
20,3036,-165.235412597656,90
21,3037,-165.235412597656,90
22,3038,-165.235412597656,90
23,3039,-165.235412597656,90
24,3040,-165.235412597656,90
25,3041,-165.235412597656,90
26,3042,-75.2354049682617,90
27,3043,-75.2354049682617,90
28,3044,-75.2354049682617,90
29,3045,-75.2354049682617,90
30,3046,-75.2354049682617,90
31,3047,-75.2354049682617,90
32,3048,-75.2354049682617,90
33,3049,-75.2354049682617,90
34,3050,-75.2354049682617,90
35,3051,-75.2354049682617,90
36,3052,-75.2354049682617,90
37,3053,-75.2354049682617,90
38,3054,104.764610290527,90
39,3055,104.764610290527,90
40,3056,104.764610290527,90
41,3057,104.764610290527,90
42,3058,104.764610290527,90
43,3059,104.764610290527,90
44,3060,104.764610290527,90
45,3061,104.764610290527,90
46,3062,104.764610290527,90
47,3063,104.764610290527,90
48,3064,104.764610290527,90
49,3065,104.764610290527,90
