LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG
1,1,1142,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
2,2,1,3,1,2,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
3,3,2,4,2,3,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
4,4,3,5,3,4,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
5,5,4,6,4,5,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
6,6,5,7,5,6,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
7,7,6,8,6,7,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
8,8,7,9,7,8,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
9,9,8,10,8,9,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
10,10,9,11,9,10,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
11,11,10,12,10,11,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
12,12,11,13,11,12,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
13,13,12,14,12,13,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
14,14,13,15,13,14,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
15,15,14,16,14,15,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
16,16,15,17,15,16,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
17,17,16,18,16,17,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
18,18,17,19,17,18,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
19,19,18,20,18,19,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
20,20,19,21,19,20,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
21,21,20,22,20,21,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
22,22,21,23,21,22,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
23,23,22,24,22,23,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
24,24,23,25,23,24,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
25,25,24,26,24,25,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
26,26,25,254,25,26,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
27,27,427,28,26,27,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
28,28,27,29,27,28,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
29,29,28,30,28,29,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
30,30,29,31,29,30,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
31,31,30,32,30,31,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
32,32,31,33,31,32,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
33,33,32,34,32,33,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
34,34,33,35,33,34,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
35,35,34,36,34,35,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
36,36,35,37,35,36,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
37,37,36,38,36,37,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
38,38,37,39,37,38,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
39,39,38,40,38,39,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
40,40,39,41,39,40,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
41,41,40,785,40,41,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
42,42,595,43,41,42,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
43,43,42,44,42,43,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
44,44,43,45,43,44,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
45,45,44,46,44,45,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
46,46,45,47,45,46,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
47,47,46,48,46,47,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
48,48,47,49,47,48,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
49,49,48,50,48,49,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
50,50,49,51,49,50,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
51,51,50,52,50,51,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
52,52,51,53,51,52,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
53,53,52,54,52,53,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
54,54,53,55,53,54,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
55,55,54,56,54,55,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
56,56,55,57,55,56,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
57,57,56,58,56,57,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
58,58,57,59,57,58,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
59,59,58,60,58,59,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
60,60,59,61,59,60,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
61,61,60,62,60,61,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
62,62,61,63,61,62,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
63,63,62,64,62,63,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
64,64,63,785,63,64,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
65,65,427,66,64,65,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
66,66,65,67,65,66,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
67,67,66,68,66,67,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
68,68,67,69,67,68,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
69,69,68,70,68,69,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
70,70,69,71,69,70,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
71,71,70,72,70,71,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
72,72,71,73,71,72,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
73,73,72,74,72,73,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
74,74,73,75,73,74,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
75,75,74,76,74,75,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
76,76,75,77,75,76,0,0,0,0,0,0,0,0,1,1,1,0,15,15,0,0
