ID,LID,Width,Color,type,LinkID
1,36,0.15,Y,0,351
2,37,0.15,Y,0,373
3,38,0.15,Y,0,394
4,39,0.15,Y,0,415
5,79,0.15,Y,0,772
6,80,0.15,Y,0,757
7,81,0.15,Y,0,752
8,82,0.15,Y,0,749
9,83,0.15,Y,0,743
10,84,0.15,Y,0,737
11,85,0.15,Y,0,731
12,86,0.15,Y,0,710
13,87,0.15,Y,0,512
14,88,0.15,Y,0,531
15,89,0.15,Y,0,550
16,90,0.15,Y,0,554
17,91,0.15,Y,0,558
18,92,0.15,Y,0,561
19,93,0.15,Y,0,564
20,94,0.15,Y,0,624
21,95,0.15,Y,0,608
22,128,0.15,Y,0,1130
23,129,0.15,Y,0,1115
24,130,0.15,Y,0,1111
25,131,0.15,Y,0,1107
26,132,0.15,Y,0,1101
27,133,0.15,Y,0,1096
28,134,0.15,Y,0,1089
29,135,0.15,Y,0,1068
30,136,0.15,Y,0,869
31,137,0.15,Y,0,888
32,138,0.15,Y,0,907
33,139,0.15,Y,0,911
34,140,0.15,Y,0,915
35,141,0.15,Y,0,918
36,142,0.15,Y,0,921
37,143,0.15,Y,0,982
38,144,0.15,Y,0,971
39,145,0.15,Y,0,959
