PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,2.81592226028442,212.667053222656,-18.2776870727539,7,0,0,0
2,0,0,2.7844820022583,212.356643676758,-19.2277698516846,7,0,0,0
3,0,0,2.75304174423218,212.046234130859,-20.1778526306152,7,0,0,0
4,0,0,2.72160148620605,211.735824584961,-21.1279354095459,7,0,0,0
5,0,0,2.69016122817993,211.425415039063,-22.0780181884766,7,0,0,0
6,0,0,2.65872097015381,211.115005493164,-23.0281009674072,7,0,0,0
7,0,0,2.62728071212769,210.804595947266,-23.9781837463379,7,0,0,0
8,0,0,2.59584045410156,210.494186401367,-24.9282665252686,7,0,0,0
9,0,0,2.56440019607544,210.183776855469,-25.8783493041992,7,0,0,0
10,0,0,2.53295993804932,209.87336730957,-26.8284320831299,7,0,0,0
11,0,0,2.50151968002319,209.562957763672,-27.7785148620605,7,0,0,0
12,0,0,2.47007942199707,209.252548217773,-28.7285976409912,7,0,0,0
13,0,0,2.43863916397095,208.942138671875,-29.6786804199219,7,0,0,0
14,0,0,2.40719890594482,208.631729125977,-30.6287631988525,7,0,0,0
15,0,0,2.3757586479187,208.321319580078,-31.5788459777832,7,0,0,0
16,0,0,2.34431838989258,208.01091003418,-32.5289306640625,7,0,0,0
17,0,0,2.31287789344788,207.700500488281,-33.4790153503418,7,0,0,0
18,0,0,2.28143763542175,207.390090942383,-34.4291000366211,7,0,0,0
19,0,0,2.24999713897705,207.079681396484,-35.3791847229004,7,0,0,0
20,0,0,2.21855664253235,206.769271850586,-36.3292694091797,7,0,0,0
21,0,0,2.18711614608765,206.458862304688,-37.279354095459,7,0,0,0
22,0,0,2.15228962898254,206.149017333984,-38.2294769287109,7,0,0,0
23,0,0,2.10283756256104,205.841552734375,-39.1797523498535,7,0,0,0
24,0,0,2.05338549613953,205.534088134766,-40.1300277709961,7,0,0,0
25,0,0,2.00393342971802,205.226623535156,-41.0803031921387,7,0,0,0
26,0,0,1.95448124408722,204.919158935547,-42.0305786132813,7,0,0,0
27,0,0,1.90502905845642,204.611694335938,-42.9808540344238,7,0,0,0
28,0,0,1.85557687282562,204.304229736328,-43.9311294555664,7,0,0,0
29,0,0,1.80612468719482,203.996765136719,-44.881404876709,7,0,0,0
30,0,0,1.75667250156403,203.689300537109,-45.8316802978516,7,0,0,0
31,0,0,1.70722031593323,203.3818359375,-46.7819557189941,7,0,0,0
32,0,0,1.65776813030243,203.074371337891,-47.7322311401367,7,0,0,0
33,0,0,1.60831594467163,202.76692199707,-48.6825065612793,7,0,0,0
34,0,0,1.55886375904083,202.459457397461,-49.6327819824219,7,0,0,0
35,0,0,1.50941157341003,202.152008056641,-50.5830574035645,7,0,0,0
36,0,0,1.45995938777924,201.844543457031,-51.533332824707,7,0,0,0
37,0,0,1.41050720214844,201.537094116211,-52.4836082458496,7,0,0,0
38,0,0,1.36105513572693,201.229629516602,-53.4338836669922,7,0,0,0
39,0,0,1.31160295009613,200.922180175781,-54.3841590881348,7,0,0,0
40,0,0,1.26215088367462,200.614715576172,-55.3344345092773,7,0,0,0
41,0,0,1.21269881725311,200.307266235352,-56.2847099304199,7,0,0,0
42,0,0,1.1632467508316,199.999801635742,-57.2349853515625,7,0,0,0
43,0,0,1.11383676528931,199.692916870117,-58.1854438781738,7,0,0,0
44,0,0,1.06591367721558,199.406204223633,-59.142261505127,7,0,0,0
45,0,0,1.01799058914185,199.119491577148,-60.0990791320801,7,0,0,0
46,0,0,0.97006756067276,198.832778930664,-61.0558967590332,7,0,0,0
47,0,0,0.922144532203674,198.54606628418,-62.0127143859863,7,0,0,0
48,0,0,0.874221503734589,198.259353637695,-62.9695320129395,7,0,0,0
49,0,0,0.826298475265503,197.972640991211,-63.9263496398926,7,0,0,0
50,0,0,0.778375446796417,197.685943603516,-64.883171081543,7,0,0,0
51,0,0,0.730452418327332,197.399230957031,-65.8399887084961,7,0,0,0
52,0,0,0.682529330253601,197.112533569336,-66.7968063354492,7,0,0,0
53,0,0,0.634606301784515,196.825820922852,-67.7536239624023,7,0,0,0
54,0,0,0.58668327331543,196.539123535156,-68.7104415893555,7,0,0,0
55,0,0,0.538760244846344,196.252410888672,-69.6672592163086,7,0,0,0
56,0,0,0.490837246179581,195.965713500977,-70.6240768432617,7,0,0,0
57,0,0,0.44291427731514,195.679000854492,-71.5808944702148,7,0,0,0
58,0,0,0.394991308450699,195.392303466797,-72.537712097168,7,0,0,0
59,0,0,0.347068458795547,195.105590820313,-73.4945297241211,7,0,0,0
60,0,0,0.299151062965393,194.818572998047,-74.4512557983398,7,0,0,0
61,0,0,0.251563340425491,194.51286315918,-75.4021911621094,7,0,0,0
62,0,0,0.203975602984428,194.207153320313,-76.3531265258789,7,0,0,0
63,0,0,0.156387865543365,193.901458740234,-77.3040618896484,7,0,0,0
64,0,0,0.108800150454044,193.595764160156,-78.254997253418,7,0,0,0
65,0,0,0.0612124651670456,193.290054321289,-79.2059326171875,7,0,0,0
66,0,0,0.0136247724294662,192.984359741211,-80.156867980957,7,0,0,0
67,0,0,-0.0339628793299198,192.678649902344,-81.1078033447266,7,0,0,0
68,0,0,-0.0815505385398865,192.372955322266,-82.0587387084961,7,0,0,0
69,0,0,-0.129138126969337,192.067245483398,-83.0096740722656,7,0,0,0
70,0,0,-0.17672573029995,191.76155090332,-83.9606094360352,7,0,0,0
71,0,0,-0.225247159600258,191.455276489258,-84.9113082885742,7,0,0,0
72,0,0,-0.27844625711441,191.146148681641,-85.86083984375,7,0,0,0
73,0,0,-0.331645369529724,190.837020874023,-86.8103713989258,7,0,0,0
74,0,0,-0.384844452142715,190.527893066406,-87.7599029541016,7,0,0,0
75,0,0,-0.438043534755707,190.218765258789,-88.7094345092773,7,0,0,0
76,0,0,-0.491242647171021,189.909637451172,-89.6589660644531,7,0,0,0
77,0,0,-0.544441759586334,189.600494384766,-90.6084976196289,7,0,0,0
78,0,0,-0.597640872001648,189.291366577148,-91.5580291748047,7,0,0,0
79,0,0,-0.650839984416962,188.982223510742,-92.5075607299805,7,0,0,0
80,0,0,-0.70403915643692,188.673095703125,-93.4570922851563,7,0,0,0
81,0,0,-0.757238328456879,188.363952636719,-94.406623840332,7,0,0,0
