ID,LID,Width,Color,type,LinkID
1,1,0.15,Y,0,4390
2,2,0.15,Y,0,40
3,3,0.15,Y,0,74
4,11,0.15,Y,0,273
5,12,0.15,Y,0,312
6,17,0.15,Y,0,799
7,18,0.15,Y,0,788
8,19,0.15,Y,0,775
9,20,0.15,Y,0,434
10,21,0.15,Y,0,743
11,22,0.15,Y,0,728
12,23,0.15,Y,0,711
13,24,0.15,Y,0,693
14,25,0.15,Y,0,520
15,26,0.15,Y,0,540
16,27,0.15,Y,0,561
17,28,0.15,Y,0,584
18,65,0.15,W,0,0
19,66,0.15,W,0,6429
20,67,0.15,W,0,6616
21,68,0.15,W,0,809
22,69,0.15,W,0,817
23,70,0.15,W,0,828
24,71,0.15,W,0,837
25,72,0.15,W,0,845
26,73,0.15,W,0,853
27,74,0.15,W,0,860
28,75,0.15,W,0,866
29,76,0.15,W,0,873
30,77,0.15,W,0,880
31,78,0.15,W,0,887
32,79,0.15,W,0,894
33,80,0.15,W,0,901
34,81,0.15,W,0,909
35,82,0.15,W,0,917
36,83,0.15,W,0,927
37,84,0.15,W,0,937
38,101,0.15,W,0,6818
39,102,0.15,W,0,6807
40,103,0.15,W,0,6796
41,104,0.15,W,0,6785
42,105,0.15,W,0,6774
43,106,0.15,W,0,6763
44,107,0.15,W,0,6750
45,108,0.15,W,0,6733
46,109,0.15,W,0,4091
47,110,0.15,W,0,987
48,111,0.15,W,0,981
49,112,0.15,W,0,975
50,113,0.15,W,0,969
51,114,0.15,W,0,962
52,115,0.15,W,0,955
53,116,0.15,W,0,947
54,117,0.15,W,0,948
55,118,0.15,W,0,960
56,119,0.15,W,0,975
57,120,0.15,W,0,987
58,121,0.15,W,0,1099
59,122,0.15,W,0,1085
60,123,0.15,W,0,1075
61,124,0.15,W,0,1065
62,125,0.15,W,0,1055
63,126,0.15,W,0,1045
64,127,0.15,W,0,1031
65,128,0.15,W,0,1023
66,129,0.15,W,0,1011
67,130,0.15,W,0,996
68,131,0.15,W,0,1102
69,132,0.15,W,0,1090
70,133,0.15,W,0,1071
71,134,0.15,W,0,1052
72,135,0.15,W,0,1034
73,136,0.15,W,0,1020
74,137,0.15,W,0,1010
75,138,0.15,W,0,998
76,139,0.15,Y,0,6930
77,140,0.15,Y,0,6917
78,141,0.15,Y,0,1144
79,142,0.15,W,0,1153
80,143,0.15,W,0,1146
81,144,0.15,W,0,1140
82,145,0.15,W,0,1131
83,146,0.15,W,0,1119
84,147,0.15,W,0,1109
85,148,0.15,W,0,6887
