PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,-9.5367431640625E-07,-77.3535614013672,-12.2268123626709,7,0,0,0
2,0,0,-9.5367431640625E-07,-78.2959899902344,-11.8924083709717,7,0,0,0
3,0,0,-9.5367431640625E-07,-79.2384185791016,-11.5580043792725,7,0,0,0
4,0,0,-9.5367431640625E-07,-80.1808471679688,-11.2236003875732,7,0,0,0
5,0,0,-9.5367431640625E-07,-81.1232757568359,-10.889196395874,7,0,0,0
6,0,0,-9.5367431640625E-07,-82.0657043457031,-10.5547924041748,7,0,0,0
7,0,0,-9.5367431640625E-07,-83.0081329345703,-10.2203884124756,7,0,0,0
8,0,0,-9.5367431640625E-07,-83.9505615234375,-9.88598442077637,7,0,0,0
9,0,0,-9.5367431640625E-07,-84.8929901123047,-9.55158042907715,7,0,0,0
10,0,0,-9.5367431640625E-07,-85.8354187011719,-9.21717739105225,7,0,0,0
11,0,0,-9.5367431640625E-07,-86.7778472900391,-8.88277435302734,7,0,0,0
12,0,0,-9.5367431640625E-07,-87.6245803833008,-8.382568359375,7,0,0,0
13,0,0,-9.5367431640625E-07,-88.3855590820313,-7.73378849029541,7,0,0,0
14,0,0,-9.5367431640625E-07,-89.1465377807617,-7.08500814437866,7,0,0,0
15,0,0,-9.5367431640625E-07,-89.9075164794922,-6.43622779846191,7,0,0,0
16,0,0,-9.5367431640625E-07,-90.6684951782227,-5.78744697570801,7,0,0,0
17,0,0,-9.5367431640625E-07,-91.4294738769531,-5.13866567611694,7,0,0,0
18,0,0,-9.5367431640625E-07,-92.1904449462891,-4.48988342285156,7,0,0,0
19,0,0,-9.5367431640625E-07,-92.9514236450195,-3.84110260009766,7,0,0,0
20,0,0,-9.5367431640625E-07,-93.4366302490234,-3.00568675994873,7,0,0,0
21,0,0,-9.5367431640625E-07,-93.7560653686523,-2.05807828903198,7,0,0,0
22,0,0,-9.5367431640625E-07,-94.0755004882813,-1.11046981811523,7,0,0,0
23,0,0,-9.5367431640625E-07,-94.3949356079102,-0.162861466407776,7,0,0,0
24,0,0,-9.5367431640625E-07,-94.7143707275391,0.784747004508972,7,0,0,0
25,0,0,-9.5367431640625E-07,-95.033805847168,1.73235559463501,7,0,0,0
26,0,0,-9.5367431640625E-07,-95.3532409667969,2.67996430397034,7,0,0,0
27,0,0,-9.5367431640625E-07,-95.5943069458008,3.62820768356323,7,0,0,0
28,0,0,-9.5367431640625E-07,-95.2902526855469,4.58086109161377,7,0,0,0
29,0,0,-9.5367431640625E-07,-94.986198425293,5.53351449966431,7,0,0,0
30,0,0,-9.5367431640625E-07,-94.6821365356445,6.48616790771484,7,0,0,0
31,0,0,-9.5367431640625E-07,-94.3780822753906,7.43882131576538,7,0,0,0
32,0,0,-9.5367431640625E-07,-94.0740203857422,8.39147472381592,7,0,0,0
33,0,0,-9.5367431640625E-07,-93.7699661254883,9.34412860870361,7,0,0,0
34,0,0,-9.5367431640625E-07,-93.4659042358398,10.296781539917,7,0,0,0
35,0,0,-9.5367431640625E-07,-93.1618499755859,11.2494354248047,7,0,0,0
36,0,0,-9.5367431640625E-07,-92.8577880859375,12.2020883560181,7,0,0,0
37,0,0,-9.5367431640625E-07,-92.6319885253906,12.9095497131348,7,0,0,0
38,0,0,-9.5367431640625E-07,-89.329704284668,11.6376800537109,7,0,0,0
39,0,0,-9.5367431640625E-07,-89.6759643554688,10.6995410919189,7,0,0,0
40,0,0,-9.5367431640625E-07,-90.0222244262695,9.76140213012695,7,0,0,0
41,0,0,-9.5367431640625E-07,-90.3684844970703,8.82326316833496,7,0,0,0
42,0,0,-9.5367431640625E-07,-90.7147445678711,7.88512372970581,7,0,0,0
43,0,0,-9.5367431640625E-07,-91.0610046386719,6.9469838142395,7,0,0,0
44,0,0,-9.5367431640625E-07,-91.4072570800781,6.00884342193604,7,0,0,0
45,0,0,-9.5367431640625E-07,-91.7070693969727,5.06521368026733,7,0,0,0
46,0,0,-9.5367431640625E-07,-91.5891036987305,4.0721960067749,7,0,0,0
47,0,0,-9.5367431640625E-07,-91.4711380004883,3.07917833328247,7,0,0,0
48,0,0,-9.5367431640625E-07,-91.3531723022461,2.08616065979004,7,0,0,0
49,0,0,-9.5367431640625E-07,-91.2352066040039,1.09314322471619,7,0,0,0
50,0,0,-9.5367431640625E-07,-91.1172409057617,0.100125849246979,7,0,0,0
51,0,0,-9.5367431640625E-07,-90.5095748901367,-0.664039492607117,7,0,0,0
52,0,0,-9.5367431640625E-07,-89.8234786987305,-1.39155030250549,7,0,0,0
53,0,0,-9.5367431640625E-07,-89.1373825073242,-2.11906099319458,7,0,0,0
54,0,0,-9.5367431640625E-07,-88.451286315918,-2.84657168388367,7,0,0,0
55,0,0,-9.5367431640625E-07,-87.7651901245117,-3.57408237457275,7,0,0,0
56,0,0,-9.5367431640625E-07,-87.0790939331055,-4.30159282684326,7,0,0,0
57,0,0,-9.5367431640625E-07,-86.3929977416992,-5.02910375595093,7,0,0,0
58,0,0,-9.5367431640625E-07,-85.4936828613281,-5.42963361740112,7,0,0,0
59,0,0,-9.5367431640625E-07,-84.5512542724609,-5.7640380859375,7,0,0,0
60,0,0,-9.5367431640625E-07,-83.6088256835938,-6.09844255447388,7,0,0,0
61,0,0,-9.5367431640625E-07,-82.6663970947266,-6.43284702301025,7,0,0,0
62,0,0,-9.5367431640625E-07,-81.7239685058594,-6.76725149154663,7,0,0,0
63,0,0,-9.5367431640625E-07,-80.7815399169922,-7.10165596008301,7,0,0,0
64,0,0,-9.5367431640625E-07,-79.839111328125,-7.43606042861938,7,0,0,0
65,0,0,-9.5367431640625E-07,-78.8966827392578,-7.77046489715576,7,0,0,0
66,0,0,-9.5367431640625E-07,-77.9542541503906,-8.10486888885498,7,0,0,0
67,0,0,-9.5367431640625E-07,-77.0118255615234,-8.4392728805542,7,0,0,0
68,0,0,-9.5367431640625E-07,-76.4079284667969,-8.65355491638184,7,0,0,0
69,0,0,-9.5367431640625E-07,-52.1364364624023,53.6948852539063,7,0,0,0
70,0,0,-9.5367431640625E-07,-53.1239814758301,53.8522109985352,7,0,0,0
71,0,0,-9.5367431640625E-07,-54.1115264892578,54.0095367431641,7,0,0,0
72,0,0,-9.5367431640625E-07,-55.0990715026855,54.1668663024902,7,0,0,0
73,0,0,-9.5367431640625E-07,-56.0866165161133,54.3241920471191,7,0,0,0
74,0,0,-9.5367431640625E-07,-57.074161529541,54.4815216064453,7,0,0,0
75,0,0,-9.5367431640625E-07,-58.0554084777832,54.5248146057129,7,0,0,0
76,0,0,-9.5367431640625E-07,-59.0196151733398,54.2596702575684,7,0,0,0
77,0,0,-9.5367431640625E-07,-59.9838218688965,53.9945259094238,7,0,0,0
78,0,0,-9.5367431640625E-07,-60.9480285644531,53.7293815612793,7,0,0,0
79,0,0,-9.5367431640625E-07,-61.9122352600098,53.4642333984375,7,0,0,0
80,0,0,-9.5367431640625E-07,-62.8764419555664,53.199089050293,7,0,0,0
81,0,0,-9.5367431640625E-07,-63.7785186767578,52.7959785461426,7,0,0,0
82,0,0,-9.5367431640625E-07,-64.6161270141602,52.2497024536133,7,0,0,0
83,0,0,-9.5367431640625E-07,-65.4537353515625,51.703426361084,7,0,0,0
84,0,0,-9.5367431640625E-07,-66.2913436889648,51.1571502685547,7,0,0,0
85,0,0,-9.5367431640625E-07,-67.1289520263672,50.6108741760254,7,0,0,0
86,0,0,-9.5367431640625E-07,-67.9665603637695,50.0645980834961,7,0,0,0
87,0,0,-9.5367431640625E-07,-68.6783981323242,49.3679809570313,7,0,0,0
88,0,0,-9.5367431640625E-07,-69.364013671875,48.6400184631348,7,0,0,0
89,0,0,-9.5367431640625E-07,-70.0496292114258,47.9120559692383,7,0,0,0
90,0,0,-9.5367431640625E-07,-70.7352447509766,47.1840934753418,7,0,0,0
91,0,0,-9.5367431640625E-07,-71.4208602905273,46.4561309814453,7,0,0,0
92,0,0,-9.5367431640625E-07,-72.1064758300781,45.7281684875488,7,0,0,0
93,0,0,-9.5367431640625E-07,-72.6900024414063,44.9240455627441,7,0,0,0
94,0,0,-9.5367431640625E-07,-73.1924362182617,44.0594291687012,7,0,0,0
95,0,0,-9.5367431640625E-07,-73.6948699951172,43.1948127746582,7,0,0,0
96,0,0,-9.5367431640625E-07,-74.1973037719727,42.3301963806152,7,0,0,0
97,0,0,-9.5367431640625E-07,-74.6997375488281,41.4655799865723,7,0,0,0
98,0,0,-9.5367431640625E-07,-75.2021713256836,40.6009635925293,7,0,0,0
99,0,0,-9.5367431640625E-07,-75.7046051025391,39.7363510131836,7,0,0,0
100,0,0,-9.5367431640625E-07,-76.1465759277344,38.8418846130371,7,0,0,0
101,0,0,-9.5367431640625E-07,-76.5275421142578,37.917293548584,7,0,0,0
102,0,0,-9.5367431640625E-07,-76.9085083007813,36.9927024841309,7,0,0,0
103,0,0,-9.5367431640625E-07,-77.2894744873047,36.0681114196777,7,0,0,0
104,0,0,-9.5367431640625E-07,-77.6704406738281,35.1435203552246,7,0,0,0
105,0,0,-9.5367431640625E-07,-78.038200378418,34.2136611938477,7,0,0,0
106,0,0,-9.5367431640625E-07,-78.3985824584961,33.2808570861816,7,0,0,0
107,0,0,-9.5367431640625E-07,-78.7589645385742,32.3480529785156,7,0,0,0
108,0,0,-9.5367431640625E-07,-79.1193466186523,31.4152488708496,7,0,0,0
109,0,0,-9.5367431640625E-07,-79.4797286987305,30.4824447631836,7,0,0,0
110,0,0,-9.5367431640625E-07,-79.8402481079102,29.5496940612793,7,0,0,0
111,0,0,-9.5367431640625E-07,-80.2285308837891,28.6281547546387,7,0,0,0
112,0,0,-9.5367431640625E-07,-80.616813659668,27.706615447998,7,0,0,0
113,0,0,-9.5367431640625E-07,-81.0051040649414,26.7850761413574,7,0,0,0
114,0,0,-9.5367431640625E-07,-81.3933868408203,25.8635368347168,7,0,0,0
115,0,0,-9.5367431640625E-07,-81.7816772460938,24.9419994354248,7,0,0,0
116,0,0,4.76837158203125E-07,-82.1757888793945,24.0229606628418,7,0,0,0
117,0,0,4.76837158203125E-07,-82.5713119506836,23.1045055389404,7,0,0,0
118,0,0,9.58021701080725E-07,-82.9096374511719,22.1636562347412,7,0,0,0
119,0,0,1.43051147460938E-06,-83.1997528076172,21.2157611846924,7,0,0,0
