ID,LID,TLID,SignID,LinkID
1,496,0,0,400
2,497,0,0,400
3,498,0,0,176
4,499,0,0,176
5,500,0,0,37
6,501,0,0,37
7,502,0,0,1415
8,503,0,0,1415
9,504,0,0,447
10,505,0,0,447
11,506,0,0,3964
12,507,0,0,3964
13,508,0,0,418
14,509,0,0,418
15,510,0,0,1368
16,511,0,0,1368
17,512,0,0,1397
18,513,0,0,1397
19,514,0,0,502
20,515,0,0,502
21,516,0,0,476
22,517,0,0,476
23,518,0,0,1406
24,519,0,0,1406
25,520,0,0,1001
26,521,0,0,1001
27,522,0,0,68
28,523,0,0,68
29,524,0,0,1387
30,525,0,0,1387
31,526,0,0,946
32,527,0,0,946
33,528,0,0,1031
34,529,0,0,1031
35,533,0,0,3979
36,534,0,0,3979
37,535,0,0,838
38,536,0,0,838
39,537,0,0,234
40,538,0,0,234
41,542,0,0,1493
42,543,0,0,1493
43,544,0,0,896
44,545,0,0,896
45,546,0,0,868
46,547,0,0,868
47,548,0,0,1558
48,549,0,0,1585
49,550,0,0,1214
50,551,0,0,1214
51,552,0,0,382
52,553,0,0,382
53,554,0,0,2658
54,555,0,0,1423
55,556,0,0,1273
56,557,0,0,1273
57,558,0,0,970
58,559,0,0,970
59,560,0,0,1487
60,561,0,0,1487
61,562,0,0,1378
62,563,0,0,1378
63,564,0,0,723
64,565,0,0,698
65,566,0,0,3950
66,567,0,0,3920
67,568,0,0,2618
68,569,0,0,2550
69,570,0,0,1351
70,571,0,0,1359
71,572,0,0,608
72,573,0,0,588
73,574,0,0,749
74,575,0,0,775
75,576,0,0,1552
76,577,0,0,1552
77,578,0,0,1194
78,579,0,0,1194
79,580,0,0,1327
80,581,0,0,1327
81,582,0,0,626
82,583,0,0,665
83,584,0,0,1318
84,585,0,0,1318
85,586,0,0,568
86,587,0,0,568
87,588,0,0,1309
88,589,0,0,1309
89,590,0,0,1343
90,591,0,0,1335
91,592,0,0,1468
92,593,0,0,2726
93,594,0,0,548
94,595,0,0,548
95,596,0,0,528
96,597,0,0,528
97,598,0,0,3964
98,599,0,0,1472
99,600,0,0,797
100,601,0,0,2947
101,602,0,0,3979
102,603,0,0,838
