ID,LID,Width,Color,type,LinkID
1,1,0.15,Y,0,34
2,2,0.15,Y,0,45
3,3,0.15,Y,0,48
4,4,0.15,Y,0,51
5,5,0.15,Y,0,16
6,6,0.15,Y,0,58
7,7,0.15,Y,0,63
8,8,0.15,Y,0,67
9,9,0.15,W,0,4
10,10,0.15,W,0,9
11,11,0.15,W,0,14
12,12,0.15,W,0,19
13,13,0.15,W,0,24
14,14,0.15,W,0,28
15,15,0.15,W,0,34
16,16,0.15,W,0,36
17,17,0.15,W,0,41
18,18,0.15,W,0,45
19,19,0.15,W,0,50
20,20,0.15,W,0,56
21,21,0.15,W,0,61
22,22,0.15,W,0,66
23,23,0.15,W,0,116
24,24,0.15,W,0,112
25,25,0.15,W,0,107
26,26,0.15,W,0,103
27,27,0.15,W,0,99
28,28,0.15,W,0,94
29,29,0.15,W,0,90
30,30,0.15,W,0,85
31,31,0.15,W,0,81
32,32,0.15,W,0,77
33,33,0.15,W,0,73
34,34,0.15,W,0,73
35,35,0.15,W,0,78
36,36,0.15,W,0,83
37,37,0.15,W,0,88
38,38,0.15,W,0,94
39,39,0.15,W,0,99
40,40,0.15,W,0,104
41,41,0.15,W,0,110
42,42,0.15,W,0,115
43,43,0.15,W,0,118
44,44,0.15,Y,0,175
45,45,0.15,Y,0,180
46,46,0.15,Y,0,160
47,47,0.15,Y,0,156
48,48,0.15,Y,0,151
49,49,0.15,Y,0,147
50,50,0.15,Y,0,143
51,51,0.15,Y,0,208
52,52,0.15,Y,0,134
53,53,0.15,Y,0,130
54,54,0.15,Y,0,126
55,55,0.15,Y,0,122
56,56,0.15,W,0,233
57,57,0.15,W,0,180
58,58,0.15,W,0,184
59,59,0.15,W,0,189
60,60,0.15,W,0,193
61,61,0.15,W,0,198
62,62,0.15,W,0,202
63,63,0.15,W,0,206
64,64,0.15,W,0,211
65,65,0.15,W,0,215
66,66,0.15,W,0,219
67,67,0.15,W,0,224
68,68,0.15,W,0,228
69,69,0.15,W,0,234
70,70,0.15,W,0,239
71,71,0.15,W,0,244
72,72,0.15,W,0,249
73,73,0.15,W,0,254
74,74,0.15,W,0,259
75,75,0.15,W,0,263
76,76,0.15,W,0,269
77,77,0.15,W,0,274
78,78,0.15,W,0,279
79,79,0.15,W,0,284
80,80,0.15,W,0,288
81,81,0.15,W,0,292
82,82,0.15,Y,0,400
83,83,0.15,Y,0,404
84,84,0.15,Y,0,385
85,85,0.15,Y,0,381
86,86,0.15,W,0,382
87,87,0.15,W,0,386
88,88,0.15,W,0,391
89,89,0.15,W,0,395
90,90,0.15,W,0,401
91,91,0.15,W,0,405
92,92,0.15,W,0,410
93,93,0.15,W,0,414
94,94,0.15,Y,0,447
95,95,0.15,Y,0,452
96,96,0.15,Y,0,432
97,97,0.15,Y,0,461
98,98,0.15,Y,0,423
99,99,0.15,Y,0,418
100,100,0.15,W,0,419
101,101,0.15,W,0,424
102,102,0.15,W,0,429
103,103,0.15,W,0,434
104,104,0.15,W,0,439
105,105,0.15,W,0,442
106,106,0.15,W,0,448
107,107,0.15,W,0,453
108,108,0.15,W,0,458
109,109,0.15,W,0,463
110,110,0.15,W,0,468
111,111,0.15,W,0,471
112,112,0.15,Y,0,503
113,113,0.15,Y,0,491
114,114,0.15,Y,0,486
115,115,0.15,Y,0,517
116,116,0.15,Y,0,522
117,117,0.15,W,0,476
118,118,0.15,W,0,481
119,119,0.15,W,0,486
120,120,0.15,W,0,491
121,121,0.15,W,0,496
122,122,0.15,W,0,503
123,123,0.15,W,0,508
124,124,0.15,W,0,513
125,125,0.15,W,0,518
126,126,0.15,W,0,522
127,127,0.15,Y,0,549
128,128,0.15,Y,0,553
129,129,0.15,Y,0,533
130,130,0.15,Y,0,562
131,131,0.15,W,0,529
132,132,0.15,W,0,534
133,133,0.15,W,0,539
134,134,0.15,W,0,543
135,135,0.15,W,0,548
136,136,0.15,W,0,553
137,137,0.15,W,0,558
138,138,0.15,W,0,563
139,139,0.15,W,0,582
140,140,0.15,W,0,597
141,141,0.15,W,0,573
142,142,0.15,W,0,588
143,151,0.15,W,0,608
144,152,0.15,W,0,652
145,153,0.15,W,0,617
146,154,0.15,W,0,661
147,163,0.15,W,0,692
148,164,0.15,W,0,687
149,165,0.15,W,0,683
150,166,0.15,W,0,678
151,167,0.15,W,0,698
152,178,0.15,W,0,749
153,179,0.15,W,0,754
