ID,AID,Type,BdID,LinkID
1,408,0,0,11078
2,409,0,0,11065
3,410,0,0,11049
4,411,0,0,11017
5,412,0,0,11007
6,413,0,0,10982
7,414,0,0,10948
8,415,0,0,10938
9,416,0,0,10907
10,417,0,0,10896
11,418,0,0,10871
12,419,0,0,10861
13,420,0,0,10834
14,421,0,0,10825
15,422,0,0,5474
16,423,0,0,5630
17,424,0,0,11116
18,425,0,0,8301
19,426,0,0,11309
20,427,0,0,10790
21,428,1,15,5470
22,429,1,15,5471
23,430,1,15,5472
24,431,1,15,5473
25,432,1,15,5474
26,433,1,15,5475
27,434,1,15,5476
28,435,1,15,5477
29,436,1,15,5478
30,437,1,15,5469
31,438,1,16,5628
32,439,1,16,5629
33,440,1,16,5629
34,441,1,16,5630
35,442,1,16,5630
36,443,1,16,5630
37,444,1,16,5631
38,445,1,16,5631
39,446,1,16,5631
40,447,1,16,5632
41,448,1,16,5632
42,449,1,1,5
43,450,1,1,5
44,451,1,1,5
45,452,1,1,5369
46,453,1,1,5369
47,454,1,1,5369
48,455,1,2,116
49,456,1,2,116
50,457,1,2,116
51,458,1,2,13375
52,459,1,2,13375
53,460,1,2,13375
54,461,1,2,8268
55,462,1,2,8268
56,463,1,2,8268
57,464,1,2,5263
58,465,1,2,5263
59,466,1,2,5263
60,467,1,3,246
61,468,1,3,246
62,469,1,3,246
63,470,1,3,13390
64,471,1,3,13390
65,472,1,3,13390
66,473,1,3,13390
67,474,1,3,11049
68,475,1,3,11049
69,476,1,3,11050
70,477,1,3,11050
71,478,1,3,11050
72,479,1,3,8252
73,480,1,3,8252
74,481,1,3,8252
75,482,1,3,5132
76,483,1,3,5132
77,484,1,3,5132
78,485,1,4,279
79,486,1,4,279
80,487,1,4,279
81,488,1,4,13423
82,489,1,4,13423
83,490,1,4,13423
84,491,1,4,13423
85,492,1,4,13423
86,493,1,4,13423
87,494,1,4,11017
88,495,1,4,11017
89,496,1,4,11017
90,497,1,4,8219
91,498,1,4,8219
92,499,1,4,5099
93,500,1,4,5099
94,501,1,4,5099
95,502,1,4,8219
96,503,1,5,1101
97,504,1,5,1101
98,505,1,5,11007
99,506,1,5,4268
100,507,1,5,4268
101,508,1,5,4268
102,509,1,6,1126
103,510,1,6,1126
104,511,1,6,1126
105,512,1,6,13457
106,513,1,6,13457
107,514,1,6,13457
108,515,1,6,13457
109,516,1,6,13457
110,517,1,6,10982
111,518,1,6,10982
112,519,1,6,10982
113,520,1,6,8184
114,521,1,6,8184
115,522,1,6,4243
116,523,1,6,4243
117,524,1,7,1482
118,525,1,7,1482
119,526,1,7,1482
120,527,1,7,13489
121,528,1,7,13489
122,529,1,7,13489
123,530,1,7,13489
124,531,1,7,10948
125,532,1,7,10948
126,533,1,7,3885
127,534,1,7,3885
128,535,1,7,3885
129,536,1,8,13500
130,537,1,8,13500
131,538,1,8,13501
132,539,1,8,13501
133,540,1,8,13501
134,541,1,8,13501
135,542,1,8,10938
136,543,1,8,10938
137,544,1,8,10938
138,545,1,8,10937
139,546,1,8,10937
140,547,1,8,8139
141,548,1,8,8138
142,549,1,8,3633
143,550,1,8,3633
144,551,1,8,3633
145,552,1,9,1757
146,553,1,9,1757
147,554,1,9,8108
148,555,1,9,8107
149,556,1,9,8107
150,557,1,9,3602
151,558,1,9,3602
152,559,1,9,3601
153,560,1,10,8097
154,561,1,10,8098
155,562,1,10,3409
156,563,1,10,3409
157,564,1,10,3409
158,565,1,11,3384
159,566,1,11,3384
160,567,1,11,3384
161,568,1,12,2262
162,569,1,12,10861
163,570,1,12,10861
164,571,1,12,8063
165,572,1,12,3105
166,573,1,12,3105
