PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,35.13123811,136.5900087,48.638,-86506.606,-16687.357,7,5236,67,68
2,35.13124078,136.590011,48.653,-86505.784,-16686.787,7,5236,67,68
3,35.13124345,136.5900132,48.669,-86504.964,-16686.216,7,5236,67,68
4,35.13124611,136.5900155,48.684,-86504.145,-16685.641,7,5236,67,68
5,35.13124876,136.5900178,48.7,-86503.328,-16685.064,7,5236,67,68
6,35.13125141,136.5900201,48.717,-86502.514,-16684.484,7,5236,67,68
7,35.13125405,136.5900224,48.734,-86501.701,-16683.902,7,5236,67,68
8,35.13125668,136.5900247,48.751,-86500.889,-16683.317,7,5236,67,68
9,35.13125931,136.590027,48.769,-86500.08,-16682.73,7,5236,67,68
10,35.13126194,136.5900293,48.788,-86499.273,-16682.14,7,5236,67,68
11,35.13126456,136.5900317,48.808,-86498.467,-16681.547,7,5236,67,68
12,35.13126717,136.590034,48.827,-86497.664,-16680.952,7,5236,67,68
13,35.13126977,136.5900364,48.844,-86496.862,-16680.354,7,5236,67,68
14,35.13127237,136.5900387,48.862,-86496.062,-16679.754,7,5236,67,68
15,35.13127496,136.5900411,48.881,-86495.264,-16679.151,7,5236,67,68
16,35.13127755,136.5900435,48.902,-86494.469,-16678.546,7,5236,67,68
17,35.13128013,136.5900459,48.924,-86493.675,-16677.938,7,5236,67,68
18,35.1312827,136.5900483,48.944,-86492.882,-16677.327,7,5236,67,68
19,35.13128527,136.5900507,48.965,-86492.092,-16676.714,7,5236,67,68
20,35.13128783,136.5900531,48.985,-86491.304,-16676.099,7,5236,67,68
21,35.13129039,136.5900556,49.006,-86490.518,-16675.481,7,5236,67,68
22,35.13129294,136.590058,49.026,-86489.734,-16674.86,7,5236,67,68
23,35.13129548,136.5900605,49.046,-86488.952,-16674.237,7,5236,67,68
24,35.13129801,136.590063,49.066,-86488.171,-16673.612,7,5236,67,68
25,35.13130054,136.5900654,49.087,-86487.393,-16672.984,7,5236,67,68
26,35.13130307,136.5900679,49.107,-86486.617,-16672.353,7,5236,67,68
27,35.13130558,136.5900704,49.128,-86485.843,-16671.72,7,5236,67,68
28,35.13130809,136.5900729,49.149,-86485.071,-16671.085,7,5236,67,68
29,35.1313106,136.5900754,49.17,-86484.3,-16670.447,7,5236,67,68
30,35.13131309,136.590078,49.193,-86483.532,-16669.807,7,5236,67,68
31,35.13131558,136.5900805,49.217,-86482.766,-16669.164,7,5236,67,68
32,35.13131807,136.5900831,49.242,-86482.002,-16668.519,7,5236,67,68
33,35.13132054,136.5900856,49.266,-86481.24,-16667.871,7,5236,67,68
34,35.13132301,136.5900882,49.289,-86480.481,-16667.221,7,5236,67,68
35,35.13132547,136.5900908,49.31,-86479.723,-16666.569,7,5236,67,68
