PLID,VID,Length,Dim
1,1,13.5,0.4
2,2,13.5,0.4
3,3,13.5,0.4
4,4,13.5,0.4
5,5,13.5,0.4
6,6,13.5,0.4
7,7,13.5,0.4
8,8,13.5,0.4
9,9,13.5,0.4
10,10,13.5,0.4
11,11,13.5,0.4
12,12,13.5,0.4
13,13,13.5,0.4
14,14,13.5,0.4
15,15,13.5,0.4
16,16,13.5,0.4
17,17,13.5,0.4
18,18,13.5,0.4
19,19,13.5,0.4
20,20,13.5,0.4
21,21,13.5,0.4
22,22,13.5,0.4
23,23,13.5,0.4
24,24,13.5,0.4
25,25,13.5,0.4
26,26,13.5,0.4
27,27,13.5,0.4
28,28,13.5,0.4
29,29,13.5,0.4
30,30,13.5,0.4
31,31,13.5,0.4
32,32,13.5,0.4
33,33,13.5,0.4
34,34,13.5,0.4
35,35,13.5,0.4
36,36,13.5,0.4
37,37,13.5,0.4
38,38,13.5,0.4
39,39,13.5,0.4
40,40,13.5,0.4
41,41,13.5,0.4
42,42,13.5,0.4
43,43,13.5,0.4
44,44,13.5,0.4
45,45,13.5,0.4
46,46,13.5,0.4
47,47,13.5,0.4
48,48,13.5,0.4
49,49,13.5,0.4
50,50,13.5,0.4
51,51,13.5,0.4
52,52,13.5,0.4
53,53,13.5,0.4
54,54,13.5,0.4
55,55,13.5,0.4
56,56,13.5,0.4
57,57,13.5,0.4
58,58,13.5,0.4
59,59,13.5,0.4
60,60,13.5,0.4
61,61,13.5,0.4
62,62,13.5,0.4
63,63,13.5,0.4
64,64,13.5,0.4
65,65,13.5,0.4
66,66,13.5,0.4
67,67,13.5,0.4
68,68,13.5,0.4
69,69,13.5,0.4
70,70,13.5,0.4
71,71,13.5,0.4
72,72,13.5,0.4
73,73,13.5,0.4
74,74,13.5,0.4
75,75,13.5,0.4
76,76,13.5,0.4
77,77,13.5,0.4
78,78,13.5,0.4
79,79,13.5,0.4
80,80,13.5,0.4
81,81,13.5,0.4
82,82,13.5,0.4
83,83,13.5,0.4
84,84,13.5,0.4
85,85,13.5,0.4
86,86,13.5,0.4
87,87,13.5,0.4
88,88,13.5,0.4
89,89,13.5,0.4
90,90,13.5,0.4
91,91,13.5,0.4
92,92,13.5,0.4
93,93,13.5,0.4
94,94,13.5,0.4
95,95,13.5,0.4
96,96,13.5,0.4
97,97,13.5,0.4
98,98,13.5,0.4
99,99,13.5,0.4
100,100,13.5,0.4
101,101,13.5,0.4
102,102,13.5,0.4
103,103,13.5,0.4
104,104,13.5,0.4
105,105,13.5,0.4
106,106,13.5,0.4
107,107,13.5,0.4
108,108,13.5,0.4
109,109,13.5,0.4
110,110,13.5,0.4
111,111,13.5,0.4
112,112,13.5,0.4
113,113,13.5,0.4
114,114,13.5,0.4
115,115,13.5,0.4
116,116,13.5,0.4
117,117,13.5,0.4
118,118,13.5,0.4
119,119,13.5,0.4
120,120,13.5,0.4
121,121,13.5,0.4
122,122,13.5,0.4
123,123,13.5,0.4
124,124,13.5,0.4
125,125,13.5,0.4
126,126,13.5,0.4
127,127,13.5,0.4
128,128,13.5,0.4
129,129,13.5,0.4
130,130,13.5,0.4
131,131,13.5,0.4
132,132,13.5,0.4
133,133,13.5,0.4
134,134,13.5,0.4
135,135,13.5,0.4
136,136,13.5,0.4
137,137,13.5,0.4
138,138,13.5,0.4
139,139,13.5,0.4
140,140,13.5,0.4
141,141,13.5,0.4
142,142,13.5,0.4
143,143,13.5,0.4
144,144,13.5,0.4
145,145,13.5,0.4
146,146,13.5,0.4
147,147,13.5,0.4
148,148,13.5,0.4
149,149,13.5,0.4
150,150,13.5,0.4
151,151,13.5,0.4
152,152,13.5,0.4
153,153,13.5,0.4
154,154,5.555,0.15
155,155,2.451,0.15
156,156,2.6,0.15
157,157,3.035,0.15
158,158,2.399,0.15
159,159,3.836,0.15
160,160,2.465,0.06
161,161,3.122,0.06
162,162,3.139,0.06
163,163,2.512,0.06
164,164,2.499,0.06
165,165,2.828,0.06
166,166,3.348,0.06
167,167,3.179,0.06
168,168,2.506,0.06
169,169,2.522,0.06
170,170,2.544,0.06
171,171,2.537,0.06
172,172,2.53,0.06
173,173,3.278,0.06
174,174,3.133,0.06
175,175,3.337,0.06
176,176,3.213,0.06
177,177,3.048,0.06
178,178,2.97,0.06
179,179,3.284,0.06
180,180,2.355,0.06
181,181,3.372,0.06
182,182,2.444,0.06
183,183,2.615,0.06
184,184,3.359,0.06
185,185,2.681,0.06
186,186,3.112,0.06
187,187,2.908,0.06
188,188,2.956,0.06
189,189,2.479,0.06
190,190,2.569,0.06
191,191,2.511,0.06
192,192,2.38,0.06
193,193,2.622,0.06
194,194,2.548,0.06
195,195,2.86,0.06
196,196,2.598,0.06
197,197,3.327,0.06
198,299,7,0.2
199,300,7,0.2
200,301,7,0.2
201,302,7,0.2
202,303,7,0.2
203,304,14,0.4
204,305,14,0.4
205,306,14,0.4
206,307,14,0.4
207,308,14,0.4
208,309,14,0.4
209,310,14,0.4
210,311,2.58,0.06
211,312,3.3,0.06
212,371,6,0.2
213,372,6,0.2
214,373,6,0.2
215,374,6,0.2
216,375,6,0.2
217,376,6,0.2
218,377,6,0.2
219,378,6,0.2
220,379,6,0.2
221,380,6,0.2
222,381,6,0.2
223,382,6,0.2
224,383,6,0.2
