ID,AID,Type,LinkID
1,181,1,5266
2,182,1,5129
3,183,1,5102
4,184,1,4265
5,185,1,4246
6,186,1,3890
7,187,1,3630
8,188,1,3605
9,189,1,3406
10,190,1,3387
11,191,1,3102
12,192,1,3081
13,193,1,2686
14,194,1,5373
15,195,1,11335
16,196,1,2286
17,197,1,2266
18,198,1,1980
19,199,1,1754
20,200,1,1730
21,201,1,1123
22,202,1,1104
23,203,1,276
24,204,1,250
25,205,1,113
26,206,1,1
27,207,2,5357
28,208,2,5337
29,209,2,5087
30,210,2,5066
31,211,2,4231
32,212,2,4211
33,213,2,4192
34,214,2,4190
35,215,2,4189
36,216,2,4171
37,217,2,4169
38,218,2,4168
39,219,2,3871
40,220,2,3851
41,221,2,3830
42,222,2,3620
43,223,2,3589
44,224,2,3569
45,225,2,3549
46,226,2,3533
47,227,2,3400
48,228,2,3372
49,229,2,3352
50,230,2,3328
51,231,2,3306
52,232,2,3066
53,233,2,3046
54,234,2,3027
55,235,2,3025
56,236,2,3022
57,237,2,3005
58,238,2,3003
59,239,2,3001
60,240,2,2667
61,241,2,2647
62,242,2,2626
63,243,2,2606
64,244,2,2250
65,245,2,2230
66,246,2,2210
67,247,2,2189
68,248,2,1946
69,249,2,1926
70,250,2,1906
71,251,2,1884
72,252,2,1714
74,254,2,1674
75,255,2,1652
76,256,2,1448
77,257,2,1428
78,258,2,1408
79,259,2,1089
80,260,2,1069
81,261,2,1050
82,262,2,1047
83,263,2,1046
84,264,2,1030
85,265,2,1028
86,266,2,1027
87,267,2,234
88,268,2,216
89,269,2,213
90,270,2,212
91,271,3,5316
92,272,3,5316
93,273,3,5315
94,274,3,5315
95,275,3,5312
96,276,3,5308
97,277,3,5305
98,278,3,5300
99,279,3,5301
100,280,3,5297
101,281,3,5297
102,282,3,5296
103,283,3,5293
104,284,3,5291
105,285,3,5290
106,286,3,4292
107,287,3,4296
108,288,3,4296
109,289,3,4295
110,290,3,4295
111,291,3,4288
112,292,3,4285
113,293,3,4282
114,294,3,4281
115,295,3,3947
116,296,3,3947
117,297,3,3946
118,298,3,3946
119,299,3,3943
120,300,3,3939
121,301,3,3935
122,302,3,3932
123,303,3,3931
124,304,3,3660
125,305,3,3660
126,306,3,3661
127,307,3,3661
128,308,3,3656
129,309,3,3653
130,310,3,3649
131,311,3,3647
132,312,3,3646
133,313,3,3436
134,314,3,3436
135,315,3,3437
136,316,3,3437
137,317,3,3432
138,318,3,3429
139,319,3,3425
140,320,3,3422
141,321,3,3423
142,322,3,3398
143,323,3,3398
144,324,3,3398
145,325,3,3398
146,326,3,3132
147,327,3,3132
148,328,3,3133
149,329,3,3133
150,330,3,3128
151,331,3,3125
152,332,3,3121
153,333,3,3119
154,334,3,3118
155,335,3,2717
156,336,3,2717
157,337,3,2716
158,338,3,2716
159,339,3,2713
160,340,3,2709
161,341,3,2706
162,342,3,2703
163,343,3,2702
164,344,3,44
165,345,3,44
166,346,3,45
167,347,3,45
168,348,3,40
169,349,3,37
170,350,3,37
171,351,3,38
172,352,3,37
173,353,3,37
174,354,3,37
175,355,3,36
176,356,3,36
177,357,3,33
178,358,3,1512
179,359,3,1513
180,360,3,1511
