ID,LID,LinkID
1,6838,5374
2,6839,5373
3,6840,5369
4,6841,5365
5,6842,5361
6,6843,5357
7,6844,5353
8,6845,5349
9,6846,5345
10,6847,5341
11,6848,5337
12,6849,5333
13,6850,5329
14,6851,5326
15,6852,5322
16,6853,5316
17,6854,5312
18,6855,5308
19,6856,5303
20,6857,5297
21,6858,5294
22,6859,5291
23,6860,5285
24,6861,5282
25,6862,5281
26,6863,5281
27,6864,5280
28,6865,5280
29,6866,5279
30,6867,5279
31,6868,5279
32,6869,5272
33,6870,5272
34,6871,5272
35,6872,5271
36,6873,5271
37,6874,5271
38,6875,5271
39,6876,5270
40,6877,5270
41,6878,5268
42,6879,5264
43,6880,5260
44,6881,5257
45,6882,5253
46,6883,5249
47,6884,5245
48,6885,5241
49,6886,5237
50,6887,5233
51,6888,5229
52,6889,5225
53,6890,5221
54,6891,5218
55,6892,5215
56,6893,5211
57,6894,5206
58,6895,5202
59,6896,5198
60,6897,5194
61,6898,5190
62,6899,5186
63,6900,5181
64,6901,5176
65,6902,5163
66,6903,5151
67,6904,5146
68,6905,5140
69,6906,5135
70,6907,5131
71,6908,5117
72,6909,5105
73,6910,5100
74,6911,5093
75,6912,5087
76,6913,5081
77,6914,5073
78,6915,5064
79,6916,5055
80,6917,5045
81,6918,5036
82,6919,5030
83,6920,5023
84,6921,5016
85,6922,5010
86,6923,5003
87,6924,4994
88,6925,4985
89,6926,4976
90,6927,4961
91,6928,4949
92,6929,4943
93,6930,4937
94,6931,4931
95,6932,4919
96,6933,4907
97,6934,4898
98,6935,4886
99,6936,4875
100,6937,4866
101,6938,4860
102,6939,4851
103,6940,4839
104,6941,4831
105,6942,4826
106,6943,4820
107,6944,4816
108,6945,4813
109,6946,4808
110,6947,4803
111,6948,4796
112,6949,4789
113,6950,4785
114,6951,4782
115,6952,4775
116,6953,4770
117,6954,4764
118,6955,4758
119,6956,4752
120,6957,4746
121,6958,4740
122,6959,4734
123,6960,4728
124,6961,4722
125,6962,4716
126,6963,4710
127,6964,4703
128,6965,4697
129,6966,4691
130,6967,4686
131,6968,4680
132,6969,4673
133,6970,4667
134,6971,4661
135,6972,4655
136,6973,4649
137,6974,4642
138,6975,4636
139,6976,4631
140,6977,4625
141,6978,4618
142,6979,4612
143,6980,4606
144,6981,4600
145,6982,4594
146,6983,4588
147,6984,4582
148,6985,4576
149,6986,4571
150,6987,4565
151,6988,4559
152,6989,4553
153,6990,4547
154,6991,4541
155,6992,4536
156,6993,4530
157,6994,4523
158,6995,4517
159,6996,4511
160,6997,4505
161,6998,4501
162,6999,4497
163,7000,4491
164,7001,4485
165,7002,4479
166,7003,4474
167,7004,4468
168,7005,4462
169,7006,4456
170,7007,4450
171,7008,4444
172,7009,4438
173,7010,4431
174,7011,4425
175,7012,4419
176,7013,4413
177,7014,4407
178,7015,4401
179,7016,4396
180,7017,4390
181,7018,4384
182,7019,4380
183,7020,4376
184,7021,4370
185,7022,4363
186,7023,4357
187,7024,4352
188,7025,4347
189,7026,4341
190,7027,4332
191,7028,4327
192,7029,4322
193,7030,4314
194,7031,4307
195,7032,4301
196,7033,4295
197,7034,4290
198,7035,4285
199,7036,4279
200,7037,4273
201,7038,4267
202,7039,4263
203,7040,4261
204,7041,4261
205,7042,4260
206,7043,4260
207,7044,4260
208,7045,4248
209,7046,4244
210,7047,4240
211,7048,4235
212,7049,4229
213,7050,4223
214,7051,4217
215,7052,4211
216,7053,4205
217,7054,4199
218,7055,4193
219,7056,4187
220,7057,4181
221,7058,4174
222,7059,4167
223,7060,4161
224,7061,4155
225,7062,4148
226,7063,4142
227,7064,4136
228,7065,4129
229,7066,4123
230,7067,4117
231,7068,4111
232,7069,4104
233,7070,4096
234,7071,4090
235,7072,4085
236,7073,4080
237,7074,4075
238,7075,4069
239,7076,4062
240,7077,4057
241,7078,4051
242,7079,4045
243,7080,4040
244,7081,4037
245,7082,4031
246,7083,4027
247,7084,4022
248,7085,4017
249,7086,4011
250,7087,4007
251,7088,4002
252,7089,3995
253,7090,3989
254,7091,3983
255,7092,3977
256,7093,3971
257,7094,3965
258,7095,3959
259,7096,3953
260,7097,3947
261,7098,3941
262,7099,3934
263,7100,3928
264,7101,3922
265,7102,3916
266,7103,3910
267,7104,3904
268,7105,3898
269,7106,3893
270,7107,3886
271,7108,3880
272,7109,3872
273,7110,3866
274,7111,3860
275,7112,3854
276,7113,3849
277,7114,3846
278,7115,3845
279,7116,3841
280,7117,3835
281,7118,3830
282,7119,3824
283,7120,3818
284,7121,3812
285,7122,3806
286,7123,3800
287,7124,3794
288,7125,3788
289,7126,3781
290,7127,3777
291,7128,3772
292,7129,3766
293,7130,3758
294,7131,3751
295,7132,3744
296,7133,3737
297,7134,3732
298,7135,3726
299,7136,3720
300,7137,3714
301,7138,3708
302,7139,3703
303,7140,3697
304,7141,3693
305,7142,3689
306,7143,3682
307,7144,3676
308,7145,3672
309,7146,3667
310,7147,3660
311,7148,3654
312,7149,3648
313,7150,3644
314,7151,3640
315,7152,3636
316,7153,3631
317,7154,3625
318,7155,3621
319,7156,3620
320,7157,3620
321,7158,3620
322,7159,3619
323,7160,3619
324,7161,3619
