ID,VID,PLID,Type,LinkID
1,198,159,0,2692
2,199,197,0,2763
3,200,196,0,2820
4,201,193,0,3115
5,202,191,0,3302
6,203,189,0,3421
7,204,188,0,3457
8,205,158,0,3656
9,206,185,0,3758
10,207,157,0,3797
11,208,184,0,3862
12,209,183,0,3923
13,210,182,0,3958
14,211,181,0,3985
15,212,156,0,4064
16,213,176,0,4273
17,214,175,0,4406
18,215,99,0,4657
19,216,169,0,4892
20,217,168,0,5007
21,218,166,0,5155
22,219,163,0,5298
23,220,162,0,5336
24,221,161,0,5364
25,222,160,0,11
26,223,164,0,92
27,224,165,0,136
28,225,167,0,288
29,226,170,0,505
30,227,171,0,529
31,228,172,0,601
32,229,173,0,613
33,230,154,0,694
34,231,154,0,694
35,232,174,0,742
36,233,177,0,1134
37,234,155,0,1150
38,235,178,0,1169
39,236,179,0,1187
40,237,180,0,1297
41,238,46,0,1490
42,239,186,0,1762
43,240,187,0,1898
44,241,190,0,1996
45,242,192,0,2097
46,243,194,0,2304
47,244,195,0,2307
48,325,210,0,5468
49,326,211,0,5629
