ID,VID,PLID,Type,LinkID
1,245,217,3,7
2,246,215,3,5365
3,247,218,3,124
4,248,9,3,282
5,249,220,3,1128
6,250,46,3,1490
7,251,53,3,1751
8,252,59,3,1991
9,253,67,3,2292
10,254,224,3,11371
11,255,214,3,5267
12,256,85,3,5134
13,257,213,3,8212
14,258,120,3,3924
15,259,127,3,3636
16,260,133,3,3412
17,261,141,3,3109
18,262,159,3,2692
19,263,217,2,7
20,264,215,2,5365
21,265,218,2,124
22,266,9,2,282
23,267,220,2,1128
24,268,46,2,1490
25,269,53,2,1751
26,270,59,2,1991
27,271,67,2,2292
28,272,224,2,11371
29,273,214,2,5267
30,274,85,2,5134
31,275,213,2,4271
32,276,120,2,3924
33,277,127,2,3636
34,278,133,2,3412
35,279,141,2,3109
36,280,159,2,2692
37,281,217,1,7
38,282,215,1,5365
39,283,218,1,13383
40,284,9,1,282
41,285,220,1,13460
42,286,46,1,1490
43,287,53,1,1751
44,288,59,1,13082
45,289,67,1,2292
46,290,224,1,11371
47,291,214,1,8273
48,292,85,1,8254
49,293,213,1,8212
50,294,120,1,3924
51,295,127,1,8142
52,296,133,1,3412
53,297,141,1,3109
54,298,159,1,8026
55,313,198,1,5624
56,314,212,1,5651
57,315,0,1,11338
58,316,198,2,5624
59,317,212,2,5651
60,318,0,2,11337
61,319,198,3,5624
62,320,212,3,5651
63,321,0,3,11337
64,322,198,9,5624
65,323,212,9,5651
66,324,0,9,11338
67,327,216,3,8321
68,328,85,3,5134
69,329,8,3,243
70,330,219,3,1098
71,331,112,3,4239
72,332,45,3,1447
73,333,121,3,3892
74,334,221,3,1722
75,335,128,3,3597
76,336,222,3,1964
77,337,134,3,3381
78,338,66,3,2260
79,339,142,3,3073
80,340,223,3,11327
81,341,216,2,8321
82,342,85,2,5134
83,343,8,2,243
84,344,219,2,1097
85,345,112,2,4239
86,346,45,2,1447
87,347,121,2,3892
88,348,221,2,1722
89,349,128,2,3597
90,350,222,2,1964
91,351,134,2,3380
92,352,66,2,2260
93,353,142,2,3073
94,354,223,2,11327
95,355,216,1,8321
96,356,85,1,5134
97,357,8,1,244
98,358,219,1,1098
99,359,112,1,4239
100,360,45,1,1447
101,361,121,1,3892
102,362,221,1,1722
103,363,128,1,3597
104,364,222,1,1964
105,365,134,1,3381
106,366,66,1,2260
107,367,142,1,3073
108,368,223,1,11327
109,369,223,9,11327
110,370,159,9,2692
