ID,LID,TLID,SignID,LinkID
1,16649,315,0,5627
2,16650,315,0,5626
3,16651,290,0,11327
4,16652,290,0,14162
5,16653,290,0,13610
6,16654,297,0,3073
7,16655,297,0,8354
8,16656,297,0,10830
9,16657,297,0,11151
10,16658,289,0,2258
11,16659,289,0,13572
12,16660,289,0,13779
13,16661,0,0,10866
14,16662,296,0,3379
15,16663,296,0,8068
16,16664,296,0,10867
17,16665,296,0,11182
18,16666,288,0,1954
19,16667,288,0,13537
20,16668,288,0,13748
21,16669,295,0,3597
22,16670,295,0,8103
23,16671,295,0,10902
24,16672,295,0,10903
25,16673,287,0,1722
26,16674,287,0,13717
27,16675,287,0,13496
28,16676,294,0,3880
29,16677,294,0,8487
30,16678,294,0,10943
31,16679,294,0,11214
32,16680,286,0,1456
33,16681,286,0,13685
34,16682,293,0,4239
35,16683,293,0,6975
36,16684,293,0,9775
37,16685,293,0,9775
38,16686,285,0,1096
39,16687,285,0,12410
40,16688,285,0,12410
41,16689,292,0,5095
42,16690,292,0,7801
43,16691,292,0,10600
44,16692,292,0,10600
45,16693,284,0,242
46,16694,284,0,11591
47,16695,291,0,5252
48,16696,291,0,8258
49,16697,291,0,11055
50,16698,291,0,10717
51,16699,283,0,108
52,16700,283,0,13368
53,16701,355,0,11074
54,16702,355,0,11074
55,16703,355,0,8277
56,16704,355,0,5365
57,16705,281,0,11286
58,16706,281,0,13320
59,16707,281,0,13320
60,16708,0,0,11312
61,16709,0,0,8305
62,16710,298,0,5651
63,16711,298,0,7985
64,16712,298,0,10785
65,16713,298,0,10785
