ID,LID,PLID,LinkID
1,8325,0,1743
2,8326,0,4518
3,8327,0,23
4,8328,0,61
5,8329,0,93
6,8330,0,129
7,8331,0,166
8,8332,0,202
9,8333,0,237
10,8334,0,288
11,8335,0,325
12,8336,0,360
13,8337,0,395
14,8338,0,428
15,8339,0,461
16,8340,0,497
17,8341,0,542
18,8342,0,579
19,8343,0,614
20,8344,0,650
21,8345,0,684
22,8346,0,722
23,8347,0,756
24,8348,0,791
25,8349,0,825
26,8350,0,860
27,8351,0,904
28,8352,0,929
29,8353,0,963
30,8354,0,990
31,8355,0,1047
32,8356,0,1082
33,8357,0,1119
34,8358,0,1150
35,8359,0,1187
36,8360,0,1229
37,8361,0,1266
38,8362,0,1297
39,8363,0,1334
40,8364,0,1369
41,8365,0,1405
42,8366,0,1443
43,8367,0,1486
44,8368,0,1513
45,8369,0,1547
46,8370,0,1582
47,8371,0,1616
48,8372,0,1650
49,8373,0,1688
50,8374,0,1720
51,8375,0,1774
52,8376,0,1808
53,8377,0,1842
54,8378,0,1880
55,8379,0,1918
56,8380,0,1954
57,8381,0,1988
58,8382,0,2021
59,8383,0,2053
60,8384,0,2079
61,8385,0,2119
62,8386,0,2151
63,8387,0,2185
64,8388,0,2222
65,8389,0,2257
66,8390,0,2295
67,8391,0,2329
68,8392,0,2365
69,8393,0,2404
70,8394,0,2440
71,8395,0,2513
72,8396,0,2545
73,8397,0,2582
74,8398,0,2618
75,8399,0,2647
76,8400,0,2674
77,8401,0,5347
78,8402,0,5315
79,8403,0,5284
80,8404,0,5250
81,8405,0,5216
82,8406,0,5180
83,8407,0,5145
84,8408,0,5120
85,8409,0,5090
86,8410,0,5053
87,8411,0,5017
88,8412,0,4984
89,8413,0,4949
90,8414,0,4917
91,8415,0,4882
92,8416,0,4857
93,8417,0,4836
94,8418,0,4800
95,8419,0,4766
96,8420,0,4732
97,8421,0,4696
98,8422,0,4661
99,8423,0,4624
100,8424,0,4589
101,8425,0,4553
102,8426,0,4482
103,8427,0,4447
104,8428,0,4410
105,8429,0,4370
106,8430,0,4328
107,8431,0,4303
108,8432,0,4275
109,8433,0,4239
110,8434,0,4208
111,8435,0,4172
112,8436,0,4138
113,8437,0,4102
114,8438,0,4065
115,8439,0,4030
116,8440,0,3996
117,8441,0,3961
118,8442,0,3926
119,8443,0,3893
120,8444,0,3857
121,8445,0,3817
122,8446,0,3798
123,8447,0,3760
124,8448,0,3725
125,8449,0,3690
126,8450,0,3657
127,8451,0,3621
128,8452,0,3595
129,8453,0,3563
130,8454,0,3533
131,8455,0,3502
132,8456,0,3472
133,8457,0,3441
134,8458,0,3413
135,8459,0,3381
136,8460,0,3348
137,8461,0,3313
138,8462,0,3280
139,8463,0,3244
140,8464,0,3215
141,8465,0,3182
142,8466,0,3145
143,8467,0,3110
144,8468,0,3072
145,8469,0,3037
146,8470,0,3000
147,8471,0,2963
148,8472,0,2927
149,8473,0,2891
150,8474,0,2860
151,8475,0,2819
152,8476,0,2790
153,8477,0,2754
154,8478,0,2725
155,8479,0,2694
156,15560,202,5398
157,15561,201,5455
158,15562,200,5512
159,15563,199,5572
160,15564,198,5627
