ID,PLID,LinkID
1,1,11314
2,2,5
3,3,56
4,4,85
5,5,141
6,6,187
7,7,221
8,8,244
9,9,282
10,10,325
11,11,364
12,12,405
13,13,435
14,14,464
15,15,495
16,16,538
17,17,538
18,18,575
19,19,576
20,20,617
21,21,652
22,22,690
23,23,723
24,24,760
25,25,795
26,26,832
27,27,870
28,28,908
29,29,933
30,30,960
31,31,986
32,32,1027
33,33,1057
34,34,1089
35,35,1115
36,36,1134
37,37,1169
38,38,1205
39,39,1236
40,40,1268
41,41,1299
42,42,1337
43,43,1374
44,44,1417
45,45,1447
46,46,1491
47,47,1529
48,48,1565
49,49,1596
50,50,1637
51,51,1676
52,52,1718
53,53,1751
54,54,1796
55,55,1832
56,56,1875
57,57,1899
58,58,1939
59,59,1992
60,60,2033
61,61,2064
62,62,2097
63,63,2151
64,64,2188
65,65,2225
66,66,2260
67,67,2292
68,68,2331
69,69,2352
70,70,2392
71,71,2422
72,72,2452
73,73,2484
74,74,2504
75,75,2525
76,76,2556
77,77,2590
78,78,2620
79,79,2642
80,80,2672
81,81,5233
82,82,5199
83,83,5168
84,84,5147
85,85,5134
86,86,5119
87,87,5095
88,88,5049
89,89,5013
90,90,4978
91,91,4953
92,92,4913
93,93,4879
94,94,4844
95,95,4803
96,96,4763
97,97,4728
98,98,4693
99,99,4657
100,100,4621
101,101,4585
102,102,4550
103,103,4514
104,104,4479
105,105,4443
106,106,4407
107,107,4385
108,108,4357
109,109,4312
110,110,4276
111,111,4260
112,112,4239
113,113,4206
114,114,4170
115,115,4135
116,116,4103
117,117,4049
118,118,3995
119,119,3959
120,120,3924
121,121,3893
122,122,3855
123,123,3812
124,124,3761
125,125,3718
126,126,3675
127,127,3636
128,128,3597
129,129,3565
130,130,3532
131,131,3491
132,132,3454
133,133,3412
134,134,3381
135,135,3347
136,136,3317
137,137,3280
138,138,3229
139,139,3185
140,140,3152
141,141,3109
142,142,3074
143,143,3040
144,144,3003
145,145,2966
146,146,2931
147,147,2897
148,148,2866
149,149,2841
150,150,2804
151,151,2767
152,152,2732
153,153,2695
154,203,5616
155,204,5520
156,205,5482
157,206,5450
158,207,5417
159,208,5380
160,209,5570
