VID,PID,Hang,Vang
1,34967,0,0
2,34968,0,0
3,34969,0,0
4,34970,0,0
5,34971,0,0
6,34972,0,0
7,34973,0,0
8,34974,0,0
9,34975,0,0
10,34976,0,0
11,34977,0,0
12,34978,0,0
13,34979,0,0
14,34980,0,0
15,34981,0,0
16,34982,0,0
17,34983,0,0
18,34984,0,0
19,34985,0,0
20,34986,0,0
21,34987,0,0
22,34988,0,0
23,34989,0,0
24,34990,0,0
25,34991,0,0
26,34992,0,0
27,34993,0,0
28,34994,0,0
29,34995,0,0
30,34996,0,0
31,34997,0,0
32,34998,0,0
33,34999,0,0
34,35000,0,0
35,35001,0,0
36,35002,0,0
37,35003,0,0
38,35004,0,0
39,35005,0,0
40,35006,0,0
41,35007,0,0
42,35008,0,0
43,35009,0,0
44,35010,0,0
45,35011,0,0
46,35012,0,0
47,35013,0,0
48,35014,0,0
49,35015,0,0
50,35016,0,0
51,35017,0,0
52,35018,0,0
53,35019,0,0
54,35020,0,0
55,35021,0,0
56,35022,0,0
57,35023,0,0
58,35024,0,0
59,35025,0,0
60,35026,0,0
61,35027,0,0
62,35028,0,0
63,35029,0,0
64,35030,0,0
65,35031,0,0
66,35032,0,0
67,35033,0,0
68,35034,0,0
69,35035,0,0
70,35036,0,0
71,35037,0,0
72,35038,0,0
73,35039,0,0
74,35040,0,0
75,35041,0,0
76,35042,0,0
77,35043,0,0
78,35044,0,0
79,35045,0,0
80,35046,0,0
81,35047,0,0
82,35048,0,0
83,35049,0,0
84,35050,0,0
85,35051,0,0
86,35052,0,0
87,35053,0,0
88,35054,0,0
89,35055,0,0
90,35056,0,0
91,35057,0,0
92,35058,0,0
93,35059,0,0
94,35060,0,0
95,35061,0,0
96,35062,0,0
97,35063,0,0
98,35064,0,0
99,35065,0,0
100,35066,0,0
101,35067,0,0
102,35068,0,0
103,35069,0,0
104,35070,0,0
105,35071,0,0
106,35072,0,0
107,35073,0,0
108,35074,0,0
109,35075,0,0
110,35076,0,0
111,35077,0,0
112,35078,0,0
113,35079,0,0
114,35080,0,0
115,35081,0,0
116,35082,0,0
117,35083,0,0
118,35084,0,0
119,35085,0,0
120,35086,0,0
121,35087,0,0
122,35088,0,0
123,35089,0,0
124,35090,0,0
125,35091,0,0
126,35092,0,0
127,35093,0,0
128,35094,0,0
129,35095,0,0
130,35096,0,0
131,35097,0,0
132,35098,0,0
133,35099,0,0
134,35100,0,0
135,35101,0,0
136,35102,0,0
137,35103,0,0
138,35104,0,0
139,35105,0,0
140,35106,0,0
141,35107,0,0
142,35108,0,0
143,35109,0,0
144,35110,0,0
145,35111,0,0
146,35112,0,0
147,35113,0,0
148,35114,0,0
149,35115,0,0
150,35116,0,0
151,35117,0,0
152,35118,0,0
153,35119,0,0
154,35120,0,0
155,35121,0,0
156,35122,0,0
157,35123,0,0
158,35124,0,0
159,35125,0,0
160,35126,0,0
161,35127,0,0
162,35128,0,0
163,35129,0,0
164,35130,0,0
165,35131,0,0
166,35132,0,0
167,35133,0,0
168,35134,0,0
169,35135,0,0
170,35136,0,0
171,35137,0,0
172,35138,0,0
173,35139,0,0
174,35140,0,0
175,35141,0,0
176,35142,0,0
177,35143,0,0
178,35144,0,0
179,35145,0,0
180,35146,0,0
181,35147,0,0
182,35148,0,0
183,35149,0,0
184,35150,0,0
185,35151,0,0
186,35152,0,0
187,35153,0,0
188,35154,0,0
