ID,LID,Width,Color,type,LinkID
1,1,0.15,W,0,11327
2,2,0.15,W,0,2673
3,3,0.15,W,0,2671
4,4,0.15,W,0,2668
5,5,0.15,W,0,2666
6,6,0.15,W,0,2665
7,7,0.15,W,0,2663
8,8,0.15,W,0,2662
9,9,0.15,W,0,2660
10,10,0.15,W,0,2657
11,11,0.15,W,0,2653
12,12,0.15,W,0,2650
13,13,0.15,W,0,2646
14,14,0.15,W,0,2642
15,15,0.15,W,0,2637
16,16,0.15,W,0,2633
17,17,0.15,W,0,2628
18,18,0.15,W,0,2625
19,19,0.15,W,0,2621
20,20,0.15,W,0,2609
21,21,0.15,W,0,2597
22,22,0.15,W,0,2593
23,23,0.15,W,0,2589
24,24,0.15,W,0,2584
25,25,0.15,W,0,2580
26,26,0.15,W,0,2576
27,27,0.15,W,0,2572
28,28,0.15,W,0,2569
29,29,0.15,W,0,2567
30,30,0.15,W,0,2565
31,31,0.15,W,0,2563
32,32,0.15,W,0,2561
33,33,0.15,W,0,2559
34,34,0.15,W,0,2556
35,35,0.15,W,0,2555
36,36,0.15,W,0,2553
37,37,0.15,W,0,2552
38,38,0.15,W,0,2549
39,39,0.15,W,0,2547
40,40,0.15,W,0,2545
41,41,0.15,W,0,2542
42,42,0.15,W,0,2540
43,43,0.15,W,0,2538
44,44,0.15,W,0,2536
45,45,0.15,W,0,2535
46,46,0.15,W,0,2535
47,47,0.15,W,0,2535
48,48,0.15,W,0,2534
49,49,0.15,W,0,2534
50,50,0.15,W,0,2534
51,51,0.15,W,0,2533
52,52,0.15,W,0,2533
53,53,0.15,W,0,2533
54,54,0.15,W,0,2533
55,55,0.15,W,0,2533
56,56,0.15,W,0,2532
57,57,0.15,W,0,2532
58,58,0.15,W,0,2532
59,59,0.15,W,0,2532
60,60,0.15,W,0,2528
61,61,0.15,W,0,2528
62,62,0.15,W,0,2528
63,63,0.15,W,0,2528
64,64,0.15,W,0,2528
65,65,0.15,W,0,2528
66,66,0.15,W,0,2528
67,67,0.15,W,0,2528
68,68,0.15,W,0,2528
69,69,0.15,W,0,2527
70,70,0.15,W,0,2527
71,71,0.15,W,0,2527
72,72,0.15,W,0,2527
73,73,0.15,W,0,2527
74,74,0.15,W,0,2526
75,75,0.15,W,0,2526
76,76,0.15,W,0,2525
77,77,0.15,W,0,2524
78,78,0.15,W,0,2522
79,79,0.15,W,0,2519
80,80,0.15,W,0,2516
81,81,0.15,W,0,2511
82,82,0.15,W,0,2507
83,83,0.15,W,0,2503
84,84,0.15,W,0,2499
85,85,0.15,W,0,2495
86,86,0.15,W,0,2491
87,87,0.15,W,0,2487
88,88,0.15,W,0,2484
89,89,0.15,W,0,2482
90,90,0.15,W,0,2480
91,91,0.15,W,0,2478
92,92,0.15,W,0,2477
93,93,0.15,W,0,2476
94,94,0.15,W,0,2476
95,95,0.15,W,0,2476
96,96,0.15,W,0,2476
97,97,0.15,W,0,2475
98,98,0.15,W,0,2475
99,99,0.15,W,0,2475
100,100,0.15,W,0,2475
101,101,0.15,W,0,2474
102,102,0.15,W,0,2474
103,103,0.15,W,0,2474
104,104,0.15,W,0,2474
105,105,0.15,W,0,2474
106,106,0.15,W,0,2474
107,107,0.15,W,0,2474
108,108,0.15,W,0,2474
109,109,0.15,W,0,2474
110,110,0.15,W,0,2474
111,111,0.15,W,0,2469
112,112,0.15,W,0,2469
113,113,0.15,W,0,2469
114,114,0.15,W,0,2469
115,115,0.15,W,0,2469
116,116,0.15,W,0,2469
117,117,0.15,W,0,2469
118,118,0.15,W,0,2468
119,119,0.15,W,0,2468
120,120,0.15,W,0,2468
121,121,0.15,W,0,2468
122,122,0.15,W,0,2467
123,123,0.15,W,0,2467
124,124,0.15,W,0,2467
125,125,0.15,W,0,2466
126,126,0.15,W,0,2465
127,127,0.15,W,0,2463
128,128,0.15,W,0,2459
129,129,0.15,W,0,2455
130,130,0.15,W,0,2451
131,131,0.15,W,0,2447
132,132,0.15,W,0,2443
133,133,0.15,W,0,2439
134,134,0.15,W,0,2434
135,135,0.15,W,0,2430
136,136,0.15,W,0,2426
137,137,0.15,W,0,2422
138,138,0.15,W,0,2418
139,139,0.15,W,0,2414
140,140,0.15,W,0,2410
141,141,0.15,W,0,2406
142,142,0.15,W,0,2402
143,143,0.15,W,0,2398
144,144,0.15,W,0,2394
145,145,0.15,W,0,2390
146,146,0.15,W,0,2386
147,147,0.15,W,0,2383
148,148,0.15,W,0,2382
149,149,0.15,W,0,2382
150,150,0.15,W,0,2382
151,151,0.15,W,0,2381
152,152,0.15,W,0,2381
153,153,0.15,W,0,2381
154,154,0.15,W,0,2380
155,155,0.15,W,0,2380
156,156,0.15,W,0,2380
157,157,0.15,W,0,2380
158,158,0.15,W,0,2379
159,159,0.15,W,0,2378
160,160,0.15,W,0,2378
161,161,0.15,W,0,2378
162,162,0.15,W,0,2378
163,163,0.15,W,0,2378
164,164,0.15,W,0,2374
