DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,-1.57079631462693,0,0,0,0,0.1,0.1
2,1,2,-1.57079631462693,0,0,0,0,0.1,0.1
3,2,3,-1.57079631462693,0,0,0,0,0.1,0.1
4,3,4,-1.57079631462693,0,0,0,0,0.1,0.1
5,4,5,-1.57079631462693,0,0,0,0,0.1,0.1
6,5,6,-1.57079631462693,0,0,0,0,0.1,0.1
7,6,7,-1.57079631462693,0,0,0,0,0.1,0.1
8,7,8,-1.57079631462693,0,0,0,0,0.1,0.1
9,8,9,-1.57079631462693,0,0,0,0,0.1,0.1
10,9,10,-1.57079631462693,0,0,0,0,0.1,0.1
11,10,11,-1.57079631462693,0,0,0,0,0.1,0.1
12,11,12,-1.57079631462693,0,0,0,0,0.1,0.1
13,12,13,-1.57079631462693,0,0,0,0,0.1,0.1
14,13,14,-1.57079631462693,0,0,0,0,0.1,0.1
15,14,15,-5.79441956848939,0,0,0,0,0.1,0.1
16,0,16,-3.14159262925386,0,0,0,0,0.1,0.1
17,1,17,-3.14159262925386,0,0,0,0,0.1,0.1
18,2,18,-3.14159262925386,0,0,0,0,0.1,0.1
19,3,19,-3.14159262925386,0,0,0,0,0.1,0.1
20,4,20,-3.14159262925386,0,0,0,0,0.1,0.1
21,5,21,-3.14159262925386,0,0,0,0,0.1,0.1
22,6,22,-3.14159262925386,0,0,0,0,0.1,0.1
23,7,23,-3.14159262925386,0,0,0,0,0.1,0.1
24,8,24,-3.14159262925386,0,0,0,0,0.1,0.1
25,9,25,-3.14159262925386,0,0,0,0,0.1,0.1
26,10,26,-3.14159262925386,0,0,0,0,0.1,0.1
27,11,27,-3.14159262925386,0,0,0,0,0.1,0.1
28,12,28,-3.14159262925386,0,0,0,0,0.1,0.1
29,13,29,-3.14159262925386,0,0,0,0,0.1,0.1
30,14,30,-5.17624182735887,0,0,0,0,0.1,0.1
31,0,31,0,0,0,0,0,0.1,0.1
32,1,32,0,0,0,0,0,0.1,0.1
33,2,33,0,0,0,0,0,0.1,0.1
34,3,34,0,0,0,0,0,0.1,0.1
35,4,35,0,0,0,0,0,0.1,0.1
36,5,36,0,0,0,0,0,0.1,0.1
37,6,37,0,0,0,0,0,0.1,0.1
38,7,38,0,0,0,0,0,0.1,0.1
39,8,39,0,0,0,0,0,0.1,0.1
40,9,40,0,0,0,0,0,0.1,0.1
41,10,41,0,0,0,0,0,0.1,0.1
42,11,42,0,0,0,0,0,0.1,0.1
43,12,43,0,0,0,0,0,0.1,0.1
44,13,44,0,0,0,0,0,0.1,0.1
45,14,45,-4.13444970229691,0,0,0,0,0.1,0.1
46,0,46,-4.7123889438808,0,0,0,0,0.1,0.1
47,1,47,-4.7123889438808,0,0,0,0,0.1,0.1
48,2,48,-4.7123889438808,0,0,0,0,0.1,0.1
49,3,49,-4.7123889438808,0,0,0,0,0.1,0.1
50,4,50,-4.7123889438808,0,0,0,0,0.1,0.1
51,5,51,-4.7123889438808,0,0,0,0,0.1,0.1
52,6,52,-4.7123889438808,0,0,0,0,0.1,0.1
53,7,53,-4.7123889438808,0,0,0,0,0.1,0.1
54,8,54,-4.7123889438808,0,0,0,0,0.1,0.1
55,9,55,-4.7123889438808,0,0,0,0,0.1,0.1
56,10,56,-4.7123889438808,0,0,0,0,0.1,0.1
57,11,57,-4.7123889438808,0,0,0,0,0.1,0.1
58,12,58,-4.7123889438808,0,0,0,0,0.1,0.1
59,13,59,-4.7123889438808,0,0,0,0,0.1,0.1
60,14,60,-1.48252064781595,0,0,0,0,0.1,0.1
61,0,61,-3.45030972253383,0,0,0,0,0.1,0.1
62,1,62,-3.4566895911918,0,0,0,0,0.1,0.1
63,2,63,-3.94741563407337,0,0,0,0,0.1,0.1
64,3,64,-3.94741510144115,0,0,0,0,0.1,0.1
65,4,65,-4.20213101139979,0,0,0,0,0.1,0.1
66,5,66,-4.41006370348362,0,0,0,0,0.1,0.1
67,6,67,-4.4100631708514,0,0,0,0,0.1,0.1
68,7,68,-2.43597026072408,0,0,0,0,0.1,0.1
69,0,69,-2.95679987738637,0,0,0,0,0.1,0.1
70,1,70,-2.95679987738637,0,0,0,0,0.1,0.1
71,2,71,-2.93200930993919,0,0,0,0,0.1,0.1
72,3,72,-2.80566388879848,0,0,0,0,0.1,0.1
73,4,73,-2.80566655195955,0,0,0,0,0.1,0.1
74,5,74,-2.75125098077581,0,0,0,0,0.1,0.1
75,6,75,-2.30514407108402,0,0,0,0,0.1,0.1
76,7,76,-2.30514220687127,0,0,0,0,0.1,0.1
77,8,77,-2.24033178540125,0,0,0,0,0.1,0.1
78,9,78,-2.00388502722099,0,0,0,0,0.1,0.1
79,10,79,-2.00388649195958,0,0,0,0,0.1,0.1
80,11,80,-1.95299335076434,0,0,0,0,0.1,0.1
81,12,81,-1.67906646211513,0,0,0,0,0.1,0.1
82,13,82,-1.67906632895708,0,0,0,0,0.1,0.1
83,14,83,-1.67906646211513,0,0,0,0,0.1,0.1
84,15,84,-6.27291557679172,0,0,0,0,0.1,0.1
85,0,85,-4.6219021875919,0,0,0,0,0.1,0.1
86,1,86,-4.6219021875919,0,0,0,0,0.1,0.1
87,2,87,-4.58700891862776,0,0,0,0,0.1,0.1
88,3,88,-4.28342719883801,0,0,0,0,0.1,0.1
89,4,89,-4.28342719883801,0,0,0,0,0.1,0.1
90,5,90,-4.20703069513536,0,0,0,0,0.1,0.1
91,6,91,-3.89997088698891,0,0,0,0,0.1,0.1
92,7,92,-3.89997141962112,0,0,0,0,0.1,0.1
93,8,93,-3.89997328383387,0,0,0,0,0.1,0.1
94,9,94,-3.57985732854445,0,0,0,0,0.1,0.1
95,10,95,-3.57602956713933,0,0,0,0,0.1,0.1
96,11,96,-3.52003713828637,0,0,0,0,0.1,0.1
97,12,97,-3.23918390032773,0,0,0,0,0.1,0.1
98,13,98,-3.23918123716666,0,0,0,0,0.1,0.1
99,14,99,-3.23918390032773,0,0,0,0,0.1,0.1
100,15,100,-4.65932013324988,0,0,0,0,0.1,0.1
101,0,101,-5.03818302488639,0,0,0,0,0.1,0.1
102,1,102,-5.03818302488639,0,0,0,0,0.1,0.1
103,2,103,-5.47047744969149,0,0,0,0,0.1,0.1
104,3,104,-5.50579043284017,0,0,0,0,0.1,0.1
105,4,105,-5.77375130806161,0,0,0,0,0.1,0.1
106,5,106,-5.97398586675808,0,0,0,0,0.1,0.1
107,6,107,-5.97398373622923,0,0,0,0,0.1,0.1
108,7,108,-4.59864320407576,0,0,0,0,0.1,0.1
109,0,109,-0.224022545869556,0,0,0,0,0.1,0.1
110,1,110,-0.224022545869556,0,0,0,0,0.1,0.1
111,2,111,-0.692879742023713,0,0,0,0,0.1,0.1
112,3,112,-0.77605186011926,0,0,0,0,0.1,0.1
113,4,113,-1.20288727078517,0,0,0,0,0.1,0.1
114,5,114,-1.28657404475739,0,0,0,0,0.1,0.1
115,6,115,-1.28657444423155,0,0,0,0,0.1,0.1
116,7,116,-5.72989969789205,0,0,0,0,0.1,0.1
