LID,BPID,FPID,BLID,FLID
1,10212,10213,0,0
2,10214,10215,0,0
3,10216,10217,0,0
4,10218,10219,0,0
5,10220,10221,0,0
6,10222,10223,0,0
7,10224,10225,0,0
8,10226,10227,0,0
9,10228,10229,0,0
10,10230,10231,0,0
11,10232,10233,0,0
12,10234,10235,0,0
13,10236,10237,0,0
14,10238,10239,0,0
15,10240,10241,0,0
16,10242,10243,0,0
17,10244,10245,0,0
18,10246,10247,0,0
19,10248,10249,0,0
20,10250,10251,0,0
21,10252,10253,0,0
22,10254,10255,0,0
23,10256,10257,0,0
24,10258,10259,0,0
25,10260,10261,0,0
26,10262,10263,0,0
27,10264,10265,0,0
28,10266,10267,0,0
29,10268,10269,0,0
30,10270,10271,0,0
31,10272,10273,0,0
32,10274,10275,0,0
33,10276,10277,0,0
34,10278,10279,0,0
35,10280,10281,0,0
36,10282,10283,0,0
37,10284,10285,0,0
38,10286,10287,0,0
39,10288,10289,0,0
40,10290,10291,0,0
41,10292,10293,0,0
42,10294,10295,0,0
43,10296,10297,0,0
44,10298,10299,0,0
45,10300,10301,0,0
46,10302,10303,0,0
47,10304,10305,0,0
48,10306,10307,0,793
49,10308,10309,103,0
50,10310,10311,72,796
51,10312,10313,71,798
52,10314,10315,100,0
53,10316,10317,0,800
54,10318,10319,106,802
55,10320,10321,219,804
56,10322,10323,120,0
57,10324,10325,0,806
58,10326,10327,128,808
59,10328,10329,127,810
60,10330,10331,0,811
61,10332,10333,67,0
62,10334,10335,0,0
63,10336,10337,0,0
64,10338,10339,0,813
65,10340,10341,77,0
66,10342,10343,60,0
67,10344,10345,0,816
68,10346,10347,82,818
69,10348,10349,165,820
70,10350,10351,50,0
71,10352,10353,0,822
72,10354,10355,0,823
73,10356,10357,51,0
74,10358,10359,0,0
75,10360,10361,0,0
76,10362,10363,64,0
77,10364,10365,0,826
78,10366,10367,0,0
79,10368,10369,0,0
80,10370,10371,0,0
81,10372,10373,0,0
82,10374,10375,114,828
83,10376,10377,69,830
84,10378,10379,0,0
85,10380,10381,0,0
86,10382,10383,0,831
87,10384,10385,89,0
88,10386,10387,86,0
89,10388,10389,0,834
90,10390,10391,0,0
91,10392,10393,0,0
92,10394,10395,0,0
93,10396,10397,0,0
94,10398,10399,0,835
95,10400,10401,161,0
96,10402,10403,0,837
97,10404,10405,159,0
98,10406,10407,0,0
99,10408,10409,0,0
100,10410,10411,0,839
101,10412,10413,53,0
102,10414,10415,48,0
103,10416,10417,0,842
104,10418,10419,0,0
105,10420,10421,0,0
106,10422,10423,0,843
107,10424,10425,55,0
108,10426,10427,0,845
109,10428,10429,125,0
110,10430,10431,112,0
111,10432,10433,0,848
112,10434,10435,197,850
113,10436,10437,111,852
114,10438,10439,116,854
115,10440,10441,83,856
116,10442,10443,149,858
117,10444,10445,115,860
118,10446,10447,130,0
119,10448,10449,0,862
120,10450,10451,122,864
121,10452,10453,57,866
122,10454,10455,221,868
123,10456,10457,121,870
124,10458,10459,108,0
125,10460,10461,0,872
126,10462,10463,58,0
127,10464,10465,0,874
