PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0,-27.2784099578857,4.22736549377441,7,0,0,0
2,0,0,0,-28.2784080505371,4.22736549377441,7,0,0,0
3,0,0,0,-29.2784080505371,4.22736549377441,7,0,0,0
4,0,0,0,-30.2784061431885,4.22736549377441,7,0,0,0
5,0,0,0,-31.2784042358398,4.22736549377441,7,0,0,0
6,0,0,0,-32.2784042358398,4.22736549377441,7,0,0,0
7,0,0,0,-33.2784042358398,4.22736549377441,7,0,0,0
8,0,0,0,-34.2784004211426,4.22736549377441,7,0,0,0
9,0,0,0,-35.2784004211426,4.22736549377441,7,0,0,0
10,0,0,0,-36.2784004211426,4.22736549377441,7,0,0,0
11,0,0,0,-37.2783966064453,4.22736549377441,7,0,0,0
12,0,0,0,-38.2783966064453,4.22736549377441,7,0,0,0
13,0,0,0,-39.2783966064453,4.22736549377441,7,0,0,0
14,0,0,0,-40.278392791748,4.22736549377441,7,0,0,0
15,0,0,0,-41.0879783630371,4.22736549377441,7,0,0,0
16,0,0,0,-31.828182220459,13.6970014572144,7,0,0,0
17,0,0,0,-31.828182220459,12.69700050354,7,0,0,0
18,0,0,0,-31.828182220459,11.69700050354,7,0,0,0
19,0,0,0,-31.828182220459,10.69700050354,7,0,0,0
20,0,0,0,-31.828182220459,9.69700050354004,7,0,0,0
21,0,0,0,-31.828182220459,8.69699954986572,7,0,0,0
22,0,0,0,-31.828182220459,7.69699954986572,7,0,0,0
23,0,0,0,-31.828182220459,6.69699954986572,7,0,0,0
24,0,0,0,-31.828182220459,5.69699954986572,7,0,0,0
25,0,0,0,-31.828182220459,4.69699954986572,7,0,0,0
26,0,0,0,-31.828182220459,3.6969997882843,7,0,0,0
27,0,0,0,-31.828182220459,2.6969997882843,7,0,0,0
28,0,0,0,-31.828182220459,1.69699990749359,7,0,0,0
29,0,0,0,-31.828182220459,0.696999967098236,7,0,0,0
30,0,0,0,-31.828182220459,-0.0495966784656048,7,0,0,0
31,0,0,0,-36.7878799438477,-0.0274806506931782,7,0,0,0
32,0,0,0,-36.7878799438477,0.972519338130951,7,0,0,0
33,0,0,0,-36.7878799438477,1.9725193977356,7,0,0,0
34,0,0,0,-36.7878799438477,2.97251915931702,7,0,0,0
35,0,0,0,-36.7878799438477,3.97251915931702,7,0,0,0
36,0,0,0,-36.7878799438477,4.97251892089844,7,0,0,0
37,0,0,0,-36.7878799438477,5.9725193977356,7,0,0,0
38,0,0,0,-36.7878799438477,6.9725193977356,7,0,0,0
39,0,0,0,-36.7878799438477,7.97251987457275,7,0,0,0
40,0,0,0,-36.7878799438477,8.97251987457275,7,0,0,0
41,0,0,0,-36.7878799438477,9.97251987457275,7,0,0,0
42,0,0,0,-36.7878799438477,10.9725208282471,7,0,0,0
43,0,0,0,-36.7878799438477,11.9725198745728,7,0,0,0
44,0,0,0,-36.7878799438477,12.9725198745728,7,0,0,0
45,0,0,0,-36.7878799438477,13.7353200912476,7,0,0,0
46,0,0,0,-41.0879783630371,9.30527400970459,7,0,0,0
47,0,0,0,-40.0879783630371,9.30527400970459,7,0,0,0
48,0,0,0,-39.0879783630371,9.30527400970459,7,0,0,0
49,0,0,0,-38.0879821777344,9.30527400970459,7,0,0,0
50,0,0,0,-37.0879821777344,9.30527400970459,7,0,0,0
51,0,0,0,-36.0879821777344,9.30527400970459,7,0,0,0
52,0,0,0,-35.0879859924316,9.30527400970459,7,0,0,0
53,0,0,0,-34.0879859924316,9.30527400970459,7,0,0,0
54,0,0,0,-33.0879859924316,9.30527400970459,7,0,0,0
55,0,0,0,-32.0879898071289,9.30527400970459,7,0,0,0
56,0,0,0,-31.0879898071289,9.30527400970459,7,0,0,0
57,0,0,0,-30.0879898071289,9.30527400970459,7,0,0,0
58,0,0,0,-29.0879917144775,9.30527400970459,7,0,0,0
59,0,0,0,-28.0879917144775,9.30527400970459,7,0,0,0
60,0,0,0,-27.2784099578857,9.30527400970459,7,0,0,0
61,0,0,0,-31.826810836792,13.5893173217773,7,0,0,0
62,0,0,0,-31.5229740142822,12.6365938186646,7,0,0,0
63,0,0,0,-31.2135601043701,11.6873445510864,7,0,0,0
64,0,0,0,-30.4921588897705,10.9948272705078,7,0,0,0
65,0,0,0,-29.7707576751709,10.3023080825806,7,0,0,0
66,0,0,0,-28.9211483001709,9.82678413391113,7,0,0,0
67,0,0,0,-27.9665012359619,9.52904415130615,7,0,0,0
68,0,0,0,-27.342227935791,9.33434104919434,7,0,0,0
69,0,0,0,-31.7873916625977,13.4631185531616,7,0,0,0
70,0,0,0,-31.971134185791,12.4801435470581,7,0,0,0
71,0,0,0,-32.1548767089844,11.4971685409546,7,0,0,0
72,0,0,0,-32.3626022338867,10.520583152771,7,0,0,0
73,0,0,0,-32.6922492980957,9.57647800445557,7,0,0,0
74,0,0,0,-33.0218925476074,8.63237285614014,7,0,0,0
75,0,0,0,-33.3977279663086,7.71894121170044,7,0,0,0
76,0,0,0,-34.1399955749512,7.04883861541748,7,0,0,0
77,0,0,0,-34.882266998291,6.37873649597168,7,0,0,0
78,0,0,0,-35.6603622436523,5.7628755569458,7,0,0,0
79,0,0,0,-36.5680389404297,5.34319829940796,7,0,0,0
80,0,0,0,-37.4757080078125,4.92352151870728,7,0,0,0
81,0,0,0,-38.3970680236816,4.55316925048828,7,0,0,0
82,0,0,0,-39.3912124633789,4.44511079788208,7,0,0,0
83,0,0,0,-40.3853569030762,4.33705234527588,7,0,0,0
84,0,0,0,-40.9858169555664,4.27178525924683,7,0,0,0
85,0,0,0,-41.0418663024902,9.29290580749512,7,0,0,0
86,0,0,0,-40.045955657959,9.20254230499268,7,0,0,0
87,0,0,0,-39.050048828125,9.11217975616455,7,0,0,0
88,0,0,0,-38.0631790161133,8.98779392242432,7,0,0,0
89,0,0,0,-37.1537818908691,8.57186698913574,7,0,0,0
90,0,0,0,-36.244384765625,8.15594100952148,7,0,0,0
91,0,0,0,-35.3796730041504,7.67751264572144,7,0,0,0
92,0,0,0,-34.6919288635254,6.95156049728394,7,0,0,0
93,0,0,0,-34.0041809082031,6.22560930252075,7,0,0,0
94,0,0,0,-33.3164367675781,5.49965810775757,7,0,0,0
95,0,0,0,-32.8923301696777,4.59472799301147,7,0,0,0
96,0,0,0,-32.4714279174805,3.68762063980103,7,0,0,0
97,0,0,0,-32.104866027832,2.76570796966553,7,0,0,0
98,0,0,0,-32.0074310302734,1.77046608924866,7,0,0,0
99,0,0,0,-31.9099960327148,0.775224208831787,7,0,0,0
100,0,0,0,-31.8347358703613,0.00649182079359889,7,0,0,0
101,0,0,0,-41.0097122192383,9.38678741455078,7,0,0,0
102,0,0,0,-40.0623168945313,9.70684909820557,7,0,0,0
103,0,0,0,-39.114917755127,10.026909828186,7,0,0,0
104,0,0,0,-38.3943748474121,10.7091341018677,7,0,0,0
105,0,0,0,-37.6929512023926,11.4218769073486,7,0,0,0
106,0,0,0,-37.2182998657227,12.2715711593628,7,0,0,0
107,0,0,0,-36.9140014648438,13.2241487503052,7,0,0,0
108,0,0,0,-36.7802467346191,13.6428537368774,7,0,0,0
109,0,0,0,-36.8600463867188,-0.0205765683203936,7,0,0,0
110,0,0,0,-37.082202911377,0.954435229301453,7,0,0,0
111,0,0,0,-37.3043556213379,1.92944705486298,7,0,0,0
112,0,0,0,-37.9305381774902,2.68371534347534,7,0,0,0
113,0,0,0,-38.6310081481934,3.39740037918091,7,0,0,0
114,0,0,0,-39.5473098754883,3.75059771537781,7,0,0,0
115,0,0,0,-40.5071868896484,4.03100872039795,7,0,0,0
116,0,0,0,-41.1161231994629,4.20889711380005,7,0,0,0
117,0,0,0,-36.7536392211914,0.0675065889954567,7,0,0,0
118,0,0,0,-36.6136207580566,1.05765533447266,7,0,0,0
119,0,0,0,-36.4736022949219,2.04780411720276,7,0,0,0
120,0,0,0,-36.263256072998,3.02020263671875,7,0,0,0
121,0,0,0,-35.9166069030762,3.95819759368896,7,0,0,0
122,0,0,0,-35.5699577331543,4.89619207382202,7,0,0,0
123,0,0,0,-34.9755973815918,5.68076038360596,7,0,0,0
124,0,0,0,-34.2902336120605,6.40896034240723,7,0,0,0
125,0,0,0,-33.6048736572266,7.13715982437134,7,0,0,0
126,0,0,0,-32.8131332397461,7.73388862609863,7,0,0,0
127,0,0,0,-31.9579334259033,8.25218677520752,7,0,0,0
128,0,0,0,-31.1027336120605,8.77048492431641,7,0,0,0
129,0,0,0,-30.170467376709,9.05360317230225,7,0,0,0
130,0,0,0,-29.1743793487549,9.14196681976318,7,0,0,0
131,0,0,0,-28.1782913208008,9.2303295135498,7,0,0,0
132,0,0,0,-27.4168815612793,9.29787445068359,7,0,0,0
133,0,0,0,-27.3370761871338,4.27344465255737,7,0,0,0
134,0,0,0,-28.3218612670898,4.44723176956177,7,0,0,0
135,0,0,0,-29.3066444396973,4.621018409729,7,0,0,0
136,0,0,0,-30.279748916626,4.83772897720337,7,0,0,0
137,0,0,0,-31.2168292999268,5.18683910369873,7,0,0,0
138,0,0,0,-32.1539115905762,5.53594827651978,7,0,0,0
139,0,0,0,-33.0037803649902,6.01681661605835,7,0,0,0
140,0,0,0,-33.6912536621094,6.74302434921265,7,0,0,0
141,0,0,0,-34.3787307739258,7.46923065185547,7,0,0,0
142,0,0,0,-34.9095726013184,8.3025484085083,7,0,0,0
143,0,0,0,-35.3369522094727,9.20662117004395,7,0,0,0
144,0,0,0,-35.7643356323242,10.110692024231,7,0,0,0
145,0,0,0,-36.1278686523438,11.0379676818848,7,0,0,0
146,0,0,0,-36.3806457519531,12.0054912567139,7,0,0,0
147,0,0,0,-36.6334228515625,12.9730157852173,7,0,0,0
148,0,0,0,-36.8068504333496,13.6368160247803,7,0,0,0
149,0,0,0,-27.3902721405029,4.27880954742432,7,0,0,0
