ID,LID,TLID,SignID,LinkID
1,1,0,0,61
2,2,0,0,31
3,3,0,0,46
4,4,0,0,1
5,5,0,0,217
6,6,0,0,187
7,7,0,0,202
8,8,0,0,157
9,9,0,0,373
10,10,0,0,343
11,11,0,0,358
12,12,0,0,313
13,13,0,0,529
14,14,0,0,499
15,15,0,0,514
16,16,0,0,469
17,17,0,0,685
18,18,0,0,655
19,19,0,0,670
20,20,0,0,625
21,21,0,0,828
22,22,0,0,781
23,23,0,0,796
24,24,0,0,908
25,25,0,0,861
26,26,0,0,876
27,27,0,0,988
28,28,0,0,941
29,29,0,0,956
30,30,0,0,1068
31,31,0,0,1021
32,32,0,0,1036
33,33,0,0,1148
34,34,0,0,3002
35,35,0,0,1116
36,36,0,0,1228
37,37,0,0,1181
38,38,0,0,1196
39,39,0,0,1308
40,40,0,0,1261
41,41,0,0,1276
42,42,0,0,1388
43,43,0,0,2745
44,44,0,0,1356
45,45,0,0,1468
46,46,0,0,1421
47,47,0,0,1436
48,228,0,0,3124
49,229,0,0,3077
50,230,0,0,3092
51,231,0,0,3204
52,232,0,0,3157
53,233,0,0,3172
54,234,0,0,3284
55,235,0,0,3237
56,236,0,0,3252
57,237,0,0,3364
58,238,0,0,3317
59,239,0,0,3332
60,240,0,0,3444
61,241,0,0,4661
62,242,0,0,3412
63,243,0,0,3524
64,244,0,0,4915
65,245,0,0,3492
66,246,0,0,3604
67,247,0,0,4035
68,248,0,0,3572
69,249,0,0,3684
70,250,0,0,3637
71,251,0,0,3652
72,430,0,0,5185
73,431,0,0,5155
74,432,0,0,5170
75,433,0,0,5125
76,434,0,0,5341
77,435,0,0,5311
78,436,0,0,5326
79,437,0,0,5281
80,438,0,0,5497
81,439,0,0,5467
82,440,0,0,5482
83,441,0,0,5437
84,442,0,0,5653
85,443,0,0,5623
86,444,0,0,5638
87,445,0,0,5593
88,446,0,0,5809
89,447,0,0,5779
90,448,0,0,5794
91,449,0,0,5749
92,450,0,0,5965
93,451,0,0,5935
94,452,0,0,5950
95,453,0,0,5905
96,454,0,0,6108
97,455,0,0,6061
98,456,0,0,6076
99,457,0,0,6188
100,458,0,0,6141
101,459,0,0,6156
102,460,0,0,6268
103,461,0,0,6221
104,462,0,0,6236
105,463,0,0,6348
106,464,0,0,6301
107,465,0,0,6316
108,466,0,0,6428
109,467,0,0,6381
110,468,0,0,6396
111,469,0,0,6508
112,470,0,0,6461
113,471,0,0,6476
114,472,0,0,6588
115,473,0,0,6541
116,474,0,0,6556
117,475,0,0,6681
118,476,0,0,6651
119,477,0,0,6666
120,478,0,0,6621
121,479,0,0,6824
122,480,0,0,6777
123,481,0,0,6792
124,602,0,0,8203
125,603,0,0,8156
126,604,0,0,8171
127,605,0,0,8296
128,606,0,0,8266
129,607,0,0,8281
130,608,0,0,8236
131,609,0,0,8439
132,610,0,0,8392
133,611,0,0,8407
134,612,0,0,8519
135,613,0,0,8472
136,614,0,0,8487
137,615,0,0,8599
138,616,0,0,8552
139,617,0,0,8567
140,618,0,0,8679
141,619,0,0,8632
142,620,0,0,8647
143,621,0,0,8759
144,622,0,0,9733
145,623,0,0,8727
146,624,0,0,8839
147,625,0,0,9341
148,626,0,0,8807
149,627,0,0,8932
150,628,0,0,8902
151,629,0,0,8917
152,630,0,0,8872
