ID,LID,Width,Color,type,LinkID
1,48,0.15,W,0,1507
2,49,0.15,W,0,2275
3,50,0.15,W,0,1825
4,51,0.15,W,0,1782
5,52,0.15,W,0,2246
6,53,0.15,W,0,1536
7,54,0.15,W,0,2334
8,55,0.15,W,0,1621
9,56,0.15,W,0,2382
10,57,0.15,W,0,1565
11,58,0.15,W,0,3054
12,59,0.15,W,0,2687
13,60,0.15,W,0,1651
14,61,0.15,W,0,1753
15,62,0.15,W,0,1695
16,63,0.15,W,0,1680
17,64,0.15,W,0,1710
18,65,0.15,W,0,1898
19,66,0.15,W,0,1665
20,67,0.15,W,0,1739
21,68,0.15,W,0,2593
22,69,0.15,W,0,2797
23,70,0.15,W,0,1838
24,71,0.15,W,0,1768
25,72,0.15,W,0,1811
26,73,0.15,W,0,1795
27,74,0.15,W,0,1869
28,75,0.15,W,0,1854
29,76,0.15,W,0,1724
30,77,0.15,W,0,1884
31,78,0.15,W,0,1928
32,79,0.15,W,0,1913
33,80,0.15,W,0,1958
34,81,0.15,W,0,1943
35,82,0.15,W,0,2579
36,83,0.15,W,0,2810
37,84,0.15,W,0,1988
38,85,0.15,W,0,1973
39,86,0.15,W,0,2003
40,87,0.15,W,0,2046
41,88,0.15,W,0,2017
42,89,0.15,W,0,2032
43,90,0.15,W,0,2076
44,91,0.15,W,0,2061
45,92,0.15,W,0,2106
46,93,0.15,W,0,2091
47,94,0.15,W,0,2121
48,95,0.15,W,0,2186
49,96,0.15,W,0,2165
50,97,0.15,W,0,2149
51,98,0.15,W,0,2217
52,99,0.15,W,0,2202
53,100,0.15,W,0,2232
54,101,0.15,W,0,1550
55,102,0.15,W,0,1521
56,103,0.15,W,0,2261
57,104,0.15,W,0,2305
58,105,0.15,W,0,2290
59,106,0.15,W,0,2320
60,107,0.15,W,0,1635
61,108,0.15,W,0,2398
62,109,0.15,W,0,2658
63,110,0.15,W,0,2970
64,111,0.15,W,0,2427
65,112,0.15,W,0,2956
66,113,0.15,W,0,2441
67,114,0.15,W,0,2565
68,115,0.15,W,0,2824
69,116,0.15,W,0,2551
70,117,0.15,W,0,2838
71,118,0.15,W,0,2767
72,119,0.15,W,0,2615
73,120,0.15,W,0,2369
74,121,0.15,W,0,1579
75,122,0.15,W,0,2355
76,123,0.15,W,0,1592
77,124,0.15,W,0,2412
78,125,0.15,W,0,2644
79,126,0.15,W,0,3067
80,127,0.15,W,0,2673
81,128,0.15,W,0,3040
82,129,0.15,W,0,2700
83,130,0.15,W,0,2753
84,131,0.15,W,0,2629
85,132,0.15,W,0,2480
