PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,10.1931667327881,-6.2049560546875,-131.165405273438,7,0,0,0
2,0,0,10.1931667327881,-7.20478630065918,-131.14697265625,7,0,0,0
3,0,0,10.1931667327881,-8.20461654663086,-131.128540039063,7,0,0,0
4,0,0,10.1931667327881,-9.20444679260254,-131.110107421875,7,0,0,0
5,0,0,10.1931667327881,-10.2042770385742,-131.091674804688,7,0,0,0
6,0,0,10.1931667327881,-11.2041072845459,-131.0732421875,7,0,0,0
7,0,0,10.1931667327881,-12.2039375305176,-131.054809570313,7,0,0,0
8,0,0,10.1931667327881,-13.2037677764893,-131.036376953125,7,0,0,0
9,0,0,10.1931667327881,-14.2035980224609,-131.017944335938,7,0,0,0
10,0,0,10.1931667327881,-15.2034282684326,-130.99951171875,7,0,0,0
11,0,0,10.1931667327881,-16.2032585144043,-130.981079101563,7,0,0,0
12,0,0,10.1931667327881,-17.203088760376,-130.962646484375,7,0,0,0
13,0,0,10.1931667327881,-18.2029190063477,-130.944213867188,7,0,0,0
14,0,0,10.1931667327881,-19.2027492523193,-130.92578125,7,0,0,0
15,0,0,10.1931667327881,-20.202579498291,-130.907348632813,7,0,0,0
16,0,0,10.1931667327881,-21.2024097442627,-130.888916015625,7,0,0,0
17,0,0,10.1931667327881,-22.2022399902344,-130.870483398438,7,0,0,0
18,0,0,10.1931667327881,-23.2020702362061,-130.85205078125,7,0,0,0
19,0,0,10.1931667327881,-24.2019004821777,-130.833618164063,7,0,0,0
20,0,0,10.1931667327881,-25.2017307281494,-130.815185546875,7,0,0,0
21,0,0,10.1931667327881,-26.2015609741211,-130.796752929688,7,0,0,0
22,0,0,10.1931667327881,-27.2013912200928,-130.7783203125,7,0,0,0
23,0,0,10.1931667327881,-28.2012214660645,-130.759887695313,7,0,0,0
24,0,0,10.1931667327881,-29.2010517120361,-130.741455078125,7,0,0,0
25,0,0,10.1931667327881,-30.2008819580078,-130.723022460938,7,0,0,0
26,0,0,10.1931667327881,-31.2007122039795,-130.70458984375,7,0,0,0
27,0,0,10.1931667327881,-32.2005424499512,-130.686157226563,7,0,0,0
