ID,VID,PLID,Type,LinkID
1,203,1,1,103844
2,204,1,2,103844
3,205,1,3,103844
4,206,1,1,68908
5,207,1,2,68908
6,208,1,3,68908
7,209,1,1,66748
8,210,1,2,66748
9,211,1,3,66748
10,212,1,1,66748
11,213,1,2,66748
12,214,1,3,66748
13,215,2,1,104881
14,216,2,2,104881
15,217,2,3,104881
16,218,2,1,105828
17,219,2,2,105828
18,220,2,3,105828
19,221,2,1,66141
20,222,2,2,66141
21,223,2,3,66141
22,224,2,1,66141
23,225,2,2,66141
24,226,2,3,66141
25,227,3,1,23211
26,228,3,2,23211
27,229,3,3,23211
28,230,3,1,1495
29,231,3,2,1495
30,232,3,3,1495
31,233,3,1,17664
32,234,3,2,17664
33,235,3,3,17664
34,236,3,1,17664
35,237,3,2,17664
36,238,3,3,17664
37,239,5,1,15458
38,240,5,2,15458
39,241,5,3,15458
40,242,5,1,16525
41,243,5,2,16525
42,244,5,3,16525
43,245,5,1,16799
44,246,5,2,16799
45,247,5,3,16799
46,248,5,1,16799
47,249,5,2,16799
48,250,5,3,16799
49,251,6,1,1844
50,252,6,2,1844
51,253,6,3,1844
52,254,6,1,1111
53,255,6,2,1111
54,256,6,3,1111
55,257,6,1,915
56,258,6,2,915
57,259,6,3,915
58,260,6,1,915
59,261,6,2,915
60,262,6,3,915
61,263,7,1,33803
62,264,7,2,33803
63,265,7,3,33803
64,266,7,1,82466
65,267,7,2,82466
66,268,7,3,82466
67,269,7,1,20012
68,270,7,2,20012
69,271,7,3,20012
70,272,7,1,20012
71,273,7,2,20012
72,274,7,3,20012
73,275,8,1,11445
74,276,8,2,11445
75,277,8,3,11445
76,278,8,1,11816
77,279,8,2,11816
78,280,8,3,11816
79,281,8,1,12017
80,282,8,2,12017
81,283,8,3,12017
82,284,8,1,12017
83,285,8,2,12017
84,286,8,3,12017
85,287,9,1,11282
86,288,9,2,11282
87,289,9,3,11282
88,290,9,1,11282
89,291,9,2,11282
90,292,9,3,11282
91,293,10,1,107139
92,294,10,2,107139
93,295,10,3,107139
94,296,10,1,106994
95,297,10,2,106994
96,298,10,3,106994
97,299,11,1,106652
98,300,11,2,106652
99,301,11,3,106652
100,302,11,1,61780
101,303,11,2,61780
102,304,11,3,61780
103,305,12,1,12353
104,306,12,2,12353
105,307,12,3,12353
106,308,12,1,12353
107,309,12,2,12353
108,310,12,3,12353
109,311,13,1,12515
110,312,13,2,12515
111,313,13,3,12515
112,314,13,1,69291
113,315,13,2,69291
114,316,13,3,69291
115,317,13,1,31542
116,318,13,2,31542
117,319,13,3,31542
118,320,13,1,31542
119,321,13,2,31542
120,322,13,3,31542
121,323,14,1,12675
122,324,14,2,12675
123,325,14,3,12675
124,326,14,1,13309
125,327,14,2,13309
126,328,14,3,13309
127,329,14,1,13772
128,330,14,2,13772
129,331,14,3,13772
130,332,14,1,13772
131,333,14,2,13772
132,334,14,3,13772
133,335,15,1,32075
134,336,15,2,32075
135,337,15,3,32075
136,338,15,1,69102
137,339,15,2,69102
138,340,15,3,69102
139,341,15,1,14354
140,342,15,2,14354
141,343,15,3,14354
142,344,15,1,14354
143,345,15,2,14354
144,346,15,3,14354
145,347,16,1,27623
146,348,16,2,27623
147,349,16,3,27623
148,350,16,1,27623
149,351,16,2,27623
150,352,16,3,27623
151,353,16,1,6227
152,354,16,2,6227
153,355,16,3,6227
154,356,16,1,6227
155,357,16,2,6227
156,358,16,3,6227
157,359,17,1,12199
158,360,17,2,12199
159,361,17,3,12199
160,362,17,1,12199
161,363,17,2,12199
162,364,17,3,12199
163,365,18,1,6447
164,366,18,2,6447
165,367,18,3,6447
166,368,18,1,6447
167,369,18,2,6447
168,370,18,3,6447
169,371,19,1,27259
170,372,19,2,27259
171,373,19,3,27259
172,374,19,1,27259
173,375,19,2,27259
174,376,19,3,27259
175,377,19,1,6863
176,378,19,2,6863
177,379,19,3,6863
178,380,19,1,6863
179,381,19,2,6863
180,382,19,3,6863
181,383,20,1,11140
182,384,20,2,11140
183,385,20,3,11140
184,386,20,1,29975
185,387,20,2,29975
186,388,20,3,29975
187,389,21,1,6673
188,390,21,2,6673
189,391,21,3,6673
190,392,21,1,6673
191,393,21,2,6673
