VID,PID,Hang,Vang
1,161794,0,0
2,161795,0,0
3,161796,0,0
4,161797,0,0
5,161798,0,0
6,161799,0,0
7,161800,0,0
8,161801,0,0
9,161802,0,0
10,161803,0,0
11,161804,0,0
12,161805,0,0
13,161806,0,0
14,161807,0,0
15,161808,0,0
16,161809,0,0
17,161810,0,0
18,161811,0,0
19,161812,0,0
20,161813,0,0
21,161814,0,0
22,161815,0,0
23,161816,0,0
24,161817,0,0
25,161818,0,0
26,161819,0,0
27,161820,0,0
28,161821,0,0
29,161822,0,0
30,161823,0,0
31,161824,0,0
32,161825,0,0
33,161826,0,0
34,161827,0,0
35,161828,0,0
36,161829,0,0
37,161830,0,0
38,161831,0,0
39,161832,0,0
40,161833,0,0
41,161834,0,0
42,161835,0,0
43,161836,0,0
44,161837,0,0
45,161838,0,0
46,161839,0,0
47,161840,0,0
48,161841,0,0
49,161842,0,0
50,161843,0,0
51,161844,0,0
52,161845,0,0
53,161846,0,0
54,161847,0,0
55,161848,0,0
56,161849,0,0
57,161850,0,0
58,161851,0,0
59,161852,0,0
60,161853,0,0
61,161854,0,0
62,161855,0,0
63,161856,0,0
64,161857,0,0
65,161858,0,0
66,161859,0,0
67,161860,0,0
68,161861,0,0
69,161862,0,0
70,161863,0,0
71,161864,0,0
72,161865,0,0
73,161866,0,0
74,161867,0,0
75,161868,0,0
76,161869,0,0
77,161870,0,0
78,161871,0,0
79,161872,0,0
80,161873,0,0
81,161874,0,0
82,161875,0,0
83,161876,0,0
84,161877,0,0
85,161878,0,0
86,161879,0,0
87,161880,0,0
88,161881,0,0
89,161882,0,0
90,161883,0,0
91,161884,0,0
92,161885,0,0
93,161886,0,0
94,161887,0,0
95,161888,0,0
96,161889,0,0
97,161890,0,0
98,161891,0,0
99,161892,0,0
100,161893,0,0
101,161894,0,0
102,161895,0,0
103,161896,0,0
104,161897,0,0
105,161898,0,0
106,161899,0,0
107,161900,0,0
108,161901,0,0
109,161902,0,0
110,161903,0,0
111,161904,0,0
112,161905,0,0
113,161906,0,0
114,161907,0,0
115,161908,0,0
116,161909,0,0
117,161910,0,0
118,161911,0,0
119,161912,0,0
120,161913,0,0
121,161914,0,0
122,161915,0,0
123,161916,-101.828407287598,0.752774834632874
124,161917,0,0
125,161918,0,0
126,161919,0,0
127,161920,0,0
128,161921,0,0
129,161922,0,0
130,161923,0,0
131,161924,0,0
132,161925,0,0
133,161926,0,0
134,161927,0,0
