ID,LID,Width,Color,type,LinkID
1,227,0.15,Y,0,27289
2,228,0.15,Y,0,27220
3,229,0.15,Y,0,27136
4,230,0.15,Y,0,25017
5,231,0.15,Y,0,6725
6,232,0.15,Y,0,6757
7,233,0.15,Y,0,24583
8,234,0.15,Y,0,24494
9,235,0.15,Y,0,6491
10,236,0.15,Y,0,6562
11,237,0.15,Y,0,23860
12,238,0.15,Y,0,23947
13,239,0.15,Y,0,26759
14,240,0.15,Y,0,26631
15,241,0.15,Y,0,30206
16,242,0.15,Y,0,30283
17,243,0.15,Y,0,30810
18,244,0.15,Y,0,30893
19,245,0.15,Y,0,15046
20,246,0.15,Y,0,15135
21,247,0.15,Y,0,19287
22,248,0.15,Y,0,19331
23,249,0.15,Y,0,19656
24,250,0.15,Y,0,19563
25,251,0.15,W,0,877
26,252,0.15,W,0,791
27,253,0.15,W,0,1806
28,254,0.15,W,0,1720
29,255,0.15,W,0,4052
30,256,0.15,W,0,3977
31,257,0.15,W,0,3947
32,258,0.15,W,0,4597
33,259,0.15,W,0,4521
34,260,0.15,W,0,4491
35,261,0.15,W,0,7236
36,262,0.15,W,0,7223
37,263,0.15,W,0,7217
38,264,0.15,W,0,7210
39,265,0.15,W,0,7205
40,266,0.15,W,0,7197
41,267,0.15,W,0,7189
42,268,0.15,W,0,7183
43,269,0.15,W,0,7178
44,270,0.15,W,0,7170
45,271,0.15,W,0,7161
46,272,0.15,W,0,7150
47,273,0.15,W,0,7132
48,274,0.15,W,0,7113
49,275,0.15,W,0,21770
50,276,0.15,W,0,21758
51,277,0.15,W,0,21751
52,278,0.15,W,0,21748
53,279,0.15,W,0,21743
54,280,0.15,W,0,21737
55,281,0.15,W,0,21730
56,282,0.15,W,0,21724
57,283,0.15,W,0,21719
58,284,0.15,W,0,21713
59,285,0.15,W,0,21702
60,286,0.15,W,0,21686
61,287,0.15,W,0,21669
62,288,0.15,W,0,21654
63,289,0.15,W,0,1942
64,290,0.15,W,0,1874
65,291,0.15,W,0,21609
66,292,0.15,W,0,21542
67,293,0.15,W,0,4693
68,294,0.15,W,0,4779
69,295,0.15,W,0,5130
70,296,0.15,W,0,5044
71,297,0.15,W,0,23450
72,298,0.15,W,0,23322
73,299,0.15,W,0,2607
74,300,0.15,W,0,2479
75,301,0.15,W,0,2723
76,302,0.15,W,0,2851
77,303,0.15,W,0,3370
78,304,0.15,W,0,3242
79,305,0.15,W,0,3813
80,306,0.15,W,0,3854
81,307,0.15,W,0,3497
82,308,0.15,W,0,3446
83,309,0.15,W,0,3879
84,310,0.15,W,0,3728
85,311,0.15,W,0,24846
86,312,0.15,W,0,24783
87,313,0.15,W,0,5542
88,314,0.15,W,0,5631
89,315,0.15,W,0,5296
90,316,0.15,W,0,5207
91,317,0.15,W,0,6414
92,318,0.15,W,0,6452
93,319,0.15,W,0,6665
94,320,0.15,W,0,6627
95,321,0.15,W,0,2384
96,322,0.15,W,0,2349
97,323,0.15,W,0,2108
98,324,0.15,W,0,2072
99,325,0.15,W,0,124
100,326,0.15,W,0,74
101,327,0.15,W,0,57
102,328,0.15,W,0,31
103,329,0.15,W,0,5
104,330,0.15,W,0,681
105,331,0.15,W,0,631
106,332,0.15,W,0,614
107,333,0.15,W,0,589
108,334,0.15,W,0,563
109,335,0.15,W,0,681
110,336,0.15,W,0,631
111,337,0.15,W,0,614
112,338,0.15,W,0,589
113,339,0.15,W,0,563
114,340,0.15,W,0,6393
115,341,0.15,W,0,6379
116,342,0.15,W,0,6363
117,343,0.15,W,0,6346
118,344,0.15,W,0,6325
119,345,0.15,W,0,6290
120,346,0.15,W,0,6265
121,347,0.15,W,0,6256
122,348,0.15,W,0,6250
123,349,0.15,W,0,6245
124,350,0.15,W,0,6237
125,351,0.15,W,0,6230
126,352,0.15,W,0,6225
127,353,0.15,W,0,5850
128,354,0.15,W,0,5837
129,355,0.15,W,0,5820
130,356,0.15,W,0,5803
131,357,0.15,W,0,5782
132,358,0.15,W,0,5747
133,359,0.15,W,0,5722
134,360,0.15,W,0,5713
135,361,0.15,W,0,5708
136,362,0.15,W,0,5702
137,363,0.15,W,0,5694
138,364,0.15,W,0,5688
139,365,0.15,W,0,27948
140,366,0.15,W,0,6886
141,367,0.15,W,0,6856
142,368,0.15,W,0,27888
143,369,0.15,W,0,27922
144,370,0.15,W,0,21969
145,371,0.15,W,0,21983
146,372,0.15,W,0,21996
147,373,0.15,W,0,22010
148,374,0.15,W,0,22023
149,375,0.15,W,0,22035
150,376,0.15,W,0,22054
151,377,0.15,W,0,22071
152,378,0.15,W,0,27749
153,379,0.15,W,0,27759
154,380,0.15,W,0,6924
155,381,0.15,W,0,6938
156,382,0.15,W,0,6951
157,383,0.15,W,0,6965
158,384,0.15,W,0,6978
159,385,0.15,W,0,6991
160,386,0.15,W,0,7009
161,387,0.15,W,0,7026
162,388,0.15,W,0,27520
163,389,0.15,W,0,25445
164,390,0.15,W,0,25364
165,391,0.15,W,0,25211
166,392,0.15,W,0,25119
167,393,0.15,W,0,21837
168,394,0.15,W,0,21879
169,395,0.15,W,0,7046
170,396,0.15,W,0,7088
171,397,0.15,W,0,29351
172,398,0.15,W,0,29412
173,399,0.15,W,0,36061
174,400,0.15,W,0,36129
175,401,0.15,W,0,18028
176,402,0.15,W,0,18124
177,403,0.15,W,0,8351
178,404,0.15,W,0,8394
179,405,0.15,W,0,8424
180,406,0.15,W,0,8487
181,407,0.15,W,0,29198
182,408,0.15,W,0,29240
183,409,0.15,W,0,8611
184,410,0.15,W,0,8655
185,411,0.15,W,0,30036
186,412,0.15,W,0,30078
187,413,0.15,W,0,22148
188,414,0.15,W,0,22211
189,415,0.15,W,0,10583
190,416,0.15,W,0,10551
191,417,0.15,W,0,10527
192,418,0.15,W,0,10604
193,419,0.15,W,0,10612
194,420,0.15,W,0,10623
195,421,0.15,W,0,10653
196,422,0.15,W,0,10690
197,423,0.15,W,0,10717
198,424,0.15,W,0,11198
199,425,0.15,W,0,11275
200,426,0.15,W,0,30403
201,427,0.15,W,0,12173
202,428,0.15,W,0,12159
203,429,0.15,W,0,12145
204,430,0.15,W,0,12132
205,431,0.15,W,0,12118
206,432,0.15,W,0,12103
207,433,0.15,W,0,12084
208,434,0.15,W,0,12043
209,435,0.15,W,0,12220
210,436,0.15,W,0,12303
211,437,0.15,W,0,31784
212,438,0.15,W,0,31870
213,439,0.15,W,0,13788
214,440,0.15,W,0,13873
215,441,0.15,W,0,14364
216,442,0.15,W,0,14453
217,443,0.15,W,0,14559
218,444,0.15,W,0,14688
219,445,0.15,W,0,24123
220,446,0.15,W,0,24212
221,447,0.15,W,0,19906
222,448,0.15,W,0,20034
223,449,0.15,W,0,15841
224,450,0.15,W,0,15886
225,451,0.15,W,0,23576
226,452,0.15,W,0,23664
227,453,0.15,W,0,16857
228,454,0.15,W,0,16946
229,455,0.15,W,0,33938
230,456,0.15,W,0,34024
231,457,0.15,W,0,17322
232,458,0.15,W,0,17300
233,459,0.15,W,0,17268
234,460,0.15,W,0,17226
235,461,0.15,W,0,17178
236,462,0.15,W,0,17956
237,463,0.15,W,0,17944
238,464,0.15,W,0,17933
239,465,0.15,W,0,17924
240,466,0.15,W,0,17917
241,467,0.15,W,0,17909
242,468,0.15,W,0,17901
243,469,0.15,W,0,17893
244,470,0.15,W,0,18725
245,471,0.15,W,0,18769
246,472,0.15,W,0,19180
247,473,0.15,W,0,19224
248,474,0.15,W,0,34945
249,475,0.15,W,0,34991
250,476,0.15,W,0,7273
251,477,0.15,W,0,7334
252,478,0.15,W,0,29528
253,479,0.15,W,0,29571
254,480,0.15,W,0,9003
255,481,0.15,W,0,9045
256,482,0.15,W,0,9244
257,483,0.15,W,0,9212
258,484,0.15,W,0,9195
259,485,0.15,W,0,9182
260,486,0.15,W,0,30645
261,487,0.15,W,0,11038
262,488,0.15,W,0,11045
263,489,0.15,W,0,11070
264,490,0.15,W,0,11107
265,491,0.15,W,0,11134
266,492,0.15,W,0,30387
267,493,0.15,W,0,11606
268,494,0.15,W,0,11591
269,495,0.15,W,0,11577
270,496,0.15,W,0,11564
271,497,0.15,W,0,11550
272,498,0.15,W,0,11534
273,499,0.15,W,0,11515
274,500,0.15,W,0,11474
275,501,0.15,W,0,12530
276,502,0.15,W,0,12616
277,503,0.15,W,0,32313
278,504,0.15,W,0,32402
279,505,0.15,W,0,18600
280,506,0.15,W,0,18589
281,507,0.15,W,0,18579
282,508,0.15,W,0,18573
283,509,0.15,W,0,18569
284,510,0.15,W,0,18564
285,511,0.15,W,0,18559
286,512,0.15,W,0,18554
287,513,0.15,W,0,18548
288,514,0.15,W,0,17885
289,515,0.15,W,0,17863
290,516,0.15,W,0,17831
291,517,0.15,W,0,17789
292,518,0.15,W,0,17752
293,519,0.15,W,0,17728
294,520,0.15,W,0,17029
295,521,0.15,W,0,17115
296,522,0.15,W,0,33691
297,523,0.15,W,0,33780
298,524,0.15,W,0,33336
299,525,0.15,W,0,33381
300,526,0.15,W,0,15410
301,527,0.15,W,0,15538
302,528,0.15,W,0,14813
303,529,0.15,W,0,14942
304,530,0.15,W,0,12690
305,531,0.15,W,0,12776
306,532,0.15,W,0,12456
307,533,0.15,W,0,12374
308,534,0.15,W,0,11420
309,535,0.15,W,0,11344
310,536,0.15,W,0,9088
311,537,0.15,W,0,9136
312,538,0.15,W,0,9165
313,539,0.15,W,0,29670
