DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0.1,0.1
2,1,2,0,0,0,0,0,0.1,0.1
3,2,3,0,0,0,0,0,0.1,0.1
4,3,4,0,0,0,0,0,0.1,0.1
5,4,5,0,0,0,0,0,0.1,0.1
6,5,6,0,0,0,0,0,0.1,0.1
7,6,7,0,0,0,0,0,0.1,0.1
8,7,8,0,0,0,0,0,0.1,0.1
9,8,9,0,0,0,0,0,0.1,0.1
10,9,10,0,0,0,0,0,0.1,0.1
11,10,11,0,0,0,0,0,0.1,0.1
12,11,12,0,0,0,0,0,0.1,0.1
13,12,13,0,0,0,0,0,0.1,0.1
14,13,14,0,0,0,0,0,0.1,0.1
15,14,15,0,0,0,0,0,0.1,0.1
16,15,16,-0.251692356617461,0,0,0,0,0.1,0.1
17,16,17,-0.27936496368449,0,0,0,0,0.1,0.1
18,17,18,-0.27936862553096,0,0,0,0,0.1,0.1
19,18,19,-0.27936496368449,0,0,0,0,0.1,0.1
20,19,20,-0.27936862553096,0,0,0,0,0.1,0.1
21,20,21,-0.891563941503613,0,0,0,0,0.1,0.1
22,21,22,-1.08393158897997,0,0,0,0,0.1,0.1
23,22,23,-1.08393158897997,0,0,0,0,0.1,0.1
24,23,24,-1.08392739450128,0,0,0,0,0.1,0.1
25,24,25,-1.08393158897997,0,0,0,0,0.1,0.1
26,25,26,-1.49676616269254,0,0,0,0,0.1,0.1
27,26,27,-1.50387866696072,0,0,0,0,0.1,0.1
28,27,28,-1.50387866696072,0,0,0,0,0.1,0.1
29,28,29,-1.50387866696072,0,0,0,0,0.1,0.1
30,29,30,-1.50387866696072,0,0,0,0,0.1,0.1
31,30,31,-1.50388226222816,0,0,0,0,0.1,0.1
32,31,32,-1.50387866696072,0,0,0,0,0.1,0.1
33,32,33,-1.50387866696072,0,0,0,0,0.1,0.1
34,33,34,-1.50388226222816,0,0,0,0,0.1,0.1
35,34,35,-1.50387999854125,0,0,0,0,0.1,0.1
36,35,36,-1.21905012847371,0,0,0,0,0.1,0.1
37,0,37,-3.46670520734179,0,0,0,0,0.1,0.1
38,1,38,-3.46670520734179,0,0,0,0,0.1,0.1
39,2,39,-3.46670520734179,0,0,0,0,0.1,0.1
40,3,40,-3.46670707155454,0,0,0,0,0.1,0.1
41,4,41,-3.46670707155454,0,0,0,0,0.1,0.1
42,5,42,-3.47767024041303,0,0,0,0,0.1,0.1
43,6,43,-3.77980346689711,0,0,0,0,0.1,0.1
44,7,44,-3.77980186900047,0,0,0,0,0.1,0.1
45,8,45,-3.77980186900047,0,0,0,0,0.1,0.1
46,9,46,-3.77980186900047,0,0,0,0,0.1,0.1
47,10,47,-3.77979734162665,0,0,0,0,0.1,0.1
48,11,48,-3.77980186900047,0,0,0,0,0.1,0.1
49,12,49,-4.03218804565554,0,0,0,0,0.1,0.1
50,13,50,-4.10213543851242,0,0,0,0,0.1,0.1
51,14,51,-4.10213677009295,0,0,0,0,0.1,0.1
52,15,52,-4.10213543851242,0,0,0,0,0.1,0.1
53,16,53,-4.10213543851242,0,0,0,0,0.1,0.1
54,17,54,-4.10213543851242,0,0,0,0,0.1,0.1
55,18,55,-4.10213543851242,0,0,0,0,0.1,0.1
56,19,56,-4.27294393160423,0,0,0,0,0.1,0.1
57,20,57,-4.5646042771827,0,0,0,0,0.1,0.1
58,21,58,-4.5646042771827,0,0,0,0,0.1,0.1
59,22,59,-4.5646042771827,0,0,0,0,0.1,0.1
60,23,60,-4.5646042771827,0,0,0,0,0.1,0.1
61,24,61,-4.5646042771827,0,0,0,0,0.1,0.1
62,25,62,-4.5646042771827,0,0,0,0,0.1,0.1
63,26,63,-4.5646042771827,0,0,0,0,0.1,0.1
64,27,64,-4.5646042771827,0,0,0,0,0.1,0.1
65,28,65,-4.56461173403369,0,0,0,0,0.1,0.1
66,29,66,-4.5646042771827,0,0,0,0,0.1,0.1
67,30,67,-4.63527498458603,0,0,0,0,0.1,0.1
68,31,68,-4.67301890115891,0,0,0,0,0.1,0.1
69,32,69,-4.67302635800991,0,0,0,0,0.1,0.1
70,33,70,-4.67301890115891,0,0,0,0,0.1,0.1
71,34,71,-4.67302635800991,0,0,0,0,0.1,0.1
72,35,72,-4.67301890115891,0,0,0,0,0.1,0.1
73,36,73,-4.67302635800991,0,0,0,0,0.1,0.1
74,37,74,-4.67301890115891,0,0,0,0,0.1,0.1
75,38,75,-4.67302635800991,0,0,0,0,0.1,0.1
76,39,76,-4.67301890115891,0,0,0,0,0.1,0.1
77,40,77,-4.67302635800991,0,0,0,0,0.1,0.1
78,41,78,-4.67301890115891,0,0,0,0,0.1,0.1
79,42,79,-4.67302635800991,0,0,0,0,0.1,0.1
80,43,80,-4.67301890115891,0,0,0,0,0.1,0.1
81,44,81,-4.67302635800991,0,0,0,0,0.1,0.1
82,45,82,-4.64245752999034,0,0,0,0,0.1,0.1
83,46,83,-4.70859713515011,0,0,0,0,0.1,0.1
84,47,84,-4.70859713515011,0,0,0,0,0.1,0.1
85,48,85,-4.70860512463332,0,0,0,0,0.1,0.1
86,49,86,-4.97934634001126,0,0,0,0,0.1,0.1
87,50,87,-5.4026733688633,0,0,0,0,0.1,0.1
88,51,88,-5.40267177096666,0,0,0,0,0.1,0.1
89,52,89,-6.24763844981715,0,0,0,0,0.1,0.1
90,0,90,-3.14159262925386,0,0,0,0,0.1,0.1
91,1,91,-3.14159262925386,0,0,0,0,0.1,0.1
92,2,92,-3.14159262925386,0,0,0,0,0.1,0.1
93,3,93,-3.14159262925386,0,0,0,0,0.1,0.1
94,4,94,-3.14159262925386,0,0,0,0,0.1,0.1
95,5,95,-3.14159262925386,0,0,0,0,0.1,0.1
96,6,96,-3.14159262925386,0,0,0,0,0.1,0.1
97,7,97,-3.14159262925386,0,0,0,0,0.1,0.1
98,8,98,-3.14159262925386,0,0,0,0,0.1,0.1
99,9,99,-3.14159262925386,0,0,0,0,0.1,0.1
100,10,100,-3.14159262925386,0,0,0,0,0.1,0.1
101,11,101,-3.14159262925386,0,0,0,0,0.1,0.1
102,12,102,-3.14159262925386,0,0,0,0,0.1,0.1
103,13,103,-3.14159262925386,0,0,0,0,0.1,0.1
104,14,104,-3.14159262925386,0,0,0,0,0.1,0.1
105,15,105,-3.14159262925386,0,0,0,0,0.1,0.1
106,16,106,-3.14159262925386,0,0,0,0,0.1,0.1
107,17,107,-3.19127310005612,0,0,0,0,0.1,0.1
108,0,108,0,0,0,0,0,0.1,0.1
109,1,109,0,0,0,0,0,0.1,0.1
110,2,110,0,0,0,0,0,0.1,0.1
111,3,111,0,0,0,0,0,0.1,0.1
112,4,112,0,0,0,0,0,0.1,0.1
113,5,113,0,0,0,0,0,0.1,0.1
114,6,114,0,0,0,0,0,0.1,0.1
115,7,115,0,0,0,0,0,0.1,0.1
116,8,116,0,0,0,0,0,0.1,0.1
117,9,117,0,0,0,0,0,0.1,0.1
118,10,118,0,0,0,0,0,0.1,0.1
119,11,119,0,0,0,0,0,0.1,0.1
120,12,120,0,0,0,0,0,0.1,0.1
121,13,121,0,0,0,0,0,0.1,0.1
122,14,122,0,0,0,0,0,0.1,0.1
123,15,123,0,0,0,0,0,0.1,0.1
124,16,124,0,0,0,0,0,0.1,0.1
125,17,125,-0.008506916678791,0,0,0,0,0.1,0.1
126,0,126,-4.75922009865485,0,0,0,0,0.1,0.1
127,1,127,-4.75922009865485,0,0,0,0,0.1,0.1
128,2,128,-4.75922009865485,0,0,0,0,0.1,0.1
129,3,129,-4.75921264180386,0,0,0,0,0.1,0.1
130,4,130,-4.75922009865485,0,0,0,0,0.1,0.1
131,5,131,-4.75921264180386,0,0,0,0,0.1,0.1
132,6,132,-4.75922009865485,0,0,0,0,0.1,0.1
133,7,133,-4.75921264180386,0,0,0,0,0.1,0.1
134,8,134,-4.75922009865485,0,0,0,0,0.1,0.1
135,9,135,-5.40326352535629,0,0,0,0,0.1,0.1
136,10,136,-5.48486863947858,0,0,0,0,0.1,0.1
137,11,137,-5.48486757421415,0,0,0,0,0.1,0.1
138,12,138,-5.48486863947858,0,0,0,0,0.1,0.1
139,13,139,-5.48486863947858,0,0,0,0,0.1,0.1
140,14,140,-5.48486064999537,0,0,0,0,0.1,0.1
141,15,141,-5.82034810466155,0,0,0,0,0.1,0.1
142,16,142,-6.08507963077017,0,0,0,0,0.1,0.1
143,17,143,-6.08508335919566,0,0,0,0,0.1,0.1
144,18,144,-6.08507963077017,0,0,0,0,0.1,0.1
145,19,145,-6.08508335919566,0,0,0,0,0.1,0.1
146,20,146,-6.08879367519762,0,0,0,0,0.1,0.1
147,21,147,0,0,0,0,0,0.1,0.1
148,22,148,0,0,0,0,0,0.1,0.1
149,23,149,0,0,0,0,0,0.1,0.1
150,24,150,0,0,0,0,0,0.1,0.1
151,25,151,0,0,0,0,0,0.1,0.1
152,26,152,0,0,0,0,0,0.1,0.1
153,27,153,0,0,0,0,0,0.1,0.1
154,28,154,0,0,0,0,0,0.1,0.1
155,29,155,0,0,0,0,0,0.1,0.1
156,30,156,0,0,0,0,0,0.1,0.1
157,31,157,-0.0413122569615099,0,0,0,0,0.1,0.1
158,0,158,-3.12802329097281,0,0,0,0,0.1,0.1
159,1,159,-3.12802329097281,0,0,0,0,0.1,0.1
160,2,160,-3.12802329097281,0,0,0,0,0.1,0.1
161,3,161,-3.12802329097281,0,0,0,0,0.1,0.1
162,4,162,-3.12802329097281,0,0,0,0,0.1,0.1
163,5,163,-3.12802329097281,0,0,0,0,0.1,0.1
164,6,164,-3.12802329097281,0,0,0,0,0.1,0.1
165,7,165,-3.12802329097281,0,0,0,0,0.1,0.1
166,8,166,-3.12802329097281,0,0,0,0,0.1,0.1
167,9,167,-3.12801956254731,0,0,0,0,0.1,0.1
168,10,168,-3.12802329097281,0,0,0,0,0.1,0.1
169,11,169,-3.12801956254731,0,0,0,0,0.1,0.1
170,12,170,-2.89506114589386,0,0,0,0,0.1,0.1
171,13,171,-2.7505987726299,0,0,0,0,0.1,0.1
172,14,172,-2.75060196842318,0,0,0,0,0.1,0.1
173,15,173,-2.75060196842318,0,0,0,0,0.1,0.1
174,16,174,-2.7505987726299,0,0,0,0,0.1,0.1
175,17,175,-2.75060196842318,0,0,0,0,0.1,0.1
176,18,176,-2.33746952014499,0,0,0,0,0.1,0.1
177,19,177,-2.1979088279874,0,0,0,0,0.1,0.1
178,20,178,-2.1979088279874,0,0,0,0,0.1,0.1
179,21,179,-2.1979088279874,0,0,0,0,0.1,0.1
180,22,180,-2.19791482009981,0,0,0,0,0.1,0.1
181,23,181,-2.19790762956492,0,0,0,0,0.1,0.1
182,24,182,-2.08662171848168,0,0,0,0,0.1,0.1
183,25,183,-1.65260595951935,0,0,0,0,0.1,0.1
184,26,184,-1.65260595951935,0,0,0,0,0.1,0.1
