LID,BPID,FPID,BLID,FLID
1,3967,3968,0,2
2,3969,3970,1,0
3,3971,3972,0,4
4,3973,3974,3,0
5,3975,3976,0,6
6,3977,3978,5,0
7,3979,3980,0,8
8,3981,3982,7,0
9,3983,3984,0,10
10,3985,3986,9,0
11,3987,3988,0,12
12,3989,3990,11,0
13,3991,3992,0,14
14,3993,3994,13,0
15,3995,3996,0,16
16,3997,3998,15,0
17,3999,4000,0,18
18,4001,4002,17,0
19,4003,4004,0,20
20,4005,4006,19,0
21,4007,4008,0,22
22,4009,4010,21,0
23,4011,4012,0,24
24,4013,4014,23,0
25,4015,4016,0,26
26,4017,4018,25,0
27,4019,4020,0,28
28,4021,4022,27,0
29,4023,4024,0,30
30,4025,4026,29,0
31,4027,4028,0,32
32,4029,4030,31,0
33,4031,4032,0,34
34,4033,4034,33,0
35,4035,4036,0,36
36,4037,4038,35,0
37,4039,4040,0,38
38,4041,4042,37,0
39,4043,4044,0,40
40,4045,4046,39,0
41,4047,4048,0,42
42,4049,4050,41,0
43,4051,4052,0,44
44,4053,4054,43,0
45,4055,4056,0,46
46,4057,4058,45,0
47,4059,4060,0,48
48,4061,4062,47,0
49,4063,4064,0,50
50,4065,4066,49,0
51,4067,4068,0,52
52,4069,4070,51,0
53,4071,4072,0,54
54,4073,4074,53,0
55,4075,4076,0,56
56,4077,4078,55,0
57,4079,4080,0,58
58,4081,4082,57,0
59,4083,4084,0,60
60,4085,4086,59,0
61,4087,4088,0,62
62,4089,4090,61,0
63,4091,4092,0,64
64,4093,4094,63,0
65,4095,4096,0,66
66,4097,4098,65,0
67,4099,4100,0,68
68,4101,4102,67,0
69,4103,4104,0,70
70,4105,4106,69,0
71,4107,4108,0,72
72,4109,4110,71,0
73,4111,4112,0,74
74,4113,4114,73,0
75,4115,4116,0,76
76,4117,4118,75,0
77,4119,4120,0,78
78,4121,4122,77,0
79,4123,4124,0,80
80,4125,4126,79,0
81,4127,4128,0,82
82,4129,4130,81,0
83,4131,4132,0,84
84,4133,4134,83,0
85,4135,4136,0,86
86,4137,4138,85,0
87,4139,4140,0,88
88,4141,4142,87,0
89,4143,4144,0,90
90,4145,4146,89,0
91,4147,4148,0,92
92,4149,4150,91,0
93,4151,4152,0,94
94,4153,4154,93,0
95,4155,4156,0,96
96,4157,4158,95,0
97,4159,4160,0,98
98,4161,4162,97,0
99,4163,4164,0,100
100,4165,4166,99,0
