PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,10.1999998092651,34.3700523376465,37.4500045776367,7,0,0,0
2,0,0,10.1999998092651,34.3700523376465,38.4500045776367,7,0,0,0
3,0,0,10.1999998092651,34.3700523376465,39.4500045776367,7,0,0,0
4,0,0,10.1999998092651,34.3700523376465,40.4500045776367,7,0,0,0
5,0,0,10.1999998092651,34.3700523376465,41.4500045776367,7,0,0,0
6,0,0,10.1999998092651,34.3700523376465,42.4500045776367,7,0,0,0
7,0,0,10.1999998092651,34.3700523376465,43.4500045776367,7,0,0,0
8,0,0,10.1999998092651,34.3700523376465,44.4500045776367,7,0,0,0
9,0,0,10.1999998092651,34.3700523376465,45.4500045776367,7,0,0,0
10,0,0,10.1999998092651,34.3700523376465,46.4500045776367,7,0,0,0
11,0,0,10.1999998092651,34.3700523376465,47.4500045776367,7,0,0,0
12,0,0,10.1999998092651,34.3700523376465,48.4500045776367,7,0,0,0
13,0,0,10.1999998092651,34.3700523376465,49.4500045776367,7,0,0,0
14,0,0,10.1999998092651,34.3700523376465,50.4500045776367,7,0,0,0
15,0,0,10.1999998092651,34.3700523376465,51.4500045776367,7,0,0,0
16,0,0,10.1999998092651,34.3700523376465,52.4500045776367,7,0,0,0
17,0,0,10.1999998092651,34.1218795776367,53.415111541748,7,0,0,0
18,0,0,10.1999998092651,33.846134185791,54.3763427734375,7,0,0,0
19,0,0,10.1999998092651,33.570384979248,55.337574005127,7,0,0,0
20,0,0,10.1999998092651,33.2946395874023,56.2988052368164,7,0,0,0
21,0,0,10.1999998092651,33.0188903808594,57.2600364685059,7,0,0,0
22,0,0,10.1999998092651,32.2868766784668,57.8510589599609,7,0,0,0
23,0,0,10.1999998092651,31.4030723571777,58.3189163208008,7,0,0,0
24,0,0,10.1999998092651,30.5192680358887,58.7867736816406,7,0,0,0
25,0,0,10.1999998092651,29.6354656219482,59.2546348571777,7,0,0,0
26,0,0,10.1999998092651,28.7516613006592,59.7224922180176,7,0,0,0
27,0,0,10.1999998092651,27.7558860778809,59.7963447570801,7,0,0,0
28,0,0,10.1999998092651,26.7581233978271,59.8632125854492,7,0,0,0
29,0,0,10.1999998092651,25.7603607177734,59.9300804138184,7,0,0,0
30,0,0,10.1999998092651,24.7625980377197,59.9969482421875,7,0,0,0
