LID,BPID,FPID,BLID,FLID
1,5750,5751,0,2
2,5752,5753,1,0
3,5754,5755,0,4
4,5756,5757,3,0
5,5758,5759,0,6
6,5760,5761,5,0
7,5762,5763,0,8
8,5764,5765,7,0
9,5766,5767,0,10
10,5768,5769,9,0
11,5770,5771,0,12
12,5772,5773,11,0
13,5774,5775,0,14
14,5776,5777,13,0
15,5778,5779,0,16
16,5780,5781,15,0
17,5782,5783,0,18
18,5784,5785,17,0
19,5786,5787,0,20
20,5788,5789,19,0
21,5790,5791,0,22
22,5792,5793,21,0
23,5794,5795,0,24
24,5796,5797,23,0
25,5798,5799,0,26
26,5800,5801,25,0
27,5802,5803,0,28
28,5804,5805,27,0
29,5806,5807,0,30
30,5808,5809,29,0
31,5810,5811,0,32
32,5812,5813,31,0
33,5814,5815,0,34
34,5816,5817,33,0
35,5818,5819,0,36
36,5820,5821,35,0
37,5822,5823,0,38
38,5824,5825,37,0
39,5826,5827,0,40
40,5828,5829,39,0
41,5830,5831,0,42
42,5832,5833,41,0
43,5834,5835,0,44
44,5836,5837,43,0
