ID,LID,TLID,SignID,LinkID
1,1,0,0,968
2,2,0,0,855
3,3,0,0,1248
4,4,0,0,1133
5,5,0,0,715
6,6,0,0,792
7,7,0,0,1890
8,8,0,0,1765
9,9,0,0,2624
10,10,0,0,2713
11,11,0,0,2151
12,12,0,0,2064
13,13,0,0,1628
14,14,0,0,1628
15,15,0,0,2365
16,16,0,0,2302
17,17,0,0,3534
18,18,0,0,3534
19,19,0,0,3649
20,20,0,0,4961
21,21,0,0,2546
22,22,0,0,2456
23,23,0,0,2902
24,24,0,0,5595
25,25,0,0,4367
26,26,0,0,3421
27,27,0,0,2956
28,28,0,0,4457
29,29,0,0,2242
30,30,0,0,3285
31,31,0,0,4013
32,32,0,0,4013
33,33,0,0,2792
34,34,0,0,4804
35,35,0,0,3019
36,36,0,0,3106
37,37,0,0,5131
38,38,0,0,3776
39,39,0,0,5221
40,40,0,0,2847
41,41,0,0,3206
42,42,0,0,1514
43,43,0,0,4225
44,44,0,0,4225
