-14900.421000,-84726.232000,40.807000
-14901.363000,-84726.566000,40.821000,40.000000
-14902.306000,-84726.899000,40.832000,40.000000
-14903.249000,-84727.233000,40.844000,40.000000
-14904.191000,-84727.567000,40.855000,40.000000
-14905.134000,-84727.900000,40.866000,40.000000
-14906.077000,-84728.234000,40.877000,40.000000
-14907.019000,-84728.568000,40.886000,40.000000
-14907.962000,-84728.901000,40.895000,40.000000
-14908.905000,-84729.235000,40.904000,40.000000
-14909.848000,-84729.569000,40.915000,40.000000
-14910.790000,-84729.902000,40.925000,40.000000
-14911.733000,-84730.236000,40.935000,40.000000
-14912.676000,-84730.570000,40.946000,40.000000
-14913.370000,-84730.815000,40.953000,40.000000
-14913.618000,-84730.903000,40.956000,40.000000
-14914.561000,-84731.237000,40.966000,40.000000
-14915.504000,-84731.571000,40.976000,40.000000
-14916.446000,-84731.905000,40.986000,40.000000
-14917.388000,-84732.240000,40.997000,40.000000
-14918.330000,-84732.576000,41.008000,40.000000
-14919.272000,-84732.912000,41.019000,40.000000
-14920.213000,-84733.250000,41.030000,40.000000
-14921.154000,-84733.588000,41.038000,40.000000
-14922.095000,-84733.929000,41.045000,40.000000
-14923.034000,-84734.270000,41.053000,40.000000
-14923.973000,-84734.614000,41.062000,40.000000
-14924.912000,-84734.959000,41.071000,40.000000
-14925.850000,-84735.307000,41.080000,40.000000
-14926.786000,-84735.656000,41.089000,40.000000
-14927.722000,-84736.009000,41.098000,40.000000
-14928.657000,-84736.363000,41.108000,40.000000
-14929.591000,-84736.721000,41.118000,40.000000
-14930.524000,-84737.081000,41.127000,40.000000
-14931.456000,-84737.444000,41.137000,40.000000
-14932.386000,-84737.811000,41.145000,40.000000
-14933.315000,-84738.181000,41.154000,40.000000
-14934.243000,-84738.555000,41.162000,40.000000
-14935.169000,-84738.932000,41.174000,40.000000
-14936.093000,-84739.313000,41.187000,40.000000
-14936.538000,-84739.498000,41.193000,40.000000
-14937.016000,-84739.698000,41.200000,40.000000
-14937.937000,-84740.088000,41.213000,40.000000
-14938.857000,-84740.481000,41.226000,40.000000
-14939.774000,-84740.879000,41.240000,40.000000
-14940.690000,-84741.280000,41.255000,40.000000
-14941.604000,-84741.686000,41.269000,40.000000
-14942.516000,-84742.096000,41.285000,40.000000
-14943.427000,-84742.510000,41.300000,40.000000
-14944.335000,-84742.928000,41.314000,40.000000
-14945.242000,-84743.349000,41.328000,40.000000
-14946.146000,-84743.775000,41.342000,40.000000
-14947.049000,-84744.206000,41.357000,40.000000
-14947.950000,-84744.640000,41.372000,40.000000
-14948.849000,-84745.078000,41.387000,40.000000
-14949.746000,-84745.520000,41.402000,40.000000
-14950.641000,-84745.966000,41.417000,40.000000
-14951.534000,-84746.416000,41.431000,40.000000
-14952.425000,-84746.870000,41.445000,40.000000
-14953.314000,-84747.328000,41.459000,40.000000
-14954.201000,-84747.790000,41.475000,40.000000
-14955.086000,-84748.256000,41.490000,40.000000
-14955.968000,-84748.726000,41.507000,40.000000
-14956.849000,-84749.199000,41.528000,40.000000
-14957.728000,-84749.677000,41.543000,40.000000
-14958.604000,-84750.159000,41.555000,40.000000
-14959.478000,-84750.644000,41.565000,40.000000
-14960.350000,-84751.134000,41.578000,40.000000
-14961.220000,-84751.627000,41.587000,40.000000
-14962.088000,-84752.124000,41.593000,40.000000
-14962.953000,-84752.625000,41.600000,40.000000
-14963.816000,-84753.130000,41.605000,40.000000
-14964.677000,-84753.639000,41.612000,40.000000
