x,y,z,yaw,velocity,change_flag
41.5421,-61.2962,-0.0001,-0.1490,0,0
43.6848,-61.4271,-0.0001,0.1234,28.0006,0
44.8424,-61.3055,-0.0002,0.1470,32.9776,0
46.3469,-61.1028,-0.0002,0.1552,17.4833,0
48.2874,-60.7913,-0.0001,0.3599,5.0909,0
49.5341,-60.3491,-0.0002,0.6773,10.3962,0
50.6101,-59.5733,-0.0002,0.7073,31.4709,0
52.0218,-58.2429,-0.0002,0.9042,25.0145,0
52.8381,-57.2423,-0.0001,0.9053,29.3111,0
54.0124,-55.6538,-0.0003,1.0888,18.4940,0
54.7192,-54.3695,-0.0002,1.1059,16.5524,0
55.2702,-53.1901,-0.0003,1.2317,17.3242,0
55.9380,-51.3382,-0.0002,1.2462,10.2646,0
56.3295,-50.0464,-0.0001,1.4654,15.7293,0
56.5205,-48.6994,-0.0001,1.5649,13.4447,0
56.5484,-46.6669,-0.0001,1.5656,28.6065,0
56.5502,-45.3807,-0.0001,1.5665,16.0513,0
56.5446,-43.4126,-0.0001,1.5678,36.6285,0
56.4908,-42.1799,-0.0002,1.6777,32.3620,0
56.3591,-40.8199,-0.0001,1.6808,33.2220,0
56.1606,-38.8464,-0.0001,1.5879,34.7668,0
56.1439,-37.4791,-0.0001,1.5744,36.7432,0
56.1365,-36.1892,-0.0001,1.5747,29.6495,0
56.1310,-34.1696,-0.0001,1.5858,18.4194,0
56.1198,-32.8870,-0.0002,1.5915,11.9895,0
56.0938,-31.3705,-0.0001,1.5979,32.3199,0
56.0809,-29.8318,-0.0001,1.6026,28.8228,0
55.9603,-28.1531,-0.0001,1.6900,29.1528,0
55.7024,-25.9547,-0.0002,1.7749,17.6722,0
55.2998,-23.9572,-0.0002,1.8522,35.0453,0
54.9084,-22.7281,-0.0002,1.9411,31.8310,0
54.4316,-21.4622,-0.0001,1.9415,30.6315,0
53.6302,-19.6102,-0.0002,2.2729,27.4169,0
52.8436,-18.5765,-0.0002,2.6164,32.7501,0
51.1851,-17.5316,-0.0001,2.6544,29.5086,0
50.1110,-16.9622,-0.0001,2.6549,14.9919,0
48.9608,-16.3670,-0.0001,2.6739,36.0517,0
46.9888,-15.6171,-0.0002,2.8699,30.5660,0
45.8164,-15.2706,-0.0001,2.8749,11.4659,0
43.7702,-14.7141,-0.0001,2.8771,27.8130,0
42.4641,-14.3953,-0.0001,3.0373,17.7662,0
40.9782,-14.2590,-0.0002,-3.1047,31.4857,0
39.5312,-14.2792,-0.0002,-3.0974,12.8602,0
38.1528,-14.3308,-0.0001,-3.0980,35.1065,0
36.1734,-14.4267,-0.0001,-3.0968,30.7536,0
34.8024,-14.4967,-0.0001,-3.0958,33.3524,0
33.4333,-14.5667,-0.0001,-3.0948,29.3855,0
31.5299,-14.6699,-0.0001,-3.0935,15.6547,0
29.9698,-14.7860,-0.0001,-2.9033,34.6739,0
28.6767,-15.0716,-0.0002,-2.7269,33.7501,0
26.7251,-15.9322,-0.0003,-2.4576,29.3944,0
25.6083,-16.7688,-0.0002,-2.2810,32.5325,0
24.7401,-17.7049,-0.0003,-2.2829,23.0104,0
23.5065,-19.3486,-0.0001,-1.9628,35.4705,0
22.9054,-20.6587,-0.0002,-1.9447,26.1167,0
22.3897,-21.9837,-0.0002,-1.8129,33.8720,0
22.0428,-23.9369,-0.0002,-1.5313,34.4048,0
21.9556,-25.4295,-0.0001,-1.7940,4.6922,0
21.6662,-26.6549,-0.0001,-2.0099,34.1390,0
20.4956,-28.4995,-0.0001,-2.7918,11.4458,0
